error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Needs fat contact	M1 (11)-M2 (13)	125.336	22.432	120-140,020-040	125.306	22.377	125.366	22.487
2	Needs fat contact	M1 (11)-M2 (13)	217.6	29.12	200-220,020-040	217.57	29.065	217.63	29.175
3	Needs fat contact	M1 (11)-M2 (13)	73.352	35.808	060-080,020-040	73.322	35.753	73.382	35.863
5	Needs fat contact	M1 (11)-M2 (13)	189.936	44.32	180-200,040-060	189.906	44.265	189.966	44.375
6	Needs fat contact	M1 (11)-M2 (13)	191.608	37.632	180-200,020-040	191.578	37.577	191.638	37.687
7	Needs fat contact	M1 (11)-M2 (13)	195.712	39.152	180-200,020-040	195.682	39.097	195.742	39.207
14	Needs fat contact	M1 (11)-M2 (13)	190.392	57.696	180-200,040-060	190.362	57.641	190.422	57.751
15	Needs fat contact	M1 (11)-M2 (13)	197.08	49.184	180-200,040-060	197.05	49.129	197.11	49.239
23	Needs fat contact	M1 (11)-M2 (13)	187.656	62.56	180-200,060-080	187.626	62.505	187.686	62.615
24	Needs fat contact	M1 (11)-M2 (13)	196.624	61.04	180-200,060-080	196.594	60.985	196.654	61.095
25	Needs fat contact	M1 (11)-M2 (13)	289.79999999999995	64.38399999999999	280-300,060-080	289.77	64.329	289.83	64.439
28	Needs fat contact	M1 (11)-M2 (13)	193.432	77.75999999999999	180-200,060-080	193.402	77.705	193.462	77.815
29	Needs fat contact	M1 (11)-M2 (13)	197.38400000000001	81.10400000000001	180-200,080-100	197.354	81.049	197.414	81.159
30	Needs fat contact	M1 (11)-M2 (13)	216.688	81.10400000000001	200-220,080-100	216.658	81.049	216.718	81.159
31	Needs fat contact	M1 (11)-M2 (13)	221.248	79.28	220-240,060-080	221.218	79.225	221.278	79.335
33	Needs fat contact	M1 (11)-M2 (13)	151.936	85.96799999999999	140-160,080-100	151.906	85.913	151.966	86.023
35	Needs fat contact	M1 (11)-M2 (13)	150.568	85.96799999999999	140-160,080-100	150.538	85.913	150.598	86.023
36	Needs fat contact	M1 (11)-M2 (13)	145.552	85.96799999999999	140-160,080-100	145.522	85.913	145.582	86.023
38	Needs fat contact	M1 (11)-M2 (13)	155.128	89.31200000000001	140-160,080-100	155.098	89.257	155.158	89.367
44	Needs fat contact	M1 (11)-M2 (13)	228.392	91.136	220-240,080-100	228.362	91.081	228.422	91.191
45	Needs fat contact	M1 (11)-M2 (13)	248.608	92.656	240-260,080-100	248.578	92.601	248.638	92.711
49	Needs fat contact	M1 (11)-M2 (13)	40.976	101.168	040-060,100-120	40.946	101.113	41.006	101.223
50	Needs fat contact	M1 (11)-M2 (13)	234.168	97.82400000000001	220-240,080-100	234.138	97.769	234.198	97.879
51	Needs fat contact	M1 (11)-M2 (13)	236.752	101.168	220-240,100-120	236.722	101.113	236.782	101.223
52	Needs fat contact	M1 (11)-M2 (13)	248.456	96.0	240-260,080-100	248.426	95.945	248.486	96.055
53	Needs fat contact	M1 (11)-M2 (13)	245.72	101.168	240-260,100-120	245.69	101.113	245.75	101.223
54	Needs fat contact	M1 (11)-M2 (13)	244.504	101.168	240-260,100-120	244.474	101.113	244.534	101.223
55	Needs fat contact	M1 (11)-M2 (13)	240.704	99.344	240-260,080-100	240.674	99.289	240.734	99.399
262	Needs fat contact	M1 (11)-M2 (13)	227.784	243.136	220-240,240-260	227.754	243.081	227.814	243.191
266	Needs fat contact	M1 (11)-M2 (13)	230.976	248.304	220-240,240-260	230.946	248.249	231.006	248.359
267	Needs fat contact	M1 (11)-M2 (13)	231.432	246.48000000000002	220-240,240-260	231.402	246.425	231.462	246.535
268	Needs fat contact	M1 (11)-M2 (13)	231.28	244.95999999999998	220-240,240-260	231.25	244.905	231.31	245.015
271	Needs fat contact	M1 (11)-M2 (13)	230.064	244.95999999999998	220-240,240-260	230.034	244.905	230.094	245.015
272	Needs fat contact	M1 (11)-M2 (13)	231.432	249.824	220-240,240-260	231.402	249.769	231.462	249.879
280	Needs fat contact	M1 (11)-M2 (13)	257.88	249.824	240-260,240-260	257.85	249.769	257.91	249.879
281	Needs fat contact	M1 (11)-M2 (13)	256.20799999999997	248.304	240-260,240-260	256.178	248.249	256.238	248.359
284	Needs fat contact	M1 (11)-M2 (13)	257.424	248.304	240-260,240-260	257.394	248.249	257.454	248.359
289	Needs fat contact	M1 (11)-M2 (13)	276.424	249.824	260-280,240-260	276.394	249.769	276.454	249.879
297	Needs fat contact	M1 (11)-M2 (13)	305.60799999999995	244.95999999999998	300-320,240-260	305.578	244.905	305.638	245.015
298	Needs fat contact	M1 (11)-M2 (13)	306.06399999999996	246.48000000000002	300-320,240-260	306.034	246.425	306.094	246.535
304	Needs fat contact	M1 (11)-M2 (13)	188.112	263.2	180-200,260-280	188.082	263.145	188.142	263.255
305	Needs fat contact	M1 (11)-M2 (13)	194.344	253.168	180-200,240-260	194.314	253.113	194.374	253.223
306	Needs fat contact	M1 (11)-M2 (13)	199.36	254.99200000000002	180-200,240-260	199.33	254.937	199.39	255.047
320	Needs fat contact	M1 (11)-M2 (13)	233.10399999999998	254.99200000000002	220-240,240-260	233.074	254.937	233.134	255.047
327	Needs fat contact	M1 (11)-M2 (13)	276.424	253.168	260-280,240-260	276.394	253.113	276.454	253.223
329	Needs fat contact	M1 (11)-M2 (13)	277.79200000000003	261.68	260-280,260-280	277.762	261.625	277.822	261.735
332	Needs fat contact	M1 (11)-M2 (13)	278.70399999999995	258.336	260-280,240-260	278.674	258.281	278.734	258.391
333	Needs fat contact	M1 (11)-M2 (13)	284.17600000000004	259.856	280-300,240-260	284.146	259.801	284.206	259.911
335	Needs fat contact	M1 (11)-M2 (13)	282.808	259.856	280-300,240-260	282.778	259.801	282.838	259.911
349	Needs fat contact	M1 (11)-M2 (13)	145.552	271.712	140-160,260-280	145.522	271.657	145.582	271.767
