tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	1	Diff net spacing	M1 (11)	192.976	31.1595	180-200,020-040	192.896	31.118	193.056	31.201
Diff_net_spacing_M1_(11)_2	4	Diff net spacing	M1 (11)	102.536	45.6245	100-120,040-060	102.456	45.583	102.616	45.666
Diff_net_spacing_M1_(11)_3	8	Diff net spacing	M1 (11)	199.36	44.5355	180-200,040-060	199.28	44.494	199.44	44.577
Diff_net_spacing_M2_(13)_1	12	Diff net spacing	M2 (13)	259.56600000000003	45.156000000000006	240-260,040-060	259.494	45.121	259.638	45.191
Diff_net_spacing_M2_(13)_2	57	Diff net spacing	M2 (13)	259.56600000000003	95.164	240-260,080-100	259.494	95.129	259.638	95.199
Diff_net_spacing_M2_(13)_3	107	Diff net spacing	M2 (13)	259.56600000000003	148.82	240-260,140-160	259.494	148.785	259.638	148.855
Less_than_minimum_area_M2_(13)_1	34	Less than minimum area	M2 (13)	151.936	85.96799999999999	140-160,080-100	151.906	85.913	151.966	86.023
Less_than_minimum_area_M2_(13)_2	330	Less than minimum area	M2 (13)	277.79200000000003	261.68	260-280,260-280	277.762	261.625	277.822	261.735
Less_than_minimum_area_M2_(13)_3	334	Less than minimum area	M2 (13)	284.17600000000004	259.856	280-300,240-260	284.146	259.801	284.206	259.911
Needs_fat_contact_M1_(11)-M2_(13)_1	0	Needs fat contact	M1 (11)-M2 (13)	125.336	22.432	120-140,020-040	125.306	22.377	125.366	22.487
Needs_fat_contact_M1_(11)-M2_(13)_2	2	Needs fat contact	M1 (11)-M2 (13)	217.6	29.12	200-220,020-040	217.57	29.065	217.63	29.175
Needs_fat_contact_M1_(11)-M2_(13)_3	3	Needs fat contact	M1 (11)-M2 (13)	73.352	35.808	060-080,020-040	73.322	35.753	73.382	35.863
Off-grid_M1_(11)_1	37	Off-grid	M1 (11)	156.212	85.9935	140-160,080-100	156.167	85.943	156.257	86.044
Off-grid_M1_(11)_2	39	Off-grid	M1 (11)	155.90800000000002	84.4225	140-160,080-100	155.863	84.372	155.953	84.473
Off-grid_M1_(11)_3	277	Off-grid	M1 (11)	249.216	249.824	240-260,240-260	249.161	249.794	249.271	249.854
Off-grid_M2_(13)_1	10	Off-grid	M2 (13)	206.62900000000002	45.688	200-220,040-060	206.574	45.582	206.684	45.794
Off-grid_M2_(13)_2	17	Off-grid	M2 (13)	204.957	49.032	200-220,040-060	204.902	48.926	205.012	49.138
Off-grid_M2_(13)_3	19	Off-grid	M2 (13)	206.502	47.816	200-220,040-060	206.472	47.685	206.532	47.947
Off-grid_VIA1_(12)_1	9	Off-grid	VIA1 (12)	206.62900000000002	45.688	200-220,040-060	206.604	45.587	206.654	45.789
Off-grid_VIA1_(12)_2	16	Off-grid	VIA1 (12)	204.957	49.032	200-220,040-060	204.932	48.931	204.982	49.133
Off-grid_VIA1_(12)_3	18	Off-grid	VIA1 (12)	206.502	47.816	200-220,040-060	206.477	47.715	206.527	47.917
Short_M1_(11)_1	82	Short	M1 (11)	301.58	121.84	300-320,120-140	301.505	121.765	301.655	121.915
Hotspot_220to240_220to240_1	203	Diff net spacing	M1 (11)	223.224	239.5765	220-240,220-240	223.144	239.535	223.304	239.618
Hotspot_220to240_220to240_2	207	Diff net spacing	M1 (11)	220.64	236.23250000000002	220-240,220-240	220.56	236.191	220.72	236.274
Hotspot_220to240_220to240_3	208	Diff net spacing	M1 (11)	220.94400000000002	238.4875	220-240,220-240	220.864	238.446	221.024	238.529
Hotspot_220to240_240to260_1	262	Needs fat contact	M1 (11)-M2 (13)	227.784	243.136	220-240,240-260	227.754	243.081	227.814	243.191
Hotspot_220to240_240to260_2	266	Needs fat contact	M1 (11)-M2 (13)	230.976	248.304	220-240,240-260	230.946	248.249	231.006	248.359
Hotspot_220to240_240to260_3	267	Needs fat contact	M1 (11)-M2 (13)	231.432	246.48000000000002	220-240,240-260	231.402	246.425	231.462	246.535
Hotspot_240to260_240to260_1	280	Needs fat contact	M1 (11)-M2 (13)	257.88	249.824	240-260,240-260	257.85	249.769	257.91	249.879
Hotspot_240to260_240to260_2	281	Needs fat contact	M1 (11)-M2 (13)	256.20799999999997	248.304	240-260,240-260	256.178	248.249	256.238	248.359
Hotspot_240to260_240to260_3	284	Needs fat contact	M1 (11)-M2 (13)	257.424	248.304	240-260,240-260	257.394	248.249	257.454	248.359
Hotspot_220to240_200to220_1	140	Off-grid	VIA1 (12)	230.037	201.64	220-240,200-220	230.012	201.539	230.062	201.741
Hotspot_220to240_200to220_2	141	Off-grid	M2 (13)	230.037	201.64	220-240,200-220	229.982	201.534	230.092	201.746
Hotspot_220to240_200to220_3	142	Off-grid	VIA1 (12)	231.278	202.856	220-240,200-220	231.253	202.755	231.303	202.957
Hotspot_240to260_220to240_1	233	Diff net spacing	M1 (11)	255.904	239.5765	240-260,220-240	255.824	239.535	255.984	239.618
Hotspot_240to260_220to240_2	184	Off-grid	VIA1 (12)	240.427	222.92	240-260,220-240	240.402	222.819	240.452	223.021
Hotspot_240to260_220to240_3	185	Off-grid	M2 (13)	240.42700000000002	222.92000000000002	240-260,220-240	240.372	222.814	240.482	223.026
