error_id	error_type	error_layer	cx	cy	dist	access_x	access_y	cell	pin	access_status	ref	via_window_verdict	via_window_class
0	Off-grid	M2 (13)	36.566	20.912	0.001999999999995339	36.568	20.912	u_core/core_i/U5633	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
1	Off-grid	VIA1 (12)	36.566	20.912	0.001999999999995339	36.568	20.912	u_core/core_i/U5633	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
2	Off-grid	VIA1 (12)	20.733	22.28	0.027000000000001023	20.76	22.28	u_core/core_i/id_stage_i/U2688	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
3	Off-grid	M2 (13)	20.733	22.28	0.027000000000001023	20.76	22.28	u_core/core_i/id_stage_i/U2688	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
4	Off-grid	VIA1 (12)	37.174	45.688	0.0020000000000024443	37.176	45.688	u_core/core_i/id_stage_i/U1193	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
5	Off-grid	M2 (13)	37.174	45.688	0.0020000000000024443	37.176	45.688	u_core/core_i/id_stage_i/U1193	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
6	Off-grid	VIA1 (12)	135.366	37.784	0.03505709628591173	135.368	37.749	u_core/core_i/id_stage_i/U1195	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
7	Off-grid	M2 (13)	135.366	37.784	0.03505709628591173	135.368	37.749	u_core/core_i/id_stage_i/U1195	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
8	Off-grid	VIA1 (12)	136.557	39.0	0.027000000000015234	136.584	39.0	u_core/core_i/id_stage_i/U3540	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
9	Off-grid	M2 (13)	136.557	39.0	0.027000000000015234	136.584	39.0	u_core/core_i/id_stage_i/U3540	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
10	Off-grid	VIA1 (12)	197.509	42.496	0.045803929962403345	197.536	42.459	u_core/core_i/id_stage_i/U2475	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
11	Off-grid	M2 (13)	197.509	42.496	0.045803929962403345	197.536	42.459	u_core/core_i/id_stage_i/U2475	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
12	Off-grid	VIA1 (12)	39.429	47.816	0.04420407221060424	39.456	47.781	u_core/core_i/id_stage_i/U3375	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
13	Off-grid	M2 (13)	39.429	47.816	0.04420407221060424	39.456	47.781	u_core/core_i/id_stage_i/U3375	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
14	Off-grid	VIA1 (12)	56.909	69.096	0.027000000000001023	56.936	69.096	u_core/core_i/id_stage_i/U1700	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
15	Off-grid	M2 (13)	56.909	69.096	0.027000000000001023	56.936	69.096	u_core/core_i/id_stage_i/U1700	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
16	Off-grid	VIA1 (12)	47.941	62.408	0.027000000000001023	47.968	62.408	u_core/core_i/id_stage_i/U1198	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
17	Off-grid	M2 (13)	47.941	62.408	0.027000000000001023	47.968	62.408	u_core/core_i/id_stage_i/U1198	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
18	Off-grid	VIA1 (12)	59.366	69.096	0.0020000000000024443	59.368	69.096	u_core/core_i/id_stage_i/U1200	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
19	Off-grid	M2 (13)	59.366	69.096	0.0020000000000024443	59.368	69.096	u_core/core_i/id_stage_i/U1200	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
20	Off-grid	VIA1 (12)	40.547	71.224	0.04420407221060552	40.52	71.189	u_core/core_i/id_stage_i/U204	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
21	Off-grid	M2 (13)	40.547	71.224	0.04420407221060552	40.52	71.189	u_core/core_i/id_stage_i/U204	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
22	Off-grid	VIA1 (12)	42.773	72.44	0.026999999999993918	42.8	72.44	u_core/core_i/id_stage_i/U3250	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
23	Off-grid	M2 (13)	42.773	72.44	0.026999999999993918	42.8	72.44	u_core/core_i/id_stage_i/U3250	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
24	Off-grid	VIA1 (12)	43.558	74.568	0.03505709628591294	43.56	74.533	u_core/core_i/id_stage_i/U1190	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
25	Off-grid	M2 (13)	43.558	74.568	0.03505709628591294	43.56	74.533	u_core/core_i/id_stage_i/U1190	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
26	Off-grid	VIA1 (12)	296.917	82.472	0.027000000000043656	296.944	82.472	u_core/core_i/U5127	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
27	Off-grid	M2 (13)	296.917	82.472	0.027000000000043656	296.944	82.472	u_core/core_i/U5127	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
30	Off-grid	VIA1 (12)	214.254	111.352	0.035057096285927535	214.256	111.317	u_core/core_i/U5112	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
31	Off-grid	M2 (13)	214.254	111.352	0.035057096285927535	214.256	111.317	u_core/core_i/U5112	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
32	Off-grid	VIA1 (12)	293.269	116.064	0.045803929962380856	293.296	116.027	u_core/core_i/U5494	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
33	Off-grid	M2 (13)	293.269	116.064	0.045803929962380856	293.296	116.027	u_core/core_i/U5494	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
34	Off-grid	VIA1 (12)	222.006	146.16	0.037054014627304455	222.008	146.123	u_core/core_i/cs_registers_i/U110	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
35	Off-grid	M2 (13)	222.006	146.16	0.037054014627304455	222.008	146.123	u_core/core_i/cs_registers_i/U110	A2	Routable	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
36	Off-grid	VIA1 (12)	167.413	164.856	0.04420407221058993	167.44	164.821	u_core/core_i/id_stage_i/U392	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
37	Off-grid	M2 (13)	167.413	164.856	0.04420407221058993	167.44	164.821	u_core/core_i/id_stage_i/U392	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
38	Off-grid	VIA1 (12)	191.302	156.04	0.0020000000000095497	191.304	156.04	u_core/core_i/id_stage_i/U582	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
39	Off-grid	VIA1 (12)	168.173	169.416	0.026999999999986812	168.2	169.416	u_core/core_i/id_stage_i/U394	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
40	Off-grid	M2 (13)	168.173	169.416	0.026999999999986812	168.2	169.416	u_core/core_i/id_stage_i/U394	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
41	Off-grid	VIA1 (12)	208.453	174.888	0.04420407221058993	208.48	174.853	u_core/core_i/id_stage_i/U577	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
42	Off-grid	M2 (13)	208.453	174.888	0.04420407221058993	208.48	174.853	u_core/core_i/id_stage_i/U577	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
43	Off-grid	M2 (13)	206.477	174.888	0.04420407221058993	206.504	174.853	u_core/core_i/id_stage_i/U1160	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
44	Off-grid	VIA1 (12)	206.477	174.888	0.04420407221058993	206.504	174.853	u_core/core_i/id_stage_i/U1160	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
45	Off-grid	VIA1 (12)	230.645	191.608	0.04420407221058993	230.672	191.573	u_core/core_i/U4266	A2	Routable	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
