error_id	error_type	error_layer	cx	cy	bucket50	x1	y1	x2	y2
0	Off-grid	M2 (13)	20.581	20.912	000-050,000-050	20.526	20.806	20.636	21.018
1	Off-grid	VIA1 (12)	20.581000000000003	20.912	000-050,000-050	20.556	20.811	20.606	21.013
12	Off-grid	VIA1 (12)	235.813	45.688	200-250,000-050	235.788	45.587	235.838	45.789
13	Off-grid	M2 (13)	235.813	45.688	200-250,000-050	235.758	45.582	235.868	45.794
18	Off-grid	VIA1 (12)	223.526	49.032	200-250,000-050	223.501	48.931	223.551	49.133
19	Off-grid	M2 (13)	223.526	49.032	200-250,000-050	223.496	48.901	223.556	49.163
20	Off-grid	VIA1 (12)	227.326	47.816	200-250,000-050	227.301	47.715	227.351	47.917
21	Off-grid	M2 (13)	227.326	47.816	200-250,000-050	227.296	47.685	227.356	47.947
22	Off-grid	M2 (13)	229.302	47.816	200-250,000-050	229.272	47.685	229.332	47.947
23	Off-grid	VIA1 (12)	229.302	47.816	200-250,000-050	229.277	47.715	229.327	47.917
54	Off-grid	VIA1 (12)	236.29399999999998	89.16	200-250,050-100	236.269	89.059	236.319	89.261
55	Off-grid	M2 (13)	236.294	89.16	200-250,050-100	236.264	89.029	236.324	89.291
59	Off-grid	VIA1 (12)	301.654	91.288	300-350,050-100	301.629	91.187	301.679	91.389
60	Off-grid	M2 (13)	301.654	91.288	300-350,050-100	301.624	91.157	301.684	91.419
83	Off-grid	VIA1 (12)	287.341	128.072	250-300,100-150	287.316	127.971	287.366	128.173
84	Off-grid	M2 (13)	287.341	128.072	250-300,100-150	287.286	127.966	287.396	128.178
87	Off-grid	VIA1 (12)	262.286	134.76	250-300,100-150	262.261	134.659	262.311	134.861
88	Off-grid	M2 (13)	262.28599999999994	134.76	250-300,100-150	262.256	134.629	262.316	134.891
89	Off-grid	VIA1 (12)	258.03	138.10399999999998	250-300,100-150	258.005	138.003	258.055	138.205
90	Off-grid	M2 (13)	258.03	138.104	250-300,100-150	258.0	137.973	258.06	138.235
92	Off-grid	VIA1 (12)	267.429	142.664	250-300,100-150	267.404	142.563	267.454	142.765
93	Off-grid	M2 (13)	267.429	142.664	250-300,100-150	267.374	142.558	267.484	142.77
94	Off-grid	VIA1 (12)	289.038	136.128	250-300,100-150	289.013	136.027	289.063	136.229
95	Off-grid	M2 (13)	289.038	136.128	250-300,100-150	289.008	135.997	289.068	136.259
96	Off-grid	M2 (13)	20.581	151.48000000000002	000-050,150-200	20.526	151.374	20.636	151.586
97	Off-grid	VIA1 (12)	20.581000000000003	151.48	000-050,150-200	20.556	151.379	20.606	151.581
100	Off-grid	VIA1 (12)	39.302	149.352	000-050,100-150	39.277	149.251	39.327	149.453
101	Off-grid	M2 (13)	39.302	149.352	000-050,100-150	39.272	149.221	39.332	149.483
103	Off-grid	M1 (11)	74.132	154.6465	050-100,150-200	74.087	154.596	74.177	154.697
106	Off-grid	M2 (13)	22.101	162.728	000-050,150-200	22.046	162.622	22.156	162.834
107	Off-grid	VIA1 (12)	22.101	162.728	000-050,150-200	22.076	162.627	22.126	162.829
110	Off-grid	VIA1 (12)	51.589	162.728	050-100,150-200	51.564	162.627	51.614	162.829
111	Off-grid	M2 (13)	51.589	162.728	050-100,150-200	51.534	162.622	51.644	162.834
112	Off-grid	VIA1 (12)	49.942	162.728	000-050,150-200	49.917	162.627	49.967	162.829
113	Off-grid	VIA1 (12)	58.125	159.38400000000001	050-100,150-200	58.1	159.283	58.15	159.485
114	Off-grid	M2 (13)	58.125	159.38400000000001	050-100,150-200	58.07	159.278	58.18	159.49
116	Off-grid	M2 (13)	236.269	166.072	200-250,150-200	236.214	165.966	236.324	166.178
117	Off-grid	VIA1 (12)	236.269	166.072	200-250,150-200	236.244	165.971	236.294	166.173
131	Off-grid	VIA1 (12)	245.997	184.768	200-250,150-200	245.972	184.667	246.022	184.869
132	Off-grid	M2 (13)	245.997	184.768	200-250,150-200	245.942	184.662	246.052	184.874
136	Off-grid	VIA1 (12)	135.189	199.512	100-150,150-200	135.164	199.411	135.214	199.613
137	Off-grid	M2 (13)	135.189	199.512	100-150,150-200	135.134	199.406	135.244	199.618
138	Off-grid	VIA1 (12)	138.231	199.512	100-150,150-200	138.206	199.411	138.256	199.613
139	Off-grid	M2 (13)	138.256	199.512	100-150,150-200	138.226	199.457	138.286	199.567
140	Off-grid	VIA1 (12)	135.493	202.856	100-150,200-250	135.468	202.755	135.518	202.957
141	Off-grid	M2 (13)	135.493	202.856	100-150,200-250	135.438	202.75	135.548	202.962
143	Off-grid	VIA1 (12)	136.73399999999998	212.888	100-150,200-250	136.709	212.787	136.759	212.989
144	Off-grid	M2 (13)	136.734	212.888	100-150,200-250	136.704	212.757	136.764	213.019
145	Off-grid	VIA1 (12)	137.494	206.2	100-150,200-250	137.469	206.099	137.519	206.301
146	Off-grid	M2 (13)	137.494	206.2	100-150,200-250	137.464	206.069	137.524	206.331
147	Off-grid	VIA1 (12)	135.67000000000002	215.016	100-150,200-250	135.645	214.915	135.695	215.117
148	Off-grid	M2 (13)	135.67	215.016	100-150,200-250	135.64	214.885	135.7	215.147
149	Off-grid	VIA1 (12)	134.733	211.672	100-150,200-250	134.708	211.571	134.758	211.773
150	Off-grid	M2 (13)	134.733	211.672	100-150,200-250	134.678	211.566	134.788	211.778
151	Off-grid	VIA1 (12)	134.429	204.984	100-150,200-250	134.404	204.883	134.454	205.085
152	Off-grid	M2 (13)	134.429	204.98399999999998	100-150,200-250	134.374	204.878	134.484	205.09
153	Off-grid	VIA1 (12)	215.47	206.2	200-250,200-250	215.445	206.099	215.495	206.301
154	Off-grid	M2 (13)	215.47	206.2	200-250,200-250	215.44	206.069	215.5	206.331
155	Off-grid	VIA1 (12)	221.55	206.2	200-250,200-250	221.525	206.099	221.575	206.301
156	Off-grid	M2 (13)	221.55	206.2	200-250,200-250	221.52	206.069	221.58	206.331
157	Off-grid	VIA1 (12)	225.781	204.984	200-250,200-250	225.756	204.883	225.806	205.085
158	Off-grid	M2 (13)	225.781	204.98399999999998	200-250,200-250	225.726	204.878	225.836	205.09
159	Off-grid	VIA1 (12)	223.957	209.544	200-250,200-250	223.932	209.443	223.982	209.645
160	Off-grid	M2 (13)	223.957	209.54399999999998	200-250,200-250	223.902	209.438	224.012	209.65
161	Off-grid	M2 (13)	222.13299999999998	209.54399999999998	200-250,200-250	222.078	209.438	222.188	209.65
162	Off-grid	VIA1 (12)	222.13299999999998	209.544	200-250,200-250	222.108	209.443	222.158	209.645
163	Off-grid	VIA1 (12)	222.918	204.984	200-250,200-250	222.893	204.883	222.943	205.085
164	Off-grid	M2 (13)	222.918	204.984	200-250,200-250	222.888	204.853	222.948	205.115
165	Off-grid	VIA1 (12)	220.638	204.984	200-250,200-250	220.613	204.883	220.663	205.085
166	Off-grid	M2 (13)	220.638	204.984	200-250,200-250	220.608	204.853	220.668	205.115
167	Off-grid	VIA1 (12)	219.574	206.2	200-250,200-250	219.549	206.099	219.599	206.301
168	Off-grid	M2 (13)	219.574	206.2	200-250,200-250	219.544	206.069	219.604	206.331
169	Off-grid	VIA1 (12)	264.693	209.544	250-300,200-250	264.668	209.443	264.718	209.645
170	Off-grid	M2 (13)	264.693	209.54399999999998	250-300,200-250	264.638	209.438	264.748	209.65
173	Off-grid	VIA1 (12)	138.102	221.704	100-150,200-250	138.077	221.603	138.127	221.805
174	Off-grid	M2 (13)	138.102	221.704	100-150,200-250	138.072	221.573	138.132	221.835
175	Off-grid	VIA1 (12)	135.67000000000002	216.232	100-150,200-250	135.645	216.131	135.695	216.333
176	Off-grid	M2 (13)	135.67	216.232	100-150,200-250	135.64	216.101	135.7	216.363
177	Off-grid	M1 (11)	144.03199999999998	222.92	100-150,200-250	143.977	222.89	144.087	222.95
178	Off-grid	M2 (13)	189.301	222.92000000000002	150-200,200-250	189.246	222.814	189.356	223.026
179	Off-grid	VIA1 (12)	189.301	222.92	150-200,200-250	189.276	222.819	189.326	223.021
180	Off-grid	M2 (13)	183.373	226.264	150-200,200-250	183.318	226.158	183.428	226.37
181	Off-grid	VIA1 (12)	183.373	226.264	150-200,200-250	183.348	226.163	183.398	226.365
182	Off-grid	VIA1 (12)	199.662	219.576	150-200,200-250	199.637	219.475	199.687	219.677
183	Off-grid	M2 (13)	199.662	219.576	150-200,200-250	199.632	219.445	199.692	219.707
184	Off-grid	M2 (13)	197.20499999999998	219.576	150-200,200-250	197.15	219.47	197.26	219.682
185	Off-grid	VIA1 (12)	197.20499999999998	219.576	150-200,200-250	197.18	219.475	197.23	219.677
186	Off-grid	VIA1 (12)	194.925	222.92	150-200,200-250	194.9	222.819	194.95	223.021
187	Off-grid	M2 (13)	194.925	222.92000000000002	150-200,200-250	194.87	222.814	194.98	223.026
188	Off-grid	VIA1 (12)	210.91	222.92	200-250,200-250	210.885	222.819	210.935	223.021
189	Off-grid	M2 (13)	210.91	222.92	200-250,200-250	210.88	222.789	210.94	223.051
190	Off-grid	VIA1 (12)	209.061	226.264	200-250,200-250	209.036	226.163	209.086	226.365
