ref_name	cell_name	pin_name	point_x	point_y	point_bucket50	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket50	distance_um
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.3680	66.9680	000-050,050-100	27	Diff net spacing	M1 (11)	36.8720	77.9755	000-050,050-100	11.5493
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.3680	66.9780	000-050,050-100	27	Diff net spacing	M1 (11)	36.8720	77.9755	000-050,050-100	11.5398
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6000	172.0000	150-200,150-200	142	Needs fat contact	M1 (11)-M2 (13)	218.3600	198.1440	200-250,150-200	46.7530
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6000	172.0045	150-200,150-200	142	Needs fat contact	M1 (11)-M2 (13)	218.3600	198.1440	200-250,150-200	46.7505
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6000	172.0022	150-200,150-200	142	Needs fat contact	M1 (11)-M2 (13)	218.3600	198.1440	200-250,150-200	46.7518
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.6720	103.4280	050-100,100-150	72	Diff net spacing	M1 (11)	38.5440	114.7595	000-050,100-150	23.9749
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.6720	103.4480	050-100,100-150	72	Diff net spacing	M1 (11)	38.5440	114.7595	000-050,100-150	23.9654
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.6720	103.4380	050-100,100-150	72	Diff net spacing	M1 (11)	38.5440	114.7595	000-050,100-150	23.9702
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.3440	112.5680	050-100,100-150	38	Diff net spacing	M1 (11)	104.2080	92.4405	100-150,050-100	31.2187
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.3440	112.6015	050-100,100-150	38	Diff net spacing	M1 (11)	104.2080	92.4405	100-150,050-100	31.2403
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.3440	112.5847	050-100,100-150	38	Diff net spacing	M1 (11)	104.2080	92.4405	100-150,050-100	31.2295
