error_id	error_type	error_layer	cx	cy	bucket20	nearest_pg_net	nearest_pg_shape	nearest_pg_distance_um	nearest_pg_distance_bin
262	Needs fat contact	M1 (11)-M2 (13)	227.784	243.136	220-240,240-260	VSS	PATH_13_201	7.5840	>5.00um
266	Needs fat contact	M1 (11)-M2 (13)	230.976	248.304	220-240,240-260	VDD	PATH_13_202	8.8240	>5.00um
267	Needs fat contact	M1 (11)-M2 (13)	231.432	246.48000000000002	220-240,240-260	VDD	PATH_13_202	8.3680	>5.00um
268	Needs fat contact	M1 (11)-M2 (13)	231.28	244.95999999999998	220-240,240-260	VDD	PATH_13_202	8.5200	>5.00um
271	Needs fat contact	M1 (11)-M2 (13)	230.064	244.95999999999998	220-240,240-260	VDD	PATH_13_202	9.7360	>5.00um
272	Needs fat contact	M1 (11)-M2 (13)	231.432	249.824	220-240,240-260	VDD	PATH_13_202	8.3680	>5.00um
280	Needs fat contact	M1 (11)-M2 (13)	257.88	249.824	240-260,240-260	VSS	PATH_13_203	1.9200	<=2.00um
281	Needs fat contact	M1 (11)-M2 (13)	256.20799999999997	248.304	240-260,240-260	VSS	PATH_13_203	3.5920	<=5.00um
284	Needs fat contact	M1 (11)-M2 (13)	257.424	248.304	240-260,240-260	VSS	PATH_13_203	2.3760	<=5.00um
320	Needs fat contact	M1 (11)-M2 (13)	233.10399999999998	254.99200000000002	220-240,240-260	VDD	PATH_13_202	6.6960	>5.00um
257	Diff net spacing	M1 (11)	217.60000000000002	242.9205	200-220,240-260	VSS	PATH_13_201	2.2000	<=5.00um
258	Diff net spacing	M1 (11)	220.64	242.9205	220-240,240-260	VSS	PATH_13_201	0.4400	<=0.50um
259	Diff net spacing	M1 (11)	217.296	246.2645	200-220,240-260	VSS	PATH_13_201	2.5040	<=5.00um
260	Diff net spacing	M1 (11)	216.232	251.8635	200-220,240-260	VSS	PATH_13_201	3.5680	<=5.00um
261	Diff net spacing	M1 (11)	226.416	242.9205	220-240,240-260	VSS	PATH_13_201	6.2160	>5.00um
