shape_name	net	layer	x1	y1	x2	y2
PATH_23_20	VDD	M7	13.0000	207.5000	313.9760	208.5000
PATH_23_21	VSS	M7	10.0000	227.5000	316.9760	228.5000
PATH_25_21	VSS	M8	219.5000	10.0000	220.5000	315.9120
PATH_23_22	VDD	M7	13.0000	247.5000	313.9760	248.5000
PATH_25_22	VDD	M8	239.5000	13.0000	240.5000	312.9120
PATH_25_23	VSS	M8	259.5000	10.0000	260.5000	315.9120
PATH_11_105	VSS	M1	20.0000	195.5300	306.9760	195.5900
PATH_11_106	VDD	M1	20.0000	197.2020	306.9760	197.2620
PATH_11_107	VSS	M1	20.0000	198.8740	306.9760	198.9340
PATH_11_108	VDD	M1	20.0000	200.5460	306.9760	200.6060
PATH_11_109	VSS	M1	20.0000	202.2180	306.9760	202.2780
PATH_11_110	VDD	M1	20.0000	203.8900	306.9760	203.9500
PATH_11_111	VSS	M1	20.0000	205.5620	306.9760	205.6220
PATH_11_112	VDD	M1	20.0000	207.2340	306.9760	207.2940
PATH_11_113	VSS	M1	20.0000	208.9060	306.9760	208.9660
PATH_11_114	VDD	M1	20.0000	210.5780	306.9760	210.6380
PATH_11_115	VSS	M1	20.0000	212.2500	306.9760	212.3100
PATH_11_116	VDD	M1	20.0000	213.9220	306.9760	213.9820
PATH_11_117	VSS	M1	20.0000	215.5940	306.9760	215.6540
PATH_11_118	VDD	M1	20.0000	217.2660	306.9760	217.3260
PATH_11_119	VSS	M1	20.0000	218.9380	306.9760	218.9980
PATH_11_120	VDD	M1	20.0000	220.6100	306.9760	220.6700
PATH_11_121	VSS	M1	20.0000	222.2820	306.9760	222.3420
PATH_11_122	VDD	M1	20.0000	223.9540	306.9760	224.0140
PATH_11_123	VSS	M1	20.0000	225.6260	306.9760	225.6860
PATH_11_124	VDD	M1	20.0000	227.2980	306.9760	227.3580
PATH_11_125	VSS	M1	20.0000	228.9700	306.9760	229.0300
PATH_11_126	VDD	M1	20.0000	230.6420	306.9760	230.7020
PATH_11_127	VSS	M1	20.0000	232.3140	306.9760	232.3740
PATH_11_128	VDD	M1	20.0000	233.9860	306.9760	234.0460
PATH_11_129	VSS	M1	20.0000	235.6580	306.9760	235.7180
PATH_11_130	VDD	M1	20.0000	237.3300	306.9760	237.3900
PATH_11_131	VSS	M1	20.0000	239.0020	306.9760	239.0620
PATH_11_132	VDD	M1	20.0000	240.6740	306.9760	240.7340
PATH_11_133	VSS	M1	20.0000	242.3460	306.9760	242.4060
PATH_11_134	VDD	M1	20.0000	244.0180	306.9760	244.0780
PATH_11_135	VSS	M1	20.0000	245.6900	306.9760	245.7500
PATH_11_136	VDD	M1	20.0000	247.3620	306.9760	247.4220
PATH_11_137	VSS	M1	20.0000	249.0340	306.9760	249.0940
PATH_11_138	VDD	M1	20.0000	250.7060	306.9760	250.7660
PATH_11_139	VSS	M1	20.0000	252.3780	306.9760	252.4380
PATH_11_140	VDD	M1	20.0000	254.0500	306.9760	254.1100
PATH_11_141	VSS	M1	20.0000	255.7220	306.9760	255.7820
PATH_11_142	VDD	M1	20.0000	257.3940	306.9760	257.4540
PATH_11_143	VSS	M1	20.0000	259.0660	306.9760	259.1260
PATH_11_144	VDD	M1	20.0000	260.7380	306.9760	260.7980
PATH_11_145	VSS	M1	20.0000	262.4100	306.9760	262.4700
PATH_11_146	VDD	M1	20.0000	264.0820	306.9760	264.1420
PATH_13_201	VSS	M2	219.8000	10.0000	220.2000	315.9120
PATH_13_202	VDD	M2	239.8000	13.0000	240.2000	312.9120
PATH_13_203	VSS	M2	259.8000	10.0000	260.2000	315.9120
