error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Off-grid	VIA1 (12)	89.31	21.064	080-100,020-040	89.285	20.963	89.335	21.165
1	Off-grid	M2 (13)	89.31	21.064	080-100,020-040	89.28	20.933	89.34	21.195
2	Off-grid	VIA1 (12)	274.573	24.256	260-280,020-040	274.548	24.155	274.598	24.357
3	Off-grid	M2 (13)	274.573	24.256	260-280,020-040	274.518	24.15	274.628	24.362
4	Off-grid	VIA1 (12)	130.654	37.784	120-140,020-040	130.629	37.683	130.679	37.885
5	Off-grid	M2 (13)	130.654	37.784	120-140,020-040	130.624	37.653	130.684	37.915
6	Off-grid	VIA1 (12)	131.262	41.128	120-140,040-060	131.237	41.027	131.287	41.229
7	Off-grid	M2 (13)	131.262	41.128	120-140,040-060	131.232	40.997	131.292	41.259
8	Off-grid	VIA1 (12)	193.861	39.152	180-200,020-040	193.836	39.051	193.886	39.253
9	Off-grid	M2 (13)	193.861	39.152	180-200,020-040	193.806	39.046	193.916	39.258
10	Off-grid	VIA1 (12)	46.269	47.816	040-060,040-060	46.244	47.715	46.294	47.917
11	Off-grid	M2 (13)	46.269	47.816	040-060,040-060	46.214	47.71	46.324	47.922
12	Off-grid	VIA1 (12)	46.446	51.16	040-060,040-060	46.421	51.059	46.471	51.261
13	Off-grid	M2 (13)	46.446	51.16	040-060,040-060	46.416	51.029	46.476	51.291
14	Off-grid	VIA1 (12)	26.686	67.88	020-040,060-080	26.661	67.779	26.711	67.981
15	Off-grid	M2 (13)	26.686	67.88	020-040,060-080	26.656	67.749	26.716	68.011
16	Off-grid	VIA1 (12)	29.093	62.408	020-040,060-080	29.068	62.307	29.118	62.509
17	Off-grid	M2 (13)	29.093	62.408	020-040,060-080	29.038	62.302	29.148	62.514
18	Off-grid	VIA1 (12)	42.165	61.192	040-060,060-080	42.14	61.091	42.19	61.293
19	Off-grid	VIA1 (12)	42.19	65.752	040-060,060-080	42.165	65.651	42.215	65.853
20	Off-grid	VIA1 (12)	44.141	61.192	040-060,060-080	44.116	61.091	44.166	61.293
21	Off-grid	M2 (13)	44.141	61.192	040-060,060-080	44.086	61.086	44.196	61.298
22	Off-grid	VIA1 (12)	26.229999999999997	72.44	020-040,060-080	26.205	72.339	26.255	72.541
23	Off-grid	M2 (13)	26.23	72.44	020-040,060-080	26.2	72.309	26.26	72.571
24	Off-grid	VIA1 (12)	300.717	85.816	300-320,080-100	300.692	85.715	300.742	85.917
25	Off-grid	M2 (13)	300.717	85.816	300-320,080-100	300.662	85.71	300.772	85.922
26	Off-grid	VIA1 (12)	268.94899999999996	95.848	260-280,080-100	268.924	95.747	268.974	95.949
27	Off-grid	M2 (13)	268.949	95.848	260-280,080-100	268.894	95.742	269.004	95.954
28	Off-grid	VIA1 (12)	193.886	138.10399999999998	180-200,120-140	193.861	138.003	193.911	138.205
29	Off-grid	M2 (13)	193.886	138.104	180-200,120-140	193.856	137.973	193.916	138.235
30	Off-grid	VIA1 (12)	221.579	134.608	220-240,120-140	221.554	134.507	221.604	134.709
31	Off-grid	M2 (13)	221.579	134.608	220-240,120-140	221.524	134.502	221.634	134.714
32	Off-grid	VIA1 (12)	164.677	166.072	160-180,160-180	164.652	165.971	164.702	166.173
33	Off-grid	M2 (13)	164.67700000000002	166.072	160-180,160-180	164.622	165.966	164.732	166.178
34	Off-grid	VIA1 (12)	164.06900000000002	168.2	160-180,160-180	164.044	168.099	164.094	168.301
35	Off-grid	M2 (13)	164.06900000000002	168.2	160-180,160-180	164.014	168.094	164.124	168.306
36	Off-grid	VIA1 (12)	201.005	174.888	200-220,160-180	200.98	174.787	201.03	174.989
37	Off-grid	M2 (13)	201.005	174.888	200-220,160-180	200.95	174.782	201.06	174.994
38	Off-grid	VIA1 (12)	200.701	178.232	200-220,160-180	200.676	178.131	200.726	178.333
39	Off-grid	M2 (13)	200.701	178.232	200-220,160-180	200.646	178.126	200.756	178.338
40	Off-grid	M2 (13)	230.797	189.48000000000002	220-240,180-200	230.742	189.374	230.852	189.586
41	Off-grid	VIA1 (12)	230.797	189.48	220-240,180-200	230.772	189.379	230.822	189.581
42	Off-grid	M2 (13)	232.469	188.264	220-240,180-200	232.414	188.158	232.524	188.37
43	Off-grid	VIA1 (12)	232.469	188.264	220-240,180-200	232.444	188.163	232.494	188.365
44	Off-grid	VIA1 (12)	231.253	186.136	220-240,180-200	231.228	186.035	231.278	186.237
45	Off-grid	VIA1 (12)	241.76600000000002	189.48	240-260,180-200	241.741	189.379	241.791	189.581
46	Off-grid	M2 (13)	241.766	189.48	240-260,180-200	241.736	189.349	241.796	189.611
47	Off-grid	VIA1 (12)	251.64600000000002	191.608	240-260,180-200	251.621	191.507	251.671	191.709
48	Off-grid	M2 (13)	251.64600000000002	191.608	240-260,180-200	251.616	191.477	251.676	191.739
49	Off-grid	VIA1 (12)	201.917	199.512	200-220,180-200	201.892	199.411	201.942	199.613
50	Off-grid	M2 (13)	201.917	199.512	200-220,180-200	201.862	199.406	201.972	199.618
51	Off-grid	M2 (13)	203.006	198.296	200-220,180-200	202.976	198.165	203.036	198.427
52	Off-grid	VIA1 (12)	203.006	198.296	200-220,180-200	202.981	198.195	203.031	198.397
53	Off-grid	M2 (13)	216.813	201.64	200-220,200-220	216.758	201.534	216.868	201.746
54	Off-grid	VIA1 (12)	216.813	201.64	200-220,200-220	216.788	201.539	216.838	201.741
55	Off-grid	M2 (13)	219.299	202.856	200-220,200-220	219.244	202.75	219.354	202.962
56	Off-grid	VIA1 (12)	219.299	202.856	200-220,200-220	219.274	202.755	219.324	202.957
57	Off-grid	M2 (13)	227.909	201.64	220-240,200-220	227.854	201.534	227.964	201.746
58	Off-grid	VIA1 (12)	227.909	201.64	220-240,200-220	227.884	201.539	227.934	201.741
59	Off-grid	M2 (13)	234.14100000000002	192.824	220-240,180-200	234.086	192.718	234.196	192.93
60	Off-grid	VIA1 (12)	234.14100000000002	192.824	220-240,180-200	234.116	192.723	234.166	192.925
61	Off-grid	VIA1 (12)	241.462	196.168	240-260,180-200	241.437	196.067	241.487	196.269
62	Off-grid	M2 (13)	241.462	196.168	240-260,180-200	241.432	196.037	241.492	196.299
63	Off-grid	VIA1 (12)	296.15700000000004	199.664	280-300,180-200	296.132	199.563	296.182	199.765
64	Off-grid	M2 (13)	296.157	199.664	280-300,180-200	296.102	199.558	296.212	199.77
65	Off-grid	M2 (13)	219.245	208.328	200-220,200-220	219.19	208.222	219.3	208.434
66	Off-grid	VIA1 (12)	219.245	208.328	200-220,200-220	219.22	208.227	219.27	208.429
67	Off-grid	M2 (13)	220.613	209.54399999999998	220-240,200-220	220.558	209.438	220.668	209.65
68	Off-grid	VIA1 (12)	220.613	209.544	220-240,200-220	220.588	209.443	220.638	209.645
69	Off-grid	M2 (13)	219.118	204.984	200-220,200-220	219.088	204.853	219.148	205.115
70	Off-grid	VIA1 (12)	219.118	204.984	200-220,200-220	219.093	204.883	219.143	205.085
71	Off-grid	VIA1 (12)	249.062	204.984	240-260,200-220	249.037	204.883	249.087	205.085
72	Off-grid	M2 (13)	249.062	204.984	240-260,200-220	249.032	204.853	249.092	205.115
73	Off-grid	M2 (13)	243.413	206.2	240-260,200-220	243.358	206.094	243.468	206.306
74	Off-grid	VIA1 (12)	243.413	206.2	240-260,200-220	243.388	206.099	243.438	206.301
75	Off-grid	M2 (13)	219.397	218.36	200-220,200-220	219.342	218.254	219.452	218.466
76	Off-grid	VIA1 (12)	219.397	218.36	200-220,200-220	219.372	218.259	219.422	218.461
77	Off-grid	M1 (11)	254.536	230.064	240-260,220-240	254.506	230.009	254.566	230.119
78	Off-grid	M2 (13)	257.093	231.736	240-260,220-240	257.038	231.63	257.148	231.842
79	Off-grid	VIA1 (12)	257.09299999999996	231.736	240-260,220-240	257.068	231.635	257.118	231.837
80	Off-grid	M1 (11)	254.531	230.15499999999997	240-260,220-240	254.506	230.039	254.556	230.271
81	Off-grid	M2 (13)	261.501	235.07999999999998	260-280,220-240	261.446	234.974	261.556	235.186
82	Off-grid	VIA1 (12)	261.501	235.08	260-280,220-240	261.476	234.979	261.526	235.181
83	Off-grid	VIA1 (12)	293.87699999999995	236.296	280-300,220-240	293.852	236.195	293.902	236.397
84	Off-grid	M2 (13)	293.877	236.296	280-300,220-240	293.822	236.19	293.932	236.402
85	Off-grid	M2 (13)	296.78999999999996	236.448	280-300,220-240	296.76	236.317	296.82	236.579
86	Off-grid	VIA1 (12)	296.78999999999996	236.448	280-300,220-240	296.765	236.347	296.815	236.549
87	Off-grid	VIA1 (12)	296.63800000000003	231.736	280-300,220-240	296.613	231.635	296.663	231.837
88	Off-grid	VIA1 (12)	194.925	248.456	180-200,240-260	194.9	248.355	194.95	248.557
89	Off-grid	M2 (13)	194.925	248.45600000000002	180-200,240-260	194.87	248.35	194.98	248.562
91	Off-grid	VIA1 (12)	43.989000000000004	268.52	040-060,260-280	43.964	268.419	44.014	268.621
92	Off-grid	M2 (13)	43.989	268.52	040-060,260-280	43.934	268.414	44.044	268.626
93	Off-grid	M2 (13)	214.989	269.736	200-220,260-280	214.934	269.63	215.044	269.842
94	Off-grid	VIA1 (12)	214.989	269.736	200-220,260-280	214.964	269.635	215.014	269.837
95	Off-grid	VIA1 (12)	237.966	271.712	220-240,260-280	237.941	271.611	237.991	271.813
96	Off-grid	M2 (13)	237.966	271.712	220-240,260-280	237.936	271.581	237.996	271.843
97	Off-grid	VIA1 (12)	236.11700000000002	273.23199999999997	220-240,260-280	236.092	273.131	236.142	273.333
98	Off-grid	M2 (13)	236.11700000000002	273.23199999999997	220-240,260-280	236.062	273.126	236.172	273.338
