tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Off-grid_M1_(11)_1	77	Off-grid	M1 (11)	254.536	230.064	240-260,220-240	254.506	230.009	254.566	230.119
Off-grid_M1_(11)_2	80	Off-grid	M1 (11)	254.531	230.15499999999997	240-260,220-240	254.506	230.039	254.556	230.271
Off-grid_M2_(13)_1	1	Off-grid	M2 (13)	89.31	21.064	080-100,020-040	89.28	20.933	89.34	21.195
Off-grid_M2_(13)_2	3	Off-grid	M2 (13)	274.573	24.256	260-280,020-040	274.518	24.15	274.628	24.362
Off-grid_M2_(13)_3	5	Off-grid	M2 (13)	130.654	37.784	120-140,020-040	130.624	37.653	130.684	37.915
Off-grid_VIA1_(12)_1	0	Off-grid	VIA1 (12)	89.31	21.064	080-100,020-040	89.285	20.963	89.335	21.165
Off-grid_VIA1_(12)_2	2	Off-grid	VIA1 (12)	274.573	24.256	260-280,020-040	274.548	24.155	274.598	24.357
Off-grid_VIA1_(12)_3	4	Off-grid	VIA1 (12)	130.654	37.784	120-140,020-040	130.629	37.683	130.679	37.885
Same_net_spacing_M1_(11)_1	90	Same net spacing	M1 (11)	117.3905	254.33100000000002	100-120,240-260	117.327	254.304	117.454	254.358
Hotspot_200to220_200to220_1	53	Off-grid	M2 (13)	216.813	201.64	200-220,200-220	216.758	201.534	216.868	201.746
Hotspot_200to220_200to220_2	54	Off-grid	VIA1 (12)	216.813	201.64	200-220,200-220	216.788	201.539	216.838	201.741
Hotspot_200to220_200to220_3	55	Off-grid	M2 (13)	219.299	202.856	200-220,200-220	219.244	202.75	219.354	202.962
Hotspot_220to240_180to200_1	40	Off-grid	M2 (13)	230.797	189.48000000000002	220-240,180-200	230.742	189.374	230.852	189.586
Hotspot_220to240_180to200_2	41	Off-grid	VIA1 (12)	230.797	189.48	220-240,180-200	230.772	189.379	230.822	189.581
Hotspot_220to240_180to200_3	42	Off-grid	M2 (13)	232.469	188.264	220-240,180-200	232.414	188.158	232.524	188.37
Hotspot_020to040_060to080_1	14	Off-grid	VIA1 (12)	26.686	67.88	020-040,060-080	26.661	67.779	26.711	67.981
Hotspot_020to040_060to080_2	15	Off-grid	M2 (13)	26.686	67.88	020-040,060-080	26.656	67.749	26.716	68.011
Hotspot_020to040_060to080_3	16	Off-grid	VIA1 (12)	29.093	62.408	020-040,060-080	29.068	62.307	29.118	62.509
Hotspot_240to260_180to200_1	45	Off-grid	VIA1 (12)	241.76600000000002	189.48	240-260,180-200	241.741	189.379	241.791	189.581
Hotspot_240to260_180to200_2	46	Off-grid	M2 (13)	241.766	189.48	240-260,180-200	241.736	189.349	241.796	189.611
Hotspot_240to260_180to200_3	47	Off-grid	VIA1 (12)	251.64600000000002	191.608	240-260,180-200	251.621	191.507	251.671	191.709
Hotspot_220to240_260to280_1	95	Off-grid	VIA1 (12)	237.966	271.712	220-240,260-280	237.941	271.611	237.991	271.813
Hotspot_220to240_260to280_2	96	Off-grid	M2 (13)	237.966	271.712	220-240,260-280	237.936	271.581	237.996	271.843
Hotspot_220to240_260to280_3	97	Off-grid	VIA1 (12)	236.11700000000002	273.23199999999997	220-240,260-280	236.092	273.131	236.142	273.333
