error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Off-grid	VIA1 (12)	35.629000000000005	20.912	020-040,020-040	35.604	20.811	35.654	21.013
1	Off-grid	M2 (13)	35.629	20.912	020-040,020-040	35.574	20.806	35.684	21.018
2	Off-grid	VIA1 (12)	119.435	25.624000000000002	100-120,020-040	119.41	25.523	119.46	25.725
3	Off-grid	M2 (13)	119.435	25.624000000000002	100-120,020-040	119.38	25.518	119.49	25.73
4	Off-grid	VIA1 (12)	61.772999999999996	45.688	060-080,040-060	61.748	45.587	61.798	45.789
5	Off-grid	M2 (13)	61.773	45.688	060-080,040-060	61.718	45.582	61.828	45.794
6	Off-grid	VIA1 (12)	149.933	37.784	140-160,020-040	149.908	37.683	149.958	37.885
7	Off-grid	M2 (13)	149.933	37.784	140-160,020-040	149.878	37.678	149.988	37.89
8	Off-grid	VIA1 (12)	152.846	39.0	140-160,020-040	152.821	38.899	152.871	39.101
9	Off-grid	M2 (13)	152.846	39.0	140-160,020-040	152.816	38.869	152.876	39.131
10	Off-grid	VIA1 (12)	60.709	54.504	060-080,040-060	60.684	54.403	60.734	54.605
11	Off-grid	M2 (13)	60.709	54.504000000000005	060-080,040-060	60.654	54.398	60.764	54.61
12	Off-grid	VIA1 (12)	192.493	54.352000000000004	180-200,040-060	192.468	54.251	192.518	54.453
13	Off-grid	M2 (13)	192.493	54.352000000000004	180-200,040-060	192.438	54.246	192.548	54.458
14	Off-grid	VIA1 (12)	30.308999999999997	69.096	020-040,060-080	30.284	68.995	30.334	69.197
15	Off-grid	M2 (13)	30.309	69.096	020-040,060-080	30.254	68.99	30.364	69.202
16	Off-grid	VIA1 (12)	55.11	65.752	040-060,060-080	55.085	65.651	55.135	65.853
17	Off-grid	M2 (13)	55.11	65.752	040-060,060-080	55.08	65.621	55.14	65.883
18	Off-grid	VIA1 (12)	68.917	69.096	060-080,060-080	68.892	68.995	68.942	69.197
19	Off-grid	M2 (13)	68.917	69.096	060-080,060-080	68.862	68.99	68.972	69.202
20	Off-grid	VIA1 (12)	58.277	65.752	040-060,060-080	58.252	65.651	58.302	65.853
21	Off-grid	M2 (13)	58.277	65.75200000000001	040-060,060-080	58.222	65.646	58.332	65.858
22	Off-grid	VIA1 (12)	32.893	74.568	020-040,060-080	32.868	74.467	32.918	74.669
23	Off-grid	M2 (13)	32.893	74.56800000000001	020-040,060-080	32.838	74.462	32.948	74.674
24	Off-grid	VIA1 (12)	293.725	74.568	280-300,060-080	293.7	74.467	293.75	74.669
25	Off-grid	M2 (13)	293.725	74.56800000000001	280-300,060-080	293.67	74.462	293.78	74.674
26	Off-grid	VIA1 (12)	265.63	101.32	260-280,100-120	265.605	101.219	265.655	101.421
27	Off-grid	M2 (13)	265.63	101.32	260-280,100-120	265.6	101.189	265.66	101.451
28	Off-grid	M1 (11)	185.224	142.664	180-200,140-160	185.169	142.634	185.279	142.694
29	Off-grid	M1 (11)	185.1655	142.66899999999998	180-200,140-160	185.082	142.644	185.249	142.694
