tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	75	Diff net spacing	M1 (11)	259.48400000000004	225.808	240-260,220-240	259.447	225.728	259.521	225.888
Diff_net_spacing_M2_(13)_1	76	Diff net spacing	M2 (13)	259.56600000000003	225.732	240-260,220-240	259.494	225.697	259.638	225.767
Off-grid_M1_(11)_1	28	Off-grid	M1 (11)	185.224	142.664	180-200,140-160	185.169	142.634	185.279	142.694
Off-grid_M1_(11)_2	29	Off-grid	M1 (11)	185.1655	142.66899999999998	180-200,140-160	185.082	142.644	185.249	142.694
Off-grid_M2_(13)_1	1	Off-grid	M2 (13)	35.629	20.912	020-040,020-040	35.574	20.806	35.684	21.018
Off-grid_M2_(13)_2	3	Off-grid	M2 (13)	119.435	25.624000000000002	100-120,020-040	119.38	25.518	119.49	25.73
Off-grid_M2_(13)_3	5	Off-grid	M2 (13)	61.773	45.688	060-080,040-060	61.718	45.582	61.828	45.794
Off-grid_VIA1_(12)_1	0	Off-grid	VIA1 (12)	35.629000000000005	20.912	020-040,020-040	35.604	20.811	35.654	21.013
Off-grid_VIA1_(12)_2	2	Off-grid	VIA1 (12)	119.435	25.624000000000002	100-120,020-040	119.41	25.523	119.46	25.725
Off-grid_VIA1_(12)_3	4	Off-grid	VIA1 (12)	61.772999999999996	45.688	060-080,040-060	61.748	45.587	61.798	45.789
Hotspot_220to240_200to220_1	52	Off-grid	VIA1 (12)	238.118	212.888	220-240,200-220	238.093	212.787	238.143	212.989
Hotspot_220to240_200to220_2	53	Off-grid	M2 (13)	238.118	212.888	220-240,200-220	238.088	212.757	238.148	213.019
Hotspot_220to240_200to220_3	54	Off-grid	VIA1 (12)	232.773	204.984	220-240,200-220	232.748	204.883	232.798	205.085
Hotspot_240to260_200to220_1	56	Off-grid	VIA1 (12)	244.477	206.2	240-260,200-220	244.452	206.099	244.502	206.301
Hotspot_240to260_200to220_2	57	Off-grid	M2 (13)	244.477	206.2	240-260,200-220	244.422	206.094	244.532	206.306
Hotspot_240to260_200to220_3	58	Off-grid	VIA1 (12)	246.909	209.544	240-260,200-220	246.884	209.443	246.934	209.645
Hotspot_240to260_220to240_1	73	Off-grid	VIA1 (12)	242.805	225.048	240-260,220-240	242.78	224.947	242.83	225.149
Hotspot_240to260_220to240_2	74	Off-grid	M2 (13)	242.805	225.048	240-260,220-240	242.75	224.942	242.86	225.154
Hotspot_240to260_220to240_3	81	Off-grid	M2 (13)	256.181	229.608	240-260,220-240	256.126	229.502	256.236	229.714
Hotspot_240to260_240to260_1	89	Off-grid	VIA1 (12)	247.213	243.136	240-260,240-260	247.188	243.035	247.238	243.237
Hotspot_240to260_240to260_2	90	Off-grid	M2 (13)	247.213	243.136	240-260,240-260	247.158	243.03	247.268	243.242
Hotspot_240to260_240to260_3	91	Off-grid	VIA1 (12)	255.75	244.96	240-260,240-260	255.725	244.859	255.775	245.061
Hotspot_220to240_220to240_1	68	Off-grid	VIA1 (12)	237.20600000000002	226.264	220-240,220-240	237.181	226.163	237.231	226.365
Hotspot_220to240_220to240_2	69	Off-grid	M2 (13)	237.206	226.264	220-240,220-240	237.176	226.133	237.236	226.395
Hotspot_220to240_220to240_3	78	Off-grid	VIA1 (12)	224.74200000000002	228.392	220-240,220-240	224.717	228.291	224.767	228.493
