error_id	error_type	error_layer	cx	cy	cell	pin	access_status	access_x	access_y	distance
0	Off-grid	VIA1 (12)	35.629000000000005	20.912	u_core/core_i/U5633	A2	Routable	35.6560	20.9120	0.027000
1	Off-grid	M2 (13)	35.629	20.912	u_core/core_i/U5633	A2	Routable	35.6560	20.9120	0.027000
2	Off-grid	VIA1 (12)	119.435	25.624000000000002	u_core/core_i/id_stage_i/U2688	A2	Routable	119.4080	25.6240	0.027000
3	Off-grid	M2 (13)	119.435	25.624000000000002	u_core/core_i/id_stage_i/U2688	A2	Routable	119.4080	25.6240	0.027000
4	Off-grid	VIA1 (12)	61.772999999999996	45.688	u_core/core_i/id_stage_i/U3375	A2	Routable	61.8000	45.6880	0.027000
5	Off-grid	M2 (13)	61.773	45.688	u_core/core_i/id_stage_i/U3375	A2	Routable	61.8000	45.6880	0.027000
6	Off-grid	VIA1 (12)	149.933	37.784	u_core/core_i/id_stage_i/U1195	A2	Routable	149.9600	37.7490	0.044204
7	Off-grid	M2 (13)	149.933	37.784	u_core/core_i/id_stage_i/U1195	A2	Routable	149.9600	37.7490	0.044204
8	Off-grid	VIA1 (12)	152.846	39.0	u_core/core_i/id_stage_i/U3540	A2	Routable	152.8480	39.0000	0.002000
9	Off-grid	M2 (13)	152.846	39.0	u_core/core_i/id_stage_i/U3540	A2	Routable	152.8480	39.0000	0.002000
10	Off-grid	VIA1 (12)	60.709	54.504	u_core/core_i/id_stage_i/U1193	A2	Routable	60.7360	54.4690	0.044204
11	Off-grid	M2 (13)	60.709	54.504000000000005	u_core/core_i/id_stage_i/U1193	A2	Routable	60.7360	54.4690	0.044204
12	Off-grid	VIA1 (12)	192.493	54.352000000000004	u_core/core_i/id_stage_i/U2475	A2	Routable	192.5200	54.3520	0.027000
13	Off-grid	M2 (13)	192.493	54.352000000000004	u_core/core_i/id_stage_i/U2475	A2	Routable	192.5200	54.3520	0.027000
14	Off-grid	VIA1 (12)	30.308999999999997	69.096	u_core/core_i/id_stage_i/U204	A2	Routable	30.3360	69.0960	0.027000
15	Off-grid	M2 (13)	30.309	69.096	u_core/core_i/id_stage_i/U204	A2	Routable	30.3360	69.0960	0.027000
16	Off-grid	VIA1 (12)	55.11	65.752	u_core/core_i/id_stage_i/U1198	A2	Routable	55.1120	65.7520	0.002000
17	Off-grid	M2 (13)	55.11	65.752	u_core/core_i/id_stage_i/U1198	A2	Routable	55.1120	65.7520	0.002000
18	Off-grid	VIA1 (12)	68.917	69.096	u_core/core_i/id_stage_i/U1700	A2	Routable	68.9440	69.0960	0.027000
19	Off-grid	M2 (13)	68.917	69.096	u_core/core_i/id_stage_i/U1700	A2	Routable	68.9440	69.0960	0.027000
20	Off-grid	VIA1 (12)	58.277	65.752	u_core/core_i/id_stage_i/U1200	A2	Routable	58.3040	65.7520	0.027000
21	Off-grid	M2 (13)	58.277	65.75200000000001	u_core/core_i/id_stage_i/U1200	A2	Routable	58.3040	65.7520	0.027000
22	Off-grid	VIA1 (12)	32.893	74.568	u_core/core_i/id_stage_i/U1190	A2	Routable	32.9200	74.5330	0.044204
23	Off-grid	M2 (13)	32.893	74.56800000000001	u_core/core_i/id_stage_i/U1190	A2	Routable	32.9200	74.5330	0.044204
24	Off-grid	VIA1 (12)	293.725	74.568	u_core/core_i/U5127	A2	Routable	293.7520	74.5330	0.044204
25	Off-grid	M2 (13)	293.725	74.56800000000001	u_core/core_i/U5127	A2	Routable	293.7520	74.5330	0.044204
26	Off-grid	VIA1 (12)	265.63	101.32	u_core/core_i/U5112	A2	Routable	265.6320	101.2850	0.035057
27	Off-grid	M2 (13)	265.63	101.32	u_core/core_i/U5112	A2	Routable	265.6320	101.2850	0.035057
30	Off-grid	VIA1 (12)	216.838	139.472	u_core/core_i/cs_registers_i/U110	A2	Routable	216.8400	139.4350	0.037054
31	Off-grid	M2 (13)	216.838	139.472	u_core/core_i/cs_registers_i/U110	A2	Routable	216.8400	139.4350	0.037054
32	Off-grid	VIA1 (12)	188.566	152.696	u_core/core_i/id_stage_i/U582	A2	Routable	188.5680	152.6960	0.002000
33	Off-grid	M2 (13)	188.566	152.696	u_core/core_i/id_stage_i/U582	A2	Routable	188.5680	152.6960	0.002000
34	Off-grid	VIA1 (12)	213.494	164.856	u_core/core_i/id_stage_i/U577	A2	Routable	213.4960	164.8210	0.035057
35	Off-grid	M2 (13)	213.494	164.856	u_core/core_i/id_stage_i/U577	A2	Routable	213.4960	164.8210	0.035057
36	Off-grid	VIA1 (12)	161.814	171.544	u_core/core_i/id_stage_i/U394	A2	Routable	161.8160	171.5090	0.035057
