error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Off-grid	VIA1 (12)	20.581000000000003	24.408	020-040,020-040	20.556	24.307	20.606	24.509
1	Off-grid	M2 (13)	20.581	24.408	020-040,020-040	20.526	24.302	20.636	24.514
2	Off-grid	VIA1 (12)	61.317	32.312	060-080,020-040	61.292	32.211	61.342	32.413
3	Off-grid	M2 (13)	61.317	32.312	060-080,020-040	61.262	32.206	61.372	32.418
4	Off-grid	VIA1 (12)	63.445	32.312	060-080,020-040	63.42	32.211	63.47	32.413
5	Off-grid	M2 (13)	63.445	32.312	060-080,020-040	63.39	32.206	63.5	32.418
6	Off-grid	VIA1 (12)	27.573	37.784	020-040,020-040	27.548	37.683	27.598	37.885
7	Off-grid	M2 (13)	27.573	37.784	020-040,020-040	27.518	37.678	27.628	37.89
8	Off-grid	VIA1 (12)	27.573	39.0	020-040,020-040	27.548	38.899	27.598	39.101
9	Off-grid	M2 (13)	27.573	39.0	020-040,020-040	27.518	38.894	27.628	39.106
10	Off-grid	VIA1 (12)	31.525	42.344	020-040,040-060	31.5	42.243	31.55	42.445
11	Off-grid	M2 (13)	31.525	42.344	020-040,040-060	31.47	42.238	31.58	42.45
12	Off-grid	VIA1 (12)	34.134	44.472	020-040,040-060	34.109	44.371	34.159	44.573
13	Off-grid	M2 (13)	34.134	44.472	020-040,040-060	34.104	44.341	34.164	44.603
14	Off-grid	VIA1 (12)	59.370000000000005	34.44	040-060,020-040	59.345	34.339	59.395	34.541
15	Off-grid	VIA1 (12)	217.573	37.632	200-220,020-040	217.548	37.531	217.598	37.733
16	Off-grid	M2 (13)	217.57299999999998	37.632000000000005	200-220,020-040	217.518	37.526	217.628	37.738
17	Off-grid	VIA1 (12)	234.293	39.0	220-240,020-040	234.268	38.899	234.318	39.101
18	Off-grid	M2 (13)	234.293	39.0	220-240,020-040	234.238	38.894	234.348	39.106
19	Off-grid	VIA1 (12)	234.293	41.128	220-240,040-060	234.268	41.027	234.318	41.229
20	Off-grid	M2 (13)	234.293	41.128	220-240,040-060	234.238	41.022	234.348	41.234
21	Off-grid	M2 (13)	289.494	34.44	280-300,020-040	289.464	34.309	289.524	34.571
22	Off-grid	VIA1 (12)	289.494	34.44	280-300,020-040	289.469	34.339	289.519	34.541
23	Off-grid	VIA1 (12)	49.486000000000004	51.16	040-060,040-060	49.461	51.059	49.511	51.261
24	Off-grid	M2 (13)	49.486000000000004	51.16	040-060,040-060	49.456	51.029	49.516	51.291
25	Off-grid	VIA1 (12)	70.13300000000001	49.032	060-080,040-060	70.108	48.931	70.158	49.133
26	Off-grid	M2 (13)	70.13300000000001	49.032	060-080,040-060	70.078	48.926	70.188	49.138
27	Off-grid	VIA1 (12)	43.381	72.44	040-060,060-080	43.356	72.339	43.406	72.541
28	Off-grid	M2 (13)	43.381	72.44	040-060,060-080	43.326	72.334	43.436	72.546
29	Off-grid	VIA1 (12)	42.19	71.224	040-060,060-080	42.165	71.123	42.215	71.325
30	Off-grid	M2 (13)	42.19	71.224	040-060,060-080	42.16	71.093	42.22	71.355
