tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Off-grid_M2_(13)_1	1	Off-grid	M2 (13)	20.581	24.408	020-040,020-040	20.526	24.302	20.636	24.514
Off-grid_M2_(13)_2	3	Off-grid	M2 (13)	61.317	32.312	060-080,020-040	61.262	32.206	61.372	32.418
Off-grid_M2_(13)_3	5	Off-grid	M2 (13)	63.445	32.312	060-080,020-040	63.39	32.206	63.5	32.418
Off-grid_VIA1_(12)_1	0	Off-grid	VIA1 (12)	20.581000000000003	24.408	020-040,020-040	20.556	24.307	20.606	24.509
Off-grid_VIA1_(12)_2	2	Off-grid	VIA1 (12)	61.317	32.312	060-080,020-040	61.292	32.211	61.342	32.413
Off-grid_VIA1_(12)_3	4	Off-grid	VIA1 (12)	63.445	32.312	060-080,020-040	63.42	32.211	63.47	32.413
Hotspot_200to220_240to260_1	84	Off-grid	VIA1 (12)	200.701	251.8	200-220,240-260	200.676	251.699	200.726	251.901
Hotspot_200to220_240to260_2	85	Off-grid	M2 (13)	214.22899999999998	248.45600000000002	200-220,240-260	214.174	248.35	214.284	248.562
Hotspot_200to220_240to260_3	86	Off-grid	VIA1 (12)	214.22899999999998	248.456	200-220,240-260	214.204	248.355	214.254	248.557
Hotspot_240to260_280to300_1	155	Off-grid	M2 (13)	244.781	285.24	240-260,280-300	244.726	285.134	244.836	285.346
Hotspot_240to260_280to300_2	156	Off-grid	VIA1 (12)	244.781	285.24	240-260,280-300	244.756	285.139	244.806	285.341
Hotspot_240to260_280to300_3	157	Off-grid	VIA1 (12)	243.59	281.896	240-260,280-300	243.565	281.795	243.615	281.997
Hotspot_220to240_240to260_1	101	Off-grid	VIA1 (12)	226.541	251.8	220-240,240-260	226.516	251.699	226.566	251.901
Hotspot_220to240_240to260_2	102	Off-grid	M2 (13)	226.541	251.8	220-240,240-260	226.486	251.694	226.596	251.906
Hotspot_220to240_240to260_3	103	Off-grid	VIA1 (12)	221.677	251.8	220-240,240-260	221.652	251.699	221.702	251.901
Hotspot_220to240_260to280_1	133	Off-grid	M2 (13)	223.982	265.17600000000004	220-240,260-280	223.952	265.045	224.012	265.307
Hotspot_220to240_260to280_2	134	Off-grid	VIA1 (12)	223.982	265.176	220-240,260-280	223.957	265.075	224.007	265.277
Hotspot_220to240_260to280_3	135	Off-grid	VIA1 (12)	222.437	265.176	220-240,260-280	222.412	265.075	222.462	265.277
Hotspot_220to240_280to300_1	167	Off-grid	M2 (13)	227.453	296.488	220-240,280-300	227.398	296.382	227.508	296.594
Hotspot_220to240_280to300_2	168	Off-grid	VIA1 (12)	227.453	296.488	220-240,280-300	227.428	296.387	227.478	296.589
Hotspot_220to240_280to300_3	169	Off-grid	VIA1 (12)	238.701	298.616	220-240,280-300	238.676	298.515	238.726	298.717
