error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Off-grid	M2 (13)	36.566	20.912	020-040,020-040	36.536	20.781	36.596	21.043
1	Off-grid	VIA1 (12)	36.566	20.912	020-040,020-040	36.541	20.811	36.591	21.013
2	Off-grid	VIA1 (12)	20.732999999999997	22.28	020-040,020-040	20.708	22.179	20.758	22.381
3	Off-grid	M2 (13)	20.733	22.28	020-040,020-040	20.678	22.174	20.788	22.386
4	Off-grid	VIA1 (12)	37.174	45.688	020-040,040-060	37.149	45.587	37.199	45.789
5	Off-grid	M2 (13)	37.174	45.688	020-040,040-060	37.144	45.557	37.204	45.819
6	Off-grid	VIA1 (12)	135.36599999999999	37.784	120-140,020-040	135.341	37.683	135.391	37.885
7	Off-grid	M2 (13)	135.36599999999999	37.784	120-140,020-040	135.336	37.653	135.396	37.915
8	Off-grid	VIA1 (12)	136.55700000000002	39.0	120-140,020-040	136.532	38.899	136.582	39.101
9	Off-grid	M2 (13)	136.55700000000002	39.0	120-140,020-040	136.502	38.894	136.612	39.106
10	Off-grid	VIA1 (12)	197.50900000000001	42.496	180-200,040-060	197.484	42.395	197.534	42.597
11	Off-grid	M2 (13)	197.50900000000001	42.495999999999995	180-200,040-060	197.454	42.39	197.564	42.602
12	Off-grid	VIA1 (12)	39.429	47.816	020-040,040-060	39.404	47.715	39.454	47.917
13	Off-grid	M2 (13)	39.429	47.816	020-040,040-060	39.374	47.71	39.484	47.922
14	Off-grid	VIA1 (12)	56.909	69.096	040-060,060-080	56.884	68.995	56.934	69.197
15	Off-grid	M2 (13)	56.909	69.096	040-060,060-080	56.854	68.99	56.964	69.202
16	Off-grid	VIA1 (12)	47.941	62.408	040-060,060-080	47.916	62.307	47.966	62.509
17	Off-grid	M2 (13)	47.941	62.408	040-060,060-080	47.886	62.302	47.996	62.514
18	Off-grid	VIA1 (12)	59.366	69.096	040-060,060-080	59.341	68.995	59.391	69.197
19	Off-grid	M2 (13)	59.366	69.096	040-060,060-080	59.336	68.965	59.396	69.227
20	Off-grid	VIA1 (12)	40.547	71.224	040-060,060-080	40.522	71.123	40.572	71.325
21	Off-grid	M2 (13)	40.547	71.22399999999999	040-060,060-080	40.492	71.118	40.602	71.33
22	Off-grid	VIA1 (12)	42.772999999999996	72.44	040-060,060-080	42.748	72.339	42.798	72.541
23	Off-grid	M2 (13)	42.773	72.44	040-060,060-080	42.718	72.334	42.828	72.546
24	Off-grid	VIA1 (12)	43.558	74.568	040-060,060-080	43.533	74.467	43.583	74.669
25	Off-grid	M2 (13)	43.558	74.568	040-060,060-080	43.528	74.437	43.588	74.699
26	Off-grid	VIA1 (12)	296.91700000000003	82.472	280-300,080-100	296.892	82.371	296.942	82.573
27	Off-grid	M2 (13)	296.91700000000003	82.47200000000001	280-300,080-100	296.862	82.366	296.972	82.578
