tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	29	Diff net spacing	M1 (11)	260.616	95.446	260-280,080-100	260.511	95.42	260.721	95.472
Diff_net_spacing_M1_(11)_2	85	Diff net spacing	M1 (11)	259.48400000000004	225.808	240-260,220-240	259.447	225.728	259.521	225.888
Diff_net_spacing_M1_(11)_3	89	Diff net spacing	M1 (11)	259.48400000000004	232.192	240-260,220-240	259.447	232.112	259.521	232.272
Diff_net_spacing_M2_(13)_1	86	Diff net spacing	M2 (13)	259.56600000000003	225.732	240-260,220-240	259.494	225.697	259.638	225.767
Diff_net_spacing_M2_(13)_2	90	Diff net spacing	M2 (13)	259.56600000000003	232.268	240-260,220-240	259.494	232.233	259.638	232.303
Off-grid_M1_(11)_1	28	Off-grid	M1 (11)	260.616	95.392	260-280,080-100	260.561	95.362	260.671	95.422
Off-grid_M2_(13)_1	0	Off-grid	M2 (13)	36.566	20.912	020-040,020-040	36.536	20.781	36.596	21.043
Off-grid_M2_(13)_2	3	Off-grid	M2 (13)	20.733	22.28	020-040,020-040	20.678	22.174	20.788	22.386
Off-grid_M2_(13)_3	5	Off-grid	M2 (13)	37.174	45.688	020-040,040-060	37.144	45.557	37.204	45.819
Off-grid_VIA1_(12)_1	1	Off-grid	VIA1 (12)	36.566	20.912	020-040,020-040	36.541	20.811	36.591	21.013
Off-grid_VIA1_(12)_2	2	Off-grid	VIA1 (12)	20.732999999999997	22.28	020-040,020-040	20.708	22.179	20.758	22.381
Off-grid_VIA1_(12)_3	4	Off-grid	VIA1 (12)	37.174	45.688	020-040,040-060	37.149	45.587	37.199	45.789
Short_M1_(11)_1	109	Short	M1 (11)	300.744	302.568	300-320,300-320	300.669	302.488	300.819	302.648
Hotspot_040to060_060to080_1	14	Off-grid	VIA1 (12)	56.909	69.096	040-060,060-080	56.884	68.995	56.934	69.197
Hotspot_040to060_060to080_2	15	Off-grid	M2 (13)	56.909	69.096	040-060,060-080	56.854	68.99	56.964	69.202
Hotspot_040to060_060to080_3	16	Off-grid	VIA1 (12)	47.941	62.408	040-060,060-080	47.916	62.307	47.966	62.509
Hotspot_180to200_200to220_1	53	Off-grid	M2 (13)	192.493	206.2	180-200,200-220	192.438	206.094	192.548	206.306
Hotspot_180to200_200to220_2	54	Off-grid	VIA1 (12)	192.493	206.2	180-200,200-220	192.468	206.099	192.518	206.301
Hotspot_180to200_200to220_3	55	Off-grid	M2 (13)	199.387	204.98399999999998	180-200,200-220	199.332	204.878	199.442	205.09
Hotspot_220to240_180to200_1	45	Off-grid	VIA1 (12)	230.64499999999998	191.608	220-240,180-200	230.62	191.507	230.67	191.709
Hotspot_220to240_180to200_2	46	Off-grid	M2 (13)	230.64499999999998	191.608	220-240,180-200	230.59	191.502	230.7	191.714
Hotspot_220to240_180to200_3	47	Off-grid	VIA1 (12)	220.81900000000002	192.824	220-240,180-200	220.794	192.723	220.844	192.925
Hotspot_200to220_200to220_1	63	Off-grid	M2 (13)	201.942	208.328	200-220,200-220	201.912	208.197	201.972	208.459
Hotspot_200to220_200to220_2	64	Off-grid	VIA1 (12)	201.942	208.328	200-220,200-220	201.917	208.227	201.967	208.429
Hotspot_200to220_200to220_3	65	Off-grid	VIA1 (12)	204.653	211.672	200-220,200-220	204.628	211.571	204.678	211.773
Hotspot_160to180_220to240_1	69	Off-grid	M2 (13)	172.758	225.048	160-180,220-240	172.728	224.917	172.788	225.179
Hotspot_160to180_220to240_2	70	Off-grid	VIA1 (12)	172.75799999999998	225.048	160-180,220-240	172.733	224.947	172.783	225.149
Hotspot_160to180_220to240_3	71	Off-grid	VIA1 (12)	169.11	225.048	160-180,220-240	169.085	224.947	169.135	225.149
