tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Off-grid_M2_13_0	0	Off-grid	M2 (13)	36.566	20.912	020-040,020-040	36.5360	20.7810	36.5960	21.0430
Off-grid_VIA1_12_1	1	Off-grid	VIA1 (12)	36.566	20.912	020-040,020-040	36.5410	20.8110	36.5910	21.0130
Off-grid_VIA1_12_2	2	Off-grid	VIA1 (12)	20.733	22.28	020-040,020-040	20.7080	22.1790	20.7580	22.3810
Off-grid_M2_13_3	3	Off-grid	M2 (13)	20.733	22.28	020-040,020-040	20.6780	22.1740	20.7880	22.3860
Off-grid_VIA1_12_4	4	Off-grid	VIA1 (12)	37.174	45.688	020-040,040-060	37.1490	45.5870	37.1990	45.7890
Off-grid_M2_13_5	5	Off-grid	M2 (13)	37.174	45.688	020-040,040-060	37.1440	45.5570	37.2040	45.8190
Off-grid_VIA1_12_6	6	Off-grid	VIA1 (12)	135.366	37.784	120-140,020-040	135.3410	37.6830	135.3910	37.8850
Off-grid_M2_13_7	7	Off-grid	M2 (13)	135.366	37.784	120-140,020-040	135.3360	37.6530	135.3960	37.9150
Off-grid_VIA1_12_8	8	Off-grid	VIA1 (12)	136.557	39	120-140,020-040	136.5320	38.8990	136.5820	39.1010
Off-grid_M2_13_9	9	Off-grid	M2 (13)	136.557	39	120-140,020-040	136.5020	38.8940	136.6120	39.1060
Off-grid_VIA1_12_10	10	Off-grid	VIA1 (12)	197.509	42.496	180-200,040-060	197.4840	42.3950	197.5340	42.5970
Off-grid_M2_13_11	11	Off-grid	M2 (13)	197.509	42.496	180-200,040-060	197.4540	42.3900	197.5640	42.6020
Off-grid_VIA1_12_12	12	Off-grid	VIA1 (12)	39.429	47.816	020-040,040-060	39.4040	47.7150	39.4540	47.9170
Off-grid_M2_13_13	13	Off-grid	M2 (13)	39.429	47.816	020-040,040-060	39.3740	47.7100	39.4840	47.9220
Off-grid_VIA1_12_14	14	Off-grid	VIA1 (12)	56.909	69.096	040-060,060-080	56.8840	68.9950	56.9340	69.1970
Off-grid_M2_13_15	15	Off-grid	M2 (13)	56.909	69.096	040-060,060-080	56.8540	68.9900	56.9640	69.2020
Off-grid_VIA1_12_16	16	Off-grid	VIA1 (12)	47.941	62.408	040-060,060-080	47.9160	62.3070	47.9660	62.5090
Off-grid_M2_13_17	17	Off-grid	M2 (13)	47.941	62.408	040-060,060-080	47.8860	62.3020	47.9960	62.5140
Off-grid_VIA1_12_18	18	Off-grid	VIA1 (12)	59.366	69.096	040-060,060-080	59.3410	68.9950	59.3910	69.1970
Off-grid_M2_13_19	19	Off-grid	M2 (13)	59.366	69.096	040-060,060-080	59.3360	68.9650	59.3960	69.2270
Off-grid_VIA1_12_20	20	Off-grid	VIA1 (12)	40.547	71.224	040-060,060-080	40.5220	71.1230	40.5720	71.3250
Off-grid_M2_13_21	21	Off-grid	M2 (13)	40.547	71.224	040-060,060-080	40.4920	71.1180	40.6020	71.3300
Off-grid_VIA1_12_22	22	Off-grid	VIA1 (12)	42.773	72.44	040-060,060-080	42.7480	72.3390	42.7980	72.5410
Off-grid_M2_13_23	23	Off-grid	M2 (13)	42.773	72.44	040-060,060-080	42.7180	72.3340	42.8280	72.5460
Off-grid_VIA1_12_24	24	Off-grid	VIA1 (12)	43.558	74.568	040-060,060-080	43.5330	74.4670	43.5830	74.6690
Off-grid_M2_13_25	25	Off-grid	M2 (13)	43.558	74.568	040-060,060-080	43.5280	74.4370	43.5880	74.6990
Off-grid_VIA1_12_26	26	Off-grid	VIA1 (12)	296.917	82.472	280-300,080-100	296.8920	82.3710	296.9420	82.5730
Off-grid_M2_13_27	27	Off-grid	M2 (13)	296.917	82.472	280-300,080-100	296.8620	82.3660	296.9720	82.5780
Off-grid_M1_11_28	28	Off-grid	M1 (11)	260.616	95.392	260-280,080-100	260.5610	95.3620	260.6710	95.4220
Off-grid_VIA1_12_30	30	Off-grid	VIA1 (12)	214.254	111.352	200-220,100-120	214.2290	111.2510	214.2790	111.4530
Off-grid_M2_13_31	31	Off-grid	M2 (13)	214.254	111.352	200-220,100-120	214.2240	111.2210	214.2840	111.4830
Off-grid_VIA1_12_32	32	Off-grid	VIA1 (12)	293.269	116.064	280-300,100-120	293.2440	115.9630	293.2940	116.1650
Off-grid_M2_13_33	33	Off-grid	M2 (13)	293.269	116.064	280-300,100-120	293.2140	115.9580	293.3240	116.1700
Off-grid_VIA1_12_34	34	Off-grid	VIA1 (12)	222.006	146.16	220-240,140-160	221.9810	146.0590	222.0310	146.2610
Off-grid_M2_13_35	35	Off-grid	M2 (13)	222.006	146.16	220-240,140-160	221.9760	146.0290	222.0360	146.2910
Off-grid_VIA1_12_36	36	Off-grid	VIA1 (12)	167.413	164.856	160-180,160-180	167.3880	164.7550	167.4380	164.9570
Off-grid_M2_13_37	37	Off-grid	M2 (13)	167.413	164.856	160-180,160-180	167.3580	164.7500	167.4680	164.9620
Off-grid_VIA1_12_38	38	Off-grid	VIA1 (12)	191.302	156.04	180-200,140-160	191.2770	155.9390	191.3270	156.1410
Off-grid_VIA1_12_39	39	Off-grid	VIA1 (12)	168.173	169.416	160-180,160-180	168.1480	169.3150	168.1980	169.5170
Off-grid_M2_13_40	40	Off-grid	M2 (13)	168.173	169.416	160-180,160-180	168.1180	169.3100	168.2280	169.5220
Off-grid_VIA1_12_41	41	Off-grid	VIA1 (12)	208.453	174.888	200-220,160-180	208.4280	174.7870	208.4780	174.9890
Off-grid_M2_13_42	42	Off-grid	M2 (13)	208.453	174.888	200-220,160-180	208.3980	174.7820	208.5080	174.9940
Off-grid_M2_13_43	43	Off-grid	M2 (13)	206.477	174.888	200-220,160-180	206.4220	174.7820	206.5320	174.9940
Off-grid_VIA1_12_44	44	Off-grid	VIA1 (12)	206.477	174.888	200-220,160-180	206.4520	174.7870	206.5020	174.9890
Off-grid_VIA1_12_45	45	Off-grid	VIA1 (12)	230.645	191.608	220-240,180-200	230.6200	191.5070	230.6700	191.7090
Off-grid_M2_13_46	46	Off-grid	M2 (13)	230.645	191.608	220-240,180-200	230.5900	191.5020	230.7000	191.7140
Off-grid_VIA1_12_47	47	Off-grid	VIA1 (12)	220.819	192.824	220-240,180-200	220.7940	192.7230	220.8440	192.9250
Off-grid_M2_13_48	48	Off-grid	M2 (13)	220.819	192.824	220-240,180-200	220.7640	192.7180	220.8740	192.9300
Off-grid_VIA1_12_49	49	Off-grid	VIA1 (12)	227.301	198.296	220-240,180-200	227.2760	198.1950	227.3260	198.3970
Off-grid_M2_13_50	50	Off-grid	M2 (13)	227.301	198.296	220-240,180-200	227.2460	198.1900	227.3560	198.4020
Off-grid_VIA1_12_51	51	Off-grid	VIA1 (12)	224.134	194.952	220-240,180-200	224.1090	194.8510	224.1590	195.0530
