tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Off-grid_M2_13_1	0	Off-grid	M2 (13)	36.566	20.912	020-040,020-040	36.5360	20.7810	36.5960	21.0430
Off-grid_VIA1_12_1	1	Off-grid	VIA1 (12)	36.566	20.912	020-040,020-040	36.5410	20.8110	36.5910	21.0130
Hotspot_020to040to020to040_sample	2	Off-grid	VIA1 (12)	20.733	22.28	020-040,020-040	20.7080	22.1790	20.7580	22.3810
Hotspot_120to140to020to040_sample	8	Off-grid	VIA1 (12)	136.557	39	120-140,020-040	136.5320	38.8990	136.5820	39.1010
Hotspot_020to040to040to060_sample	12	Off-grid	VIA1 (12)	39.429	47.816	020-040,040-060	39.4040	47.7150	39.4540	47.9170
Hotspot_040to060to060to080_sample	16	Off-grid	VIA1 (12)	47.941	62.408	040-060,060-080	47.9160	62.3070	47.9660	62.5090
Off-grid_M1_11_1	28	Off-grid	M1 (11)	260.616	95.392	260-280,080-100	260.5610	95.3620	260.6710	95.4220
Hotspot_160to180to160to180_sample	39	Off-grid	VIA1 (12)	168.173	169.416	160-180,160-180	168.1480	169.3150	168.1980	169.5170
Hotspot_200to220to160to180_sample	43	Off-grid	M2 (13)	206.477	174.888	200-220,160-180	206.4220	174.7820	206.5320	174.9940
Hotspot_220to240to180to200_sample	47	Off-grid	VIA1 (12)	220.819	192.824	220-240,180-200	220.7940	192.7230	220.8440	192.9250
Hotspot_180to200to200to220_sample	55	Off-grid	M2 (13)	199.387	204.984	180-200,200-220	199.3320	204.8780	199.4420	205.0900
Hotspot_200to220to200to220_sample	65	Off-grid	VIA1 (12)	204.653	211.672	200-220,200-220	204.6280	211.5710	204.6780	211.7730
Hotspot_160to180to220to240_sample	71	Off-grid	VIA1 (12)	169.11	225.048	160-180,220-240	169.0850	224.9470	169.1350	225.1490
Hotspot_220to240to220to240_sample	83	Off-grid	M2 (13)	234.597	222.92	220-240,220-240	234.5420	222.8140	234.6520	223.0260
Hotspot_240to260to260to280_sample	101	Off-grid	VIA1 (12)	242.805	275.056	240-260,260-280	242.7800	274.9550	242.8300	275.1570
Diff_net_spacing_M1_11_1	29	Diff net spacing	M1 (11)	260.616	95.446	260-280,080-100	260.5110	95.4200	260.7210	95.4720
Diff_net_spacing_M2_13_1	86	Diff net spacing	M2 (13)	259.566	225.732	240-260,220-240	259.4940	225.6970	259.6380	225.7670
Hotspot_240to260to220to240_sample	89	Diff net spacing	M1 (11)	259.484	232.192	240-260,220-240	259.4470	232.1120	259.5210	232.2720
Short_M1_11_1	109	Short	M1 (11)	300.744	302.568	300-320,300-320	300.6690	302.4880	300.8190	302.6480
