error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Needs fat contact	M1 (11)-M2 (13)	125.488	20.912	120-140,020-040	125.458	20.857	125.518	20.967
1	Needs fat contact	M1 (11)-M2 (13)	192.672	29.12	180-200,020-040	192.642	29.065	192.702	29.175
2	Needs fat contact	M1 (11)-M2 (13)	219.272	30.944	200-220,020-040	219.242	30.889	219.302	30.999
5	Needs fat contact	M1 (11)-M2 (13)	191.304	39.152	180-200,020-040	191.274	39.097	191.334	39.207
6	Needs fat contact	M1 (11)-M2 (13)	190.544	42.496	180-200,040-060	190.514	42.441	190.574	42.551
7	Needs fat contact	M1 (11)-M2 (13)	195.712	39.152	180-200,020-040	195.682	39.097	195.742	39.207
8	Needs fat contact	M1 (11)-M2 (13)	197.08	44.32	180-200,040-060	197.05	44.265	197.11	44.375
10	Needs fat contact	M1 (11)-M2 (13)	102.232	49.184	100-120,040-060	102.202	49.129	102.262	49.239
12	Needs fat contact	M1 (11)-M2 (13)	198.144	49.184	180-200,040-060	198.114	49.129	198.174	49.239
13	Needs fat contact	M1 (11)-M2 (13)	192.216	55.872	180-200,040-060	192.186	55.817	192.246	55.927
20	Needs fat contact	M1 (11)-M2 (13)	205.89600000000002	55.872	200-220,040-060	205.866	55.817	205.926	55.927
23	Needs fat contact	M1 (11)-M2 (13)	289.34400000000005	64.38399999999999	280-300,060-080	289.314	64.329	289.374	64.439
24	Needs fat contact	M1 (11)-M2 (13)	194.496	81.10400000000001	180-200,080-100	194.466	81.049	194.526	81.159
25	Needs fat contact	M1 (11)-M2 (13)	197.84	81.10400000000001	180-200,080-100	197.81	81.049	197.87	81.159
26	Needs fat contact	M1 (11)-M2 (13)	216.688	81.10400000000001	200-220,080-100	216.658	81.049	216.718	81.159
27	Needs fat contact	M1 (11)-M2 (13)	219.272	79.28	200-220,060-080	219.242	79.225	219.302	79.335
30	Needs fat contact	M1 (11)-M2 (13)	42.647999999999996	84.44800000000001	040-060,080-100	42.618	84.393	42.678	84.503
31	Needs fat contact	M1 (11)-M2 (13)	153.0	84.44800000000001	140-160,080-100	152.97	84.393	153.03	84.503
32	Needs fat contact	M1 (11)-M2 (13)	166.984	84.44800000000001	160-180,080-100	166.954	84.393	167.014	84.503
33	Needs fat contact	M1 (11)-M2 (13)	172.456	85.96799999999999	160-180,080-100	172.426	85.913	172.486	86.023
34	Needs fat contact	M1 (11)-M2 (13)	172.608	82.624	160-180,080-100	172.578	82.569	172.638	82.679
35	Needs fat contact	M1 (11)-M2 (13)	167.44	87.792	160-180,080-100	167.41	87.737	167.47	87.847
38	Needs fat contact	M1 (11)-M2 (13)	228.392	91.136	220-240,080-100	228.362	91.081	228.422	91.191
39	Needs fat contact	M1 (11)-M2 (13)	249.672	91.136	240-260,080-100	249.642	91.081	249.702	91.191
40	Needs fat contact	M1 (11)-M2 (13)	248.304	92.656	240-260,080-100	248.274	92.601	248.334	92.711
