tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	3	Diff net spacing	M1 (11)	68.184	37.8475	060-080,020-040	68.104	37.806	68.264	37.889
Diff_net_spacing_M1_(11)_2	11	Diff net spacing	M1 (11)	119.408	54.5675	100-120,040-060	119.328	54.526	119.488	54.609
Diff_net_spacing_M1_(11)_3	21	Diff net spacing	M1 (11)	190.54399999999998	59.0005	180-200,040-060	190.464	58.959	190.624	59.042
Less_than_minimum_area_M2_(13)_1	50	Less than minimum area	M2 (13)	242.072	99.344	240-260,080-100	242.042	99.289	242.102	99.399
Less_than_minimum_area_M2_(13)_2	123	Less than minimum area	M2 (13)	210.0	199.664	200-220,180-200	209.97	199.609	210.03	199.719
Less_than_minimum_area_M2_(13)_3	153	Less than minimum area	M2 (13)	24.256	221.55200000000002	020-040,220-240	24.226	221.497	24.286	221.607
Needs_fat_contact_M1_(11)-M2_(13)_1	0	Needs fat contact	M1 (11)-M2 (13)	125.488	20.912	120-140,020-040	125.458	20.857	125.518	20.967
Needs_fat_contact_M1_(11)-M2_(13)_2	1	Needs fat contact	M1 (11)-M2 (13)	192.672	29.12	180-200,020-040	192.642	29.065	192.702	29.175
Needs_fat_contact_M1_(11)-M2_(13)_3	2	Needs fat contact	M1 (11)-M2 (13)	219.272	30.944	200-220,020-040	219.242	30.889	219.302	30.999
Off-grid_M1_(11)_1	4	Off-grid	M1 (11)	156.668	39.1775	140-160,020-040	156.623	39.127	156.713	39.228
Off-grid_M1_(11)_2	79	Off-grid	M1 (11)	187.808	144.792	180-200,140-160	187.753	144.762	187.863	144.822
Off-grid_M1_(11)_3	139	Off-grid	M1 (11)	197.07999999999998	212.888	180-200,200-220	197.025	212.858	197.135	212.918
Off-grid_M2_(13)_1	15	Off-grid	M2 (13)	205.10899999999998	47.816	200-220,040-060	205.054	47.71	205.164	47.922
Off-grid_M2_(13)_2	17	Off-grid	M2 (13)	207.11	47.816	200-220,040-060	207.08	47.685	207.14	47.947
Off-grid_M2_(13)_3	19	Off-grid	M2 (13)	212.253	49.032	200-220,040-060	212.198	48.926	212.308	49.138
Off-grid_VIA1_(12)_1	9	Off-grid	VIA1 (12)	208.301	45.688	200-220,040-060	208.276	45.587	208.326	45.789
Off-grid_VIA1_(12)_2	14	Off-grid	VIA1 (12)	205.10899999999998	47.816	200-220,040-060	205.084	47.715	205.134	47.917
Off-grid_VIA1_(12)_3	16	Off-grid	VIA1 (12)	207.11	47.816	200-220,040-060	207.085	47.715	207.135	47.917
Short_M1_(11)_1	248	Short	M1 (11)	229.45600000000002	246.48000000000002	220-240,240-260	229.351	246.405	229.561	246.555
Short_M1_(11)_2	253	Short	M1 (11)	229.684	246.48000000000002	220-240,240-260	229.609	246.405	229.759	246.555
Hotspot_220to240_220to240_1	185	Needs fat contact	M1 (11)-M2 (13)	223.68	238.272	220-240,220-240	223.65	238.217	223.71	238.327
Hotspot_220to240_220to240_2	190	Needs fat contact	M1 (11)-M2 (13)	220.64	236.44799999999998	220-240,220-240	220.61	236.393	220.67	236.503
Hotspot_220to240_220to240_3	192	Needs fat contact	M1 (11)-M2 (13)	220.792	231.584	220-240,220-240	220.762	231.529	220.822	231.639
Hotspot_220to240_240to260_1	241	Needs fat contact	M1 (11)-M2 (13)	221.096	243.136	220-240,240-260	221.066	243.081	221.126	243.191
Hotspot_220to240_240to260_2	243	Needs fat contact	M1 (11)-M2 (13)	224.744	243.136	220-240,240-260	224.714	243.081	224.774	243.191
Hotspot_220to240_240to260_3	244	Needs fat contact	M1 (11)-M2 (13)	225.656	244.95999999999998	220-240,240-260	225.626	244.905	225.686	245.015
Hotspot_240to260_240to260_1	260	Needs fat contact	M1 (11)-M2 (13)	257.88	249.824	240-260,240-260	257.85	249.769	257.91	249.879
Hotspot_240to260_240to260_2	261	Needs fat contact	M1 (11)-M2 (13)	257.576	248.304	240-260,240-260	257.546	248.249	257.606	248.359
Hotspot_240to260_240to260_3	264	Needs fat contact	M1 (11)-M2 (13)	255.752	241.61599999999999	240-260,240-260	255.722	241.561	255.782	241.671
Hotspot_220to240_200to220_1	128	Off-grid	VIA1 (12)	237.485	201.64	220-240,200-220	237.46	201.539	237.51	201.741
Hotspot_220to240_200to220_2	129	Off-grid	M2 (13)	237.485	201.64	220-240,200-220	237.43	201.534	237.54	201.746
Hotspot_220to240_200to220_3	130	Off-grid	VIA1 (12)	238.118	202.856	220-240,200-220	238.093	202.755	238.143	202.957
Hotspot_240to260_220to240_1	175	Diff net spacing	M1 (11)	259.096	222.85649999999998	240-260,220-240	259.016	222.815	259.176	222.898
Hotspot_240to260_220to240_2	171	Off-grid	VIA1 (12)	240.398	226.264	240-260,220-240	240.373	226.163	240.423	226.365
Hotspot_240to260_220to240_3	172	Off-grid	M2 (13)	240.398	226.264	240-260,220-240	240.368	226.133	240.428	226.395
