error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Diff net spacing	M1 (11)	127.008	22.2165	120-140,020-040	126.928	22.175	127.088	22.258
3	Diff net spacing	M1 (11)	70.16	35.5925	060-080,020-040	70.08	35.551	70.24	35.634
9	Diff net spacing	M1 (11)	100.712	47.8795	100-120,040-060	100.632	47.838	100.792	47.921
23	Diff net spacing	M1 (11)	289.03999999999996	64.5995	280-300,060-080	288.96	64.558	289.12	64.641
25	Diff net spacing	M1 (11)	158.32	81.3195	140-160,080-100	158.24	81.278	158.4	81.361
31	Diff net spacing	M1 (11)	154.824	85.7525	140-160,080-100	154.744	85.711	154.904	85.794
32	Diff net spacing	M1 (11)	167.89600000000002	84.6635	160-180,080-100	167.816	84.622	167.976	84.705
33	Diff net spacing	M1 (11)	175.8	88.0075	160-180,080-100	175.72	87.966	175.88	88.049
34	Diff net spacing	M1 (11)	174.43200000000002	84.6635	160-180,080-100	174.352	84.622	174.512	84.705
35	Diff net spacing	M1 (11)	169.11200000000002	84.6635	160-180,080-100	169.032	84.622	169.192	84.705
39	Diff net spacing	M1 (11)	250.128	91.3515	240-260,080-100	250.048	91.31	250.208	91.393
49	Diff net spacing	M1 (11)	248.30399999999997	94.6955	240-260,080-100	248.224	94.654	248.384	94.737
56	Diff net spacing	M1 (11)	192.824	112.50450000000001	180-200,100-120	192.744	112.463	192.904	112.546
62	Diff net spacing	M1 (11)	234.01600000000002	118.1035	220-240,100-120	233.936	118.062	234.096	118.145
66	Diff net spacing	M1 (11)	200.728	121.4475	200-220,120-140	200.648	121.406	200.808	121.489
67	Diff net spacing	M1 (11)	238.728	124.7915	220-240,120-140	238.648	124.75	238.808	124.833
68	Diff net spacing	M1 (11)	233.86399999999998	119.1925	220-240,100-120	233.784	119.151	233.944	119.234
71	Diff net spacing	M1 (11)	249.06400000000002	124.7915	240-260,120-140	248.984	124.75	249.144	124.833
83	Diff net spacing	M1 (11)	185.072	152.6325	180-200,140-160	184.992	152.591	185.152	152.674
