tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	0	Diff net spacing	M1 (11)	127.008	22.2165	120-140,020-040	126.928	22.175	127.088	22.258
Diff_net_spacing_M1_(11)_2	3	Diff net spacing	M1 (11)	70.16	35.5925	060-080,020-040	70.08	35.551	70.24	35.634
Diff_net_spacing_M1_(11)_3	9	Diff net spacing	M1 (11)	100.712	47.8795	100-120,040-060	100.632	47.838	100.792	47.921
Diff_net_spacing_M2_(13)_1	327	Diff net spacing	M2 (13)	119.771	271.94	100-120,260-280	119.736	271.745	119.806	272.135
Less_than_minimum_area_M2_(13)_1	46	Less than minimum area	M2 (13)	236.6	96.0	220-240,080-100	236.57	95.945	236.63	96.055
Less_than_minimum_area_M2_(13)_2	114	Less than minimum area	M2 (13)	241.768	164.704	240-260,160-180	241.738	164.649	241.798	164.759
Less_than_minimum_area_M2_(13)_3	329	Less than minimum area	M2 (13)	119.712	272.016	100-120,260-280	119.682	271.961	119.742	272.071
Needs_fat_contact_M1_(11)-M2_(13)_1	1	Needs fat contact	M1 (11)-M2 (13)	195.10399999999998	32.464	180-200,020-040	195.074	32.409	195.134	32.519
Needs_fat_contact_M1_(11)-M2_(13)_2	2	Needs fat contact	M1 (11)-M2 (13)	220.64	30.944	220-240,020-040	220.61	30.889	220.67	30.999
Needs_fat_contact_M1_(11)-M2_(13)_3	4	Needs fat contact	M1 (11)-M2 (13)	191.608	37.632	180-200,020-040	191.578	37.577	191.638	37.687
Off-grid_M1_(11)_1	30	Off-grid	M1 (11)	45.403999999999996	87.7665	040-060,080-100	45.359	87.716	45.449	87.817
Off-grid_M1_(11)_2	77	Off-grid	M1 (11)	192.064	131.416	180-200,120-140	192.009	131.386	192.119	131.446
Off-grid_M1_(11)_3	82	Off-grid	M1 (11)	188.56799999999998	144.792	180-200,140-160	188.513	144.762	188.623	144.822
Off-grid_M2_(13)_1	8	Off-grid	M2 (13)	208.174	45.688	200-220,040-060	208.144	45.557	208.204	45.819
Off-grid_M2_(13)_2	15	Off-grid	M2 (13)	206.325	47.816	200-220,040-060	206.27	47.71	206.38	47.922
Off-grid_M2_(13)_3	17	Off-grid	M2 (13)	208.301	47.816	200-220,040-060	208.246	47.71	208.356	47.922
Off-grid_VIA1_(12)_1	7	Off-grid	VIA1 (12)	208.174	45.688	200-220,040-060	208.149	45.587	208.199	45.789
Off-grid_VIA1_(12)_2	14	Off-grid	VIA1 (12)	206.325	47.816	200-220,040-060	206.3	47.715	206.35	47.917
Off-grid_VIA1_(12)_3	16	Off-grid	VIA1 (12)	208.301	47.816	200-220,040-060	208.276	47.715	208.326	47.917
Same_net_spacing_M2_(13)_1	328	Same net spacing	M2 (13)	119.712	271.94	100-120,260-280	119.626	271.905	119.798	271.975
Short_M2_(13)_1	244	Short	M2 (13)	217.448	251.801	200-220,240-260	217.364	251.716	217.532	251.886
Short_M2_(13)_2	245	Short	M2 (13)	217.4615	251.8	200-220,240-260	217.364	251.716	217.559	251.884
Hotspot_220to240_220to240_1	185	Diff net spacing	M1 (11)	225.2	238.4875	220-240,220-240	225.12	238.446	225.28	238.529
Hotspot_220to240_220to240_2	189	Diff net spacing	M1 (11)	220.488	235.14350000000002	220-240,220-240	220.408	235.102	220.568	235.185
Hotspot_220to240_220to240_3	190	Diff net spacing	M1 (11)	221.704	231.79950000000002	220-240,220-240	221.624	231.758	221.784	231.841
Hotspot_220to240_240to260_1	238	Diff net spacing	M1 (11)	225.2	242.9205	220-240,240-260	225.12	242.879	225.28	242.962
Hotspot_220to240_240to260_2	239	Diff net spacing	M1 (11)	226.56799999999998	242.9205	220-240,240-260	226.488	242.879	226.648	242.962
Hotspot_220to240_240to260_3	241	Diff net spacing	M1 (11)	220.336	242.9205	220-240,240-260	220.256	242.879	220.416	242.962
Hotspot_240to260_240to260_1	264	Diff net spacing	M1 (11)	258.488	249.6085	240-260,240-260	258.408	249.567	258.568	249.65
Hotspot_240to260_240to260_2	265	Diff net spacing	M1 (11)	257.424	248.5195	240-260,240-260	257.344	248.478	257.504	248.561
Hotspot_240to260_240to260_3	268	Diff net spacing	M1 (11)	258.18399999999997	246.2645	240-260,240-260	258.104	246.223	258.264	246.306
Hotspot_240to260_220to240_1	173	Diff net spacing	M1 (11)	256.512	222.85649999999998	240-260,220-240	256.432	222.815	256.592	222.898
Hotspot_240to260_220to240_2	215	Needs fat contact	M1 (11)-M2 (13)	257.424	239.792	240-260,220-240	257.394	239.737	257.454	239.847
Hotspot_240to260_220to240_3	170	Off-grid	VIA1 (12)	240.373	221.704	240-260,220-240	240.348	221.603	240.398	221.805
Hotspot_200to220_240to260_1	228	Diff net spacing	M1 (11)	212.28	242.9205	200-220,240-260	212.2	242.879	212.36	242.962
Hotspot_200to220_240to260_2	229	Diff net spacing	M1 (11)	211.824	246.2645	200-220,240-260	211.744	246.223	211.904	246.306
Hotspot_200to220_240to260_3	230	Diff net spacing	M1 (11)	213.04000000000002	246.2645	200-220,240-260	212.96	246.223	213.12	246.306
