error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Diff net spacing	M1 (11)	126.096	22.2165	120-140,020-040	126.016	22.175	126.176	22.258
1	Diff net spacing	M1 (11)	219.272	31.1595	200-220,020-040	219.192	31.118	219.352	31.201
15	Diff net spacing	M1 (11)	100.712	47.8795	100-120,040-060	100.632	47.838	100.792	47.921
16	Diff net spacing	M1 (11)	119.408	55.6565	100-120,040-060	119.328	55.615	119.488	55.698
27	Diff net spacing	M1 (11)	42.647999999999996	81.3195	040-060,080-100	42.568	81.278	42.728	81.361
28	Diff net spacing	M1 (11)	159.38400000000001	81.3195	140-160,080-100	159.304	81.278	159.464	81.361
32	Diff net spacing	M1 (11)	216.232	79.0645	200-220,060-080	216.152	79.023	216.312	79.106
33	Diff net spacing	M1 (11)	221.55200000000002	79.0645	220-240,060-080	221.472	79.023	221.632	79.106
34	Diff net spacing	M1 (11)	92.504	91.3515	080-100,080-100	92.424	91.31	92.584	91.393
35	Diff net spacing	M1 (11)	151.32799999999997	85.7525	140-160,080-100	151.248	85.711	151.408	85.794
37	Diff net spacing	M1 (11)	156.64800000000002	89.0965	140-160,080-100	156.568	89.055	156.728	89.138
44	Diff net spacing	M1 (11)	251.04000000000002	91.3515	240-260,080-100	250.96	91.31	251.12	91.393
47	Diff net spacing	M1 (11)	295.12	92.4405	280-300,080-100	295.04	92.399	295.2	92.482
50	Diff net spacing	M1 (11)	38.848	101.3835	020-040,100-120	38.768	101.342	38.928	101.425
52	Diff net spacing	M1 (11)	238.42399999999998	105.8165	220-240,100-120	238.344	105.775	238.504	105.858
53	Diff net spacing	M1 (11)	237.36	101.3835	220-240,100-120	237.28	101.342	237.44	101.425
54	Diff net spacing	M1 (11)	247.848	98.0395	240-260,080-100	247.768	97.998	247.928	98.081
55	Diff net spacing	M1 (11)	243.59199999999998	99.1285	240-260,080-100	243.512	99.087	243.672	99.17
56	Diff net spacing	M1 (11)	241.464	98.0395	240-260,080-100	241.384	97.998	241.544	98.081
60	Diff net spacing	M1 (11)	223.37599999999998	109.1605	220-240,100-120	223.296	109.119	223.456	109.202
63	Diff net spacing	M1 (11)	225.808	108.0715	220-240,100-120	225.728	108.03	225.888	108.113
65	Diff net spacing	M1 (11)	233.56	109.1605	220-240,100-120	233.48	109.119	233.64	109.202
66	Diff net spacing	M1 (11)	228.08800000000002	108.0715	220-240,100-120	228.008	108.03	228.168	108.113
79	Diff net spacing	M1 (11)	194.04000000000002	135.91250000000002	180-200,120-140	193.96	135.871	194.12	135.954
86	Diff net spacing	M1 (11)	191.0	148.1995	180-200,140-160	190.92	148.158	191.08	148.241
89	Diff net spacing	M1 (11)	199.36	154.8875	180-200,140-160	199.28	154.846	199.44	154.929
90	Diff net spacing	M1 (11)	200.728	144.8555	200-220,140-160	200.648	144.814	200.808	144.897
93	Diff net spacing	M1 (11)	239.336	151.5435	220-240,140-160	239.256	151.502	239.416	151.585
94	Diff net spacing	M1 (11)	237.81599999999997	144.8555	220-240,140-160	237.736	144.814	237.896	144.897
95	Diff net spacing	M1 (11)	243.44	154.8875	240-260,140-160	243.36	154.846	243.52	154.929
96	Diff net spacing	M1 (11)	249.06400000000002	152.6325	240-260,140-160	248.984	152.591	249.144	152.674
97	Diff net spacing	M1 (11)	246.784	149.2885	240-260,140-160	246.704	149.247	246.864	149.33
98	Diff net spacing	M1 (11)	248.30399999999997	154.8875	240-260,140-160	248.224	154.846	248.384	154.929
99	Diff net spacing	M1 (11)	247.08800000000002	154.8875	240-260,140-160	247.008	154.846	247.168	154.929
100	Diff net spacing	M1 (11)	250.28	154.8875	240-260,140-160	250.2	154.846	250.36	154.929
101	Diff net spacing	M1 (11)	246.176	152.6325	240-260,140-160	246.096	152.591	246.256	152.674
110	Diff net spacing	M1 (11)	193.43200000000002	155.9765	180-200,140-160	193.352	155.935	193.512	156.018
111	Diff net spacing	M1 (11)	251.8	158.23149999999998	240-260,140-160	251.72	158.19	251.88	158.273
112	Diff net spacing	M1 (11)	245.11200000000002	158.23149999999998	240-260,140-160	245.032	158.19	245.192	158.273
113	Diff net spacing	M1 (11)	244.50400000000002	162.66449999999998	240-260,160-180	244.424	162.623	244.584	162.706
114	Diff net spacing	M1 (11)	244.35199999999998	166.00850000000003	240-260,160-180	244.272	165.967	244.432	166.05
115	Diff net spacing	M1 (11)	246.176	159.32049999999998	240-260,140-160	246.096	159.279	246.256	159.362
116	Diff net spacing	M1 (11)	172.0	171.60750000000002	160-180,160-180	171.92	171.566	172.08	171.649
117	Diff net spacing	M1 (11)	177.776	168.26350000000002	160-180,160-180	177.696	168.222	177.856	168.305
118	Diff net spacing	M1 (11)	186.59199999999998	168.26350000000002	180-200,160-180	186.512	168.222	186.672	168.305
124	Diff net spacing	M1 (11)	202.096	192.76049999999998	200-220,180-200	202.016	192.719	202.176	192.802
125	Diff net spacing	M1 (11)	212.43200000000002	199.44850000000002	200-220,180-200	212.352	199.407	212.512	199.49
126	Diff net spacing	M1 (11)	208.632	199.44850000000002	200-220,180-200	208.552	199.407	208.712	199.49
127	Diff net spacing	M1 (11)	208.784	195.01549999999997	200-220,180-200	208.704	194.974	208.864	195.057
142	Diff net spacing	M1 (11)	20.759999999999998	212.8245	020-040,200-220	20.68	212.783	20.84	212.866
143	Diff net spacing	M1 (11)	206.808	212.8245	200-220,200-220	206.728	212.783	206.888	212.866
150	Diff net spacing	M1 (11)	20.912	216.1685	020-040,200-220	20.832	216.127	20.992	216.21
152	Diff net spacing	M1 (11)	24.863999999999997	219.5125	020-040,200-220	24.784	219.471	24.944	219.554
153	Diff net spacing	M1 (11)	25.32	216.1685	020-040,200-220	25.24	216.127	25.4	216.21
154	Diff net spacing	M1 (11)	23.648000000000003	219.5125	020-040,200-220	23.568	219.471	23.728	219.554
173	Diff net spacing	M1 (11)	260.616	222.85649999999998	260-280,220-240	260.536	222.815	260.696	222.898
183	Diff net spacing	M1 (11)	212.584	232.88850000000002	200-220,220-240	212.504	232.847	212.664	232.93
184	Diff net spacing	M1 (11)	213.8	231.79950000000002	200-220,220-240	213.72	231.758	213.88	231.841
185	Diff net spacing	M1 (11)	215.01600000000002	235.14350000000002	200-220,220-240	214.936	235.102	215.096	235.185
186	Diff net spacing	M1 (11)	223.832	238.4875	220-240,220-240	223.752	238.446	223.912	238.529
188	Diff net spacing	M1 (11)	221.248	239.5765	220-240,220-240	221.168	239.535	221.328	239.618
189	Diff net spacing	M1 (11)	223.68	239.5765	220-240,220-240	223.6	239.535	223.76	239.618
190	Diff net spacing	M1 (11)	224.744	236.23250000000002	220-240,220-240	224.664	236.191	224.824	236.274
192	Diff net spacing	M1 (11)	221.856	236.23250000000002	220-240,220-240	221.776	236.191	221.936	236.274
195	Diff net spacing	M1 (11)	216.38400000000001	236.23250000000002	200-220,220-240	216.304	236.191	216.464	236.274
222	Diff net spacing	M1 (11)	263.048	235.14350000000002	260-280,220-240	262.968	235.102	263.128	235.185
223	Diff net spacing	M1 (11)	282.96000000000004	235.14350000000002	280-300,220-240	282.88	235.102	283.04	235.185
