tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	0	Diff net spacing	M1 (11)	126.096	22.2165	120-140,020-040	126.016	22.175	126.176	22.258
Diff_net_spacing_M1_(11)_2	1	Diff net spacing	M1 (11)	219.272	31.1595	200-220,020-040	219.192	31.118	219.352	31.201
Diff_net_spacing_M1_(11)_3	15	Diff net spacing	M1 (11)	100.712	47.8795	100-120,040-060	100.632	47.838	100.792	47.921
Less_than_minimum_area_M2_(13)_1	6	Less than minimum area	M2 (13)	193.128	39.152	180-200,020-040	193.098	39.097	193.158	39.207
Less_than_minimum_area_M2_(13)_2	8	Less than minimum area	M2 (13)	197.84	37.632	180-200,020-040	197.81	37.577	197.87	37.687
Less_than_minimum_area_M2_(13)_3	39	Less than minimum area	M2 (13)	169.872	82.624	160-180,080-100	169.842	82.569	169.902	82.679
Needs_fat_contact_M1_(11)-M2_(13)_1	2	Needs fat contact	M1 (11)-M2 (13)	74.872	34.288	060-080,020-040	74.842	34.233	74.902	34.343
Needs_fat_contact_M1_(11)-M2_(13)_2	3	Needs fat contact	M1 (11)-M2 (13)	191.152	42.496	180-200,040-060	191.122	42.441	191.182	42.551
Needs_fat_contact_M1_(11)-M2_(13)_3	4	Needs fat contact	M1 (11)-M2 (13)	194.04	34.288	180-200,020-040	194.01	34.233	194.07	34.343
Off-grid_M1_(11)_1	36	Off-grid	M1 (11)	165.63600000000002	82.6495	160-180,080-100	165.591	82.599	165.681	82.7
Off-grid_M1_(11)_2	177	Off-grid	M1 (11)	100.40799999999999	229.608	100-120,220-240	100.353	229.578	100.463	229.638
Off-grid_M1_(11)_3	214	Off-grid	M1 (11)	248.0	235.08	240-260,220-240	247.945	235.05	248.055	235.11
Off-grid_M2_(13)_1	12	Off-grid	M2 (13)	208.301	45.688	200-220,040-060	208.246	45.582	208.356	45.794
Off-grid_M2_(13)_2	14	Off-grid	M2 (13)	207.87	44.472	200-220,040-060	207.84	44.341	207.9	44.603
Off-grid_M2_(13)_3	20	Off-grid	M2 (13)	206.325	47.816	200-220,040-060	206.27	47.71	206.38	47.922
Off-grid_VIA1_(12)_1	11	Off-grid	VIA1 (12)	208.301	45.688	200-220,040-060	208.276	45.587	208.326	45.789
Off-grid_VIA1_(12)_2	13	Off-grid	VIA1 (12)	207.87	44.472	200-220,040-060	207.845	44.371	207.895	44.573
Off-grid_VIA1_(12)_3	19	Off-grid	VIA1 (12)	206.325	47.816	200-220,040-060	206.3	47.715	206.35	47.917
Same_net_spacing_M3_(15)_1	9	Same net spacing	M3 (15)	197.764	37.632000000000005	180-200,020-040	197.729	37.546	197.799	37.718
Short_M1_(11)_1	102	Short	M1 (11)	301.58	148.59199999999998	300-320,140-160	301.505	148.517	301.655	148.667
Short_M1_(11)_2	374	Short	M1 (11)	300.744	295.88	300-320,280-300	300.669	295.8	300.819	295.96
Hotspot_220to240_220to240_1	186	Diff net spacing	M1 (11)	223.832	238.4875	220-240,220-240	223.752	238.446	223.912	238.529
Hotspot_220to240_220to240_2	188	Diff net spacing	M1 (11)	221.248	239.5765	220-240,220-240	221.168	239.535	221.328	239.618
Hotspot_220to240_220to240_3	189	Diff net spacing	M1 (11)	223.68	239.5765	220-240,220-240	223.6	239.535	223.76	239.618
Hotspot_220to240_240to260_1	241	Diff net spacing	M1 (11)	220.792	241.8315	220-240,240-260	220.712	241.79	220.872	241.873
Hotspot_220to240_240to260_2	244	Diff net spacing	M1 (11)	226.872	242.9205	220-240,240-260	226.792	242.879	226.952	242.962
Hotspot_220to240_240to260_3	247	Diff net spacing	M1 (11)	232.344	248.5195	220-240,240-260	232.264	248.478	232.424	248.561
Hotspot_240to260_240to260_1	261	Needs fat contact	M1 (11)-M2 (13)	257.72799999999995	249.824	240-260,240-260	257.698	249.769	257.758	249.879
Hotspot_240to260_240to260_2	262	Needs fat contact	M1 (11)-M2 (13)	256.81600000000003	248.304	240-260,240-260	256.786	248.249	256.846	248.359
Hotspot_240to260_240to260_3	265	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	244.95999999999998	240-260,240-260	256.938	244.905	256.998	245.015
Hotspot_240to260_220to240_1	219	Needs fat contact	M1 (11)-M2 (13)	255.904	239.792	240-260,220-240	255.874	239.737	255.934	239.847
Hotspot_240to260_220to240_2	170	Off-grid	M2 (13)	240.221	222.92000000000002	240-260,220-240	240.166	222.814	240.276	223.026
Hotspot_240to260_220to240_3	171	Off-grid	VIA1 (12)	240.221	222.92	240-260,220-240	240.196	222.819	240.246	223.021
Hotspot_220to240_200to220_1	130	Off-grid	VIA1 (12)	232.165	202.856	220-240,200-220	232.14	202.755	232.19	202.957
Hotspot_220to240_200to220_2	131	Off-grid	M2 (13)	232.16500000000002	202.856	220-240,200-220	232.11	202.75	232.22	202.962
Hotspot_220to240_200to220_3	132	Off-grid	VIA1 (12)	233.22899999999998	201.64	220-240,200-220	233.204	201.539	233.254	201.741
