error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
374	Short	M3 (15)	160.6	292.536	160-180,280-300	160.516	292.452	160.684	292.62
80	Short	M1 (11)	301.58	121.84	300-320,120-140	301.505	121.765	301.655	121.915
0	Short	M1 (11)	120.32	25.75	120-140,020-040	120.24	25.675	120.4	25.825
48	Short	M1 (11)	301.58	91.744	300-320,080-100	301.505	91.669	301.655	91.819
58	Short	M1 (11)	301.58	98.432	300-320,080-100	301.505	98.357	301.655	98.507
315	Diff net spacing	M1 (11)	276.424	256.29650000000004	260-280,240-260	276.344	256.255	276.504	256.338
316	Diff net spacing	M1 (11)	276.728	255.20749999999998	260-280,240-260	276.648	255.166	276.808	255.249
317	Diff net spacing	M1 (11)	277.64	256.29650000000004	260-280,240-260	277.56	256.255	277.72	256.338
318	Diff net spacing	M1 (11)	285.392	258.55150000000003	280-300,240-260	285.312	258.51	285.472	258.593
319	Diff net spacing	M1 (11)	282.656	256.29650000000004	280-300,240-260	282.576	256.255	282.736	256.338
320	Diff net spacing	M1 (11)	295.272	256.29650000000004	280-300,240-260	295.192	256.255	295.352	256.338
321	Diff net spacing	M1 (11)	298.91999999999996	256.29650000000004	280-300,240-260	298.84	256.255	299.0	256.338
322	Diff net spacing	M1 (11)	303.176	252.9525	300-320,240-260	303.096	252.911	303.256	252.994
333	Diff net spacing	M1 (11)	160.60000000000002	276.3605	160-180,260-280	160.52	276.319	160.68	276.402
336	Diff net spacing	M1 (11)	183.39999999999998	266.32849999999996	180-200,260-280	183.32	266.287	183.48	266.37
337	Diff net spacing	M1 (11)	189.632	266.32849999999996	180-200,260-280	189.552	266.287	189.712	266.37
340	Diff net spacing	M1 (11)	194.192	268.58349999999996	180-200,260-280	194.112	268.542	194.272	268.625
345	Diff net spacing	M1 (11)	239.336	266.32849999999996	220-240,260-280	239.256	266.287	239.416	266.37
349	Diff net spacing	M1 (11)	238.57600000000002	268.58349999999996	220-240,260-280	238.496	268.542	238.656	268.625
350	Diff net spacing	M1 (11)	242.37599999999998	268.58349999999996	240-260,260-280	242.296	268.542	242.456	268.625
351	Diff net spacing	M1 (11)	242.68	269.6725	240-260,260-280	242.6	269.631	242.76	269.714
352	Diff net spacing	M1 (11)	242.832	276.3605	240-260,260-280	242.752	276.319	242.912	276.402
353	Diff net spacing	M1 (11)	245.72	271.9275	240-260,260-280	245.64	271.886	245.8	271.969
354	Diff net spacing	M1 (11)	261.68	265.2395	260-280,260-280	261.6	265.198	261.76	265.281
361	Diff net spacing	M1 (11)	166.072	281.9595	160-180,280-300	165.992	281.918	166.152	282.001
368	Diff net spacing	M1 (11)	259.4	285.3035	240-260,280-300	259.32	285.262	259.48	285.345
369	Diff net spacing	M1 (11)	257.88	286.39250000000004	240-260,280-300	257.8	286.351	257.96	286.434
370	Diff net spacing	M1 (11)	259.4	279.7045	240-260,260-280	259.32	279.663	259.48	279.746
76	Diff net spacing	M1 (11)	248.30399999999997	124.7915	240-260,120-140	248.224	124.75	248.384	124.833
79	Diff net spacing	M1 (11)	255.904	129.22449999999998	240-260,120-140	255.824	129.183	255.984	129.266
84	Diff net spacing	M1 (11)	249.976	134.82350000000002	240-260,120-140	249.896	134.782	250.056	134.865
87	Diff net spacing	M1 (11)	184.312	154.8875	180-200,140-160	184.232	154.846	184.392	154.929
88	Diff net spacing	M1 (11)	191.45600000000002	149.2885	180-200,140-160	191.376	149.247	191.536	149.33
95	Diff net spacing	M1 (11)	213.04000000000002	144.8555	200-220,140-160	212.96	144.814	213.12	144.897
96	Diff net spacing	M1 (11)	237.36	145.9445	220-240,140-160	237.28	145.903	237.44	145.986
98	Diff net spacing	M1 (11)	233.40800000000002	145.9445	220-240,140-160	233.328	145.903	233.488	145.986
99	Diff net spacing	M1 (11)	247.392	152.6325	240-260,140-160	247.312	152.591	247.472	152.674
100	Diff net spacing	M1 (11)	246.784	149.2885	240-260,140-160	246.704	149.247	246.864	149.33
101	Diff net spacing	M1 (11)	248.608	152.6325	240-260,140-160	248.528	152.591	248.688	152.674
102	Diff net spacing	M1 (11)	248.30399999999997	154.8875	240-260,140-160	248.224	154.846	248.384	154.929
103	Diff net spacing	M1 (11)	249.824	152.6325	240-260,140-160	249.744	152.591	249.904	152.674
104	Diff net spacing	M1 (11)	246.176	152.6325	240-260,140-160	246.096	152.591	246.256	152.674
109	Diff net spacing	M1 (11)	189.784	161.57549999999998	180-200,160-180	189.704	161.534	189.864	161.617
110	Diff net spacing	M1 (11)	180.664	166.00850000000003	180-200,160-180	180.584	165.967	180.744	166.05
111	Diff net spacing	M1 (11)	184.312	159.32049999999998	180-200,140-160	184.232	159.279	184.392	159.362
112	Diff net spacing	M1 (11)	186.89600000000002	166.00850000000003	180-200,160-180	186.816	165.967	186.976	166.05
113	Diff net spacing	M1 (11)	198.60000000000002	155.9765	180-200,140-160	198.52	155.935	198.68	156.018
114	Diff net spacing	M1 (11)	194.344	158.23149999999998	180-200,140-160	194.264	158.19	194.424	158.273
115	Diff net spacing	M1 (11)	249.824	158.23149999999998	240-260,140-160	249.744	158.19	249.904	158.273
116	Diff net spacing	M1 (11)	244.50400000000002	155.9765	240-260,140-160	244.424	155.935	244.584	156.018
117	Diff net spacing	M1 (11)	243.744	158.23149999999998	240-260,140-160	243.664	158.19	243.824	158.273
118	Diff net spacing	M1 (11)	244.50400000000002	162.66449999999998	240-260,160-180	244.424	162.623	244.584	162.706
119	Diff net spacing	M1 (11)	246.784	166.00850000000003	240-260,160-180	246.704	165.967	246.864	166.05
120	Diff net spacing	M1 (11)	246.784	158.23149999999998	240-260,140-160	246.704	158.19	246.864	158.273
124	Diff net spacing	M1 (11)	246.32799999999997	174.9515	240-260,160-180	246.248	174.91	246.408	174.993
125	Diff net spacing	M1 (11)	243.744	171.60750000000002	240-260,160-180	243.664	171.566	243.824	171.649
1	Diff net spacing	M1 (11)	128.37599999999998	24.4715	120-140,020-040	128.296	24.43	128.456	24.513
3	Diff net spacing	M1 (11)	218.81599999999997	32.2485	200-220,020-040	218.736	32.207	218.896	32.29
5	Diff net spacing	M1 (11)	188.416	38.9365	180-200,020-040	188.336	38.895	188.496	38.978
6	Diff net spacing	M1 (11)	194.952	37.8475	180-200,020-040	194.872	37.806	195.032	37.889
7	Diff net spacing	M1 (11)	197.38400000000001	38.9365	180-200,020-040	197.304	38.895	197.464	38.978
12	Diff net spacing	M1 (11)	189.176	48.9685	180-200,040-060	189.096	48.927	189.256	49.01
13	Diff net spacing	M1 (11)	197.83999999999997	48.9685	180-200,040-060	197.76	48.927	197.92	49.01
25	Diff net spacing	M1 (11)	290.256	65.6885	280-300,060-080	290.176	65.647	290.336	65.73
26	Diff net spacing	M1 (11)	43.256	79.0645	040-060,060-080	43.176	79.023	43.336	79.106
27	Diff net spacing	M1 (11)	158.776	77.9755	140-160,060-080	158.696	77.934	158.856	78.017
30	Diff net spacing	M1 (11)	215.32	81.3195	200-220,080-100	215.24	81.278	215.4	81.361
31	Diff net spacing	M1 (11)	222.312	77.9755	220-240,060-080	222.232	77.934	222.392	78.017
34	Diff net spacing	M1 (11)	158.168	88.0075	140-160,080-100	158.088	87.966	158.248	88.049
35	Diff net spacing	M1 (11)	155.43200000000002	82.4085	140-160,080-100	155.352	82.367	155.512	82.45
43	Diff net spacing	M1 (11)	249.976	92.4405	240-260,080-100	249.896	92.399	250.056	92.482
51	Diff net spacing	M1 (11)	236.144	94.6955	220-240,080-100	236.064	94.654	236.224	94.737
52	Diff net spacing	M1 (11)	237.81599999999997	105.8165	220-240,100-120	237.736	105.775	237.896	105.858
53	Diff net spacing	M1 (11)	238.42399999999998	102.4725	220-240,100-120	238.344	102.431	238.504	102.514
54	Diff net spacing	M1 (11)	245.416	99.1285	240-260,080-100	245.336	99.087	245.496	99.17
55	Diff net spacing	M1 (11)	243.288	102.4725	240-260,100-120	243.208	102.431	243.368	102.514
56	Diff net spacing	M1 (11)	240.856	102.4725	240-260,100-120	240.776	102.431	240.936	102.514
126	Diff net spacing	M1 (11)	248.45600000000002	172.69650000000001	240-260,160-180	248.376	172.655	248.536	172.738
139	Diff net spacing	M1 (11)	20.607999999999997	208.3915	020-040,200-220	20.528	208.35	20.688	208.433
140	Diff net spacing	M1 (11)	65.752	212.8245	060-080,200-220	65.672	212.783	65.832	212.866
141	Diff net spacing	M1 (11)	211.67200000000003	208.3915	200-220,200-220	211.592	208.35	211.752	208.433
151	Diff net spacing	M1 (11)	21.064	216.1685	020-040,200-220	20.984	216.127	21.144	216.21
152	Diff net spacing	M1 (11)	22.28	216.1685	020-040,200-220	22.2	216.127	22.36	216.21
153	Diff net spacing	M1 (11)	25.927999999999997	216.1685	020-040,200-220	25.848	216.127	26.008	216.21
155	Diff net spacing	M1 (11)	23.344	219.5125	020-040,200-220	23.264	219.471	23.424	219.554
177	Diff net spacing	M2 (13)	300.23	226.49099999999999	300-320,220-240	300.14	226.114	300.32	226.868
178	Diff net spacing	M2 (13)	300.2165	226.43099999999998	300-320,220-240	300.113	226.114	300.32	226.748
183	Diff net spacing	M1 (11)	211.51999999999998	231.79950000000002	200-220,220-240	211.44	231.758	211.6	231.841
185	Diff net spacing	M1 (11)	213.04000000000002	235.14350000000002	200-220,220-240	212.96	235.102	213.12	235.185
186	Diff net spacing	M1 (11)	214.56	232.88850000000002	200-220,220-240	214.48	232.847	214.64	232.93
187	Diff net spacing	M1 (11)	214.86399999999998	235.14350000000002	200-220,220-240	214.784	235.102	214.944	235.185
194	Diff net spacing	M1 (11)	219.42399999999998	229.5445	200-220,220-240	219.344	229.503	219.504	229.586
195	Diff net spacing	M1 (11)	220.18400000000003	235.14350000000002	220-240,220-240	220.104	235.102	220.264	235.185
196	Diff net spacing	M1 (11)	220.64	231.79950000000002	220-240,220-240	220.56	231.758	220.72	231.841
197	Diff net spacing	M1 (11)	222.16000000000003	229.5445	220-240,220-240	222.08	229.503	222.24	229.586
198	Diff net spacing	M1 (11)	221.856	238.4875	220-240,220-240	221.776	238.446	221.936	238.529
235	Diff net spacing	M1 (11)	184.312	248.5195	180-200,240-260	184.232	248.478	184.392	248.561
236	Diff net spacing	M1 (11)	194.344	249.6085	180-200,240-260	194.264	249.567	194.424	249.65
242	Diff net spacing	M1 (11)	206.95999999999998	242.9205	200-220,240-260	206.88	242.879	207.04	242.962
246	Diff net spacing	M1 (11)	221.248	241.8315	220-240,240-260	221.168	241.79	221.328	241.873
256	Diff net spacing	M1 (11)	233.10399999999998	246.2645	220-240,240-260	233.024	246.223	233.184	246.306
257	Diff net spacing	M1 (11)	229.608	245.1755	220-240,240-260	229.528	245.134	229.688	245.217
260	Diff net spacing	M1 (11)	231.584	249.6085	220-240,240-260	231.504	249.567	231.664	249.65
261	Diff net spacing	M1 (11)	230.824	245.1755	220-240,240-260	230.744	245.134	230.904	245.217
278	Diff net spacing	M1 (11)	276.12	249.6085	260-280,240-260	276.04	249.567	276.2	249.65
284	Diff net spacing	M1 (11)	298.15999999999997	248.5195	280-300,240-260	298.08	248.478	298.24	248.561
287	Diff net spacing	M1 (11)	304.84799999999996	242.9205	300-320,240-260	304.768	242.879	304.928	242.962
288	Diff net spacing	M1 (11)	305.76	245.1755	300-320,240-260	305.68	245.134	305.84	245.217
293	Diff net spacing	M1 (11)	186.744	262.9845	180-200,260-280	186.664	262.943	186.824	263.026
294	Diff net spacing	M1 (11)	188.264	262.9845	180-200,260-280	188.184	262.943	188.344	263.026
295	Diff net spacing	M1 (11)	199.36	252.9525	180-200,240-260	199.28	252.911	199.44	252.994
308	Diff net spacing	M1 (11)	232.64800000000002	255.20749999999998	220-240,240-260	232.568	255.166	232.728	255.249
378	Diff net spacing	M1 (11)	259.4	293.08050000000003	240-260,280-300	259.32	293.039	259.48	293.122
379	Diff net spacing	M1 (11)	159.38400000000001	302.0235	140-160,300-320	159.304	301.982	159.464	302.065
331	Needs fat contact	M1 (11)-M2 (13)	149.352	271.712	140-160,260-280	149.322	271.657	149.382	271.767
332	Needs fat contact	M1 (11)-M2 (13)	152.696	271.712	140-160,260-280	152.666	271.657	152.726	271.767
334	Needs fat contact	M1 (11)-M2 (13)	161.968	265.024	160-180,260-280	161.938	264.969	161.998	265.079
335	Needs fat contact	M1 (11)-M2 (13)	182.792	273.23199999999997	180-200,260-280	182.762	273.177	182.822	273.287
338	Needs fat contact	M1 (11)-M2 (13)	199.056	269.88800000000003	180-200,260-280	199.026	269.833	199.086	269.943
339	Needs fat contact	M1 (11)-M2 (13)	195.56	275.056	180-200,260-280	195.53	275.001	195.59	275.111
341	Needs fat contact	M1 (11)-M2 (13)	202.856	268.368	200-220,260-280	202.826	268.313	202.886	268.423
342	Needs fat contact	M1 (11)-M2 (13)	209.088	265.024	200-220,260-280	209.058	264.969	209.118	265.079
343	Needs fat contact	M1 (11)-M2 (13)	217.752	276.576	200-220,260-280	217.722	276.521	217.782	276.631
344	Needs fat contact	M1 (11)-M2 (13)	223.224	273.23199999999997	220-240,260-280	223.194	273.177	223.254	273.287
346	Needs fat contact	M1 (11)-M2 (13)	228.24	276.576	220-240,260-280	228.21	276.521	228.27	276.631
347	Needs fat contact	M1 (11)-M2 (13)	229.76	273.23199999999997	220-240,260-280	229.73	273.177	229.79	273.287
348	Needs fat contact	M1 (11)-M2 (13)	228.24	275.056	220-240,260-280	228.21	275.001	228.27	275.111
362	Needs fat contact	M1 (11)-M2 (13)	183.856	279.92	180-200,260-280	183.826	279.865	183.886	279.975
363	Needs fat contact	M1 (11)-M2 (13)	189.176	281.744	180-200,280-300	189.146	281.689	189.206	281.799
364	Needs fat contact	M1 (11)-M2 (13)	214.712	279.92	200-220,260-280	214.682	279.865	214.742	279.975
365	Needs fat contact	M1 (11)-M2 (13)	234.32	279.92	220-240,260-280	234.29	279.865	234.35	279.975
367	Needs fat contact	M1 (11)-M2 (13)	251.8	283.264	240-260,280-300	251.77	283.209	251.83	283.319
371	Needs fat contact	M1 (11)-M2 (13)	149.656	298.464	140-160,280-300	149.626	298.409	149.686	298.519
375	Needs fat contact	M1 (11)-M2 (13)	156.496	298.464	140-160,280-300	156.466	298.409	156.526	298.519
376	Needs fat contact	M1 (11)-M2 (13)	249.368	295.12	240-260,280-300	249.338	295.065	249.398	295.175
377	Needs fat contact	M1 (11)-M2 (13)	244.808	291.776	240-260,280-300	244.778	291.721	244.838	291.831
63	Needs fat contact	M1 (11)-M2 (13)	224.744	107.856	220-240,100-120	224.714	107.801	224.774	107.911
64	Needs fat contact	M1 (11)-M2 (13)	226.416	107.856	220-240,100-120	226.386	107.801	226.446	107.911
65	Needs fat contact	M1 (11)-M2 (13)	232.192	117.888	220-240,100-120	232.162	117.833	232.222	117.943
66	Needs fat contact	M1 (11)-M2 (13)	230.824	109.376	220-240,100-120	230.794	109.321	230.854	109.431
68	Needs fat contact	M1 (11)-M2 (13)	41.128	126.096	040-060,120-140	41.098	126.041	41.158	126.151
71	Needs fat contact	M1 (11)-M2 (13)	200.88	122.75200000000001	200-220,120-140	200.85	122.697	200.91	122.807
