tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	0	Diff net spacing	M1 (11)	125.336	22.2165	120-140,020-040	125.256	22.175	125.416	22.258
Diff_net_spacing_M1_(11)_2	2	Diff net spacing	M1 (11)	220.64	32.2485	220-240,020-040	220.56	32.207	220.72	32.29
Diff_net_spacing_M1_(11)_3	6	Diff net spacing	M1 (11)	198.44799999999998	45.6245	180-200,040-060	198.368	45.583	198.528	45.666
Less_than_minimum_area_M2_(13)_1	186	Less than minimum area	M2 (13)	206.656	238.272	200-220,220-240	206.626	238.217	206.686	238.327
Needs_fat_contact_M1_(11)-M2_(13)_1	1	Needs fat contact	M1 (11)-M2 (13)	192.368	29.12	180-200,020-040	192.338	29.065	192.398	29.175
Needs_fat_contact_M1_(11)-M2_(13)_2	3	Needs fat contact	M1 (11)-M2 (13)	70.92	37.632	060-080,020-040	70.89	37.577	70.95	37.687
Needs_fat_contact_M1_(11)-M2_(13)_3	4	Needs fat contact	M1 (11)-M2 (13)	190.544	35.808	180-200,020-040	190.514	35.753	190.574	35.863
Off-grid_M1_(11)_1	25	Off-grid	M1 (11)	166.548	79.3055	160-180,060-080	166.503	79.255	166.593	79.356
Off-grid_M1_(11)_2	124	Off-grid	M1 (11)	177.01600000000002	202.856	160-180,200-220	176.961	202.826	177.071	202.886
Off-grid_M1_(11)_3	125	Off-grid	M1 (11)	176.562	203.1295	160-180,200-220	176.357	203.074	176.767	203.185
Off-grid_M2_(13)_1	9	Off-grid	M2 (13)	206.781	45.688	200-220,040-060	206.726	45.582	206.836	45.794
Off-grid_M2_(13)_2	10	Off-grid	M2 (13)	208.60500000000002	45.688	200-220,040-060	208.55	45.582	208.66	45.794
Off-grid_M2_(13)_3	18	Off-grid	M2 (13)	206.02100000000002	47.816	200-220,040-060	205.966	47.71	206.076	47.922
Off-grid_VIA1_(12)_1	8	Off-grid	VIA1 (12)	206.781	45.688	200-220,040-060	206.756	45.587	206.806	45.789
Off-grid_VIA1_(12)_2	11	Off-grid	VIA1 (12)	208.60500000000002	45.688	200-220,040-060	208.58	45.587	208.63	45.789
Off-grid_VIA1_(12)_3	17	Off-grid	VIA1 (12)	206.02100000000002	47.816	200-220,040-060	205.996	47.715	206.046	47.917
Same_net_spacing_M4_(17)_1	342	Same net spacing	M4 (17)	216.99200000000002	265.70799999999997	200-220,260-280	216.906	265.673	217.078	265.743
Short_M1_(11)_1	75	Short	M1 (11)	300.744	121.992	300-320,120-140	300.669	121.912	300.819	122.072
Hotspot_220to240_220to240_1	187	Diff net spacing	M1 (11)	224.288	238.4875	220-240,220-240	224.208	238.446	224.368	238.529
Hotspot_220to240_220to240_2	193	Diff net spacing	M1 (11)	221.39999999999998	231.79950000000002	220-240,220-240	221.32	231.758	221.48	231.841
Hotspot_220to240_220to240_3	194	Diff net spacing	M1 (11)	220.64	236.23250000000002	220-240,220-240	220.56	236.191	220.72	236.274
Hotspot_240to260_220to240_1	173	Diff net spacing	M1 (11)	258.79200000000003	222.85649999999998	240-260,220-240	258.712	222.815	258.872	222.898
Hotspot_240to260_220to240_2	221	Diff net spacing	M1 (11)	257.728	239.5765	240-260,220-240	257.648	239.535	257.808	239.618
Hotspot_240to260_220to240_3	167	Off-grid	VIA1 (12)	240.402	226.264	240-260,220-240	240.377	226.163	240.427	226.365
Hotspot_220to240_240to260_1	244	Diff net spacing	M1 (11)	225.50400000000002	241.8315	220-240,240-260	225.424	241.79	225.584	241.873
Hotspot_220to240_240to260_2	245	Diff net spacing	M1 (11)	226.416	242.9205	220-240,240-260	226.336	242.879	226.496	242.962
Hotspot_220to240_240to260_3	247	Diff net spacing	M1 (11)	220.64	245.1755	220-240,240-260	220.56	245.134	220.72	245.217
Hotspot_240to260_240to260_1	269	Needs fat contact	M1 (11)-M2 (13)	257.27200000000005	249.824	240-260,240-260	257.242	249.769	257.302	249.879
Hotspot_240to260_240to260_2	270	Needs fat contact	M1 (11)-M2 (13)	257.88	248.304	240-260,240-260	257.85	248.249	257.91	248.359
Hotspot_240to260_240to260_3	273	Needs fat contact	M1 (11)-M2 (13)	259.096	246.48000000000002	240-260,240-260	259.066	246.425	259.126	246.535
Hotspot_220to240_200to220_1	132	Off-grid	VIA1 (12)	239.613	202.856	220-240,200-220	239.588	202.755	239.638	202.957
Hotspot_220to240_200to220_2	133	Off-grid	M2 (13)	239.613	202.856	220-240,200-220	239.558	202.75	239.668	202.962
Hotspot_220to240_200to220_3	134	Off-grid	VIA1 (12)	238.247	201.64	220-240,200-220	238.222	201.539	238.272	201.741
