error_id	error_type	error_layer	cx	cy	bucket20	nearest_pg_net	nearest_pg_shape	nearest_pg_distance_um	nearest_pg_distance_bin
173	Diff net spacing	M1 (11)	258.79200000000003	222.85649999999998	240-260,220-240	VDD	PATH_13_202	18.5920	>5.00um
187	Diff net spacing	M1 (11)	224.288	238.4875	220-240,220-240	VSS	PATH_13_201	4.0880	<=5.00um
190	Diff net spacing	M1 (11)	216.688	236.23250000000002	200-220,220-240	VSS	PATH_13_201	3.1120	<=5.00um
191	Diff net spacing	M1 (11)	216.83999999999997	231.79950000000002	200-220,220-240	VSS	PATH_13_201	2.9600	<=5.00um
192	Diff net spacing	M1 (11)	219.272	231.79950000000002	200-220,220-240	VSS	PATH_13_201	0.5280	<=1.00um
193	Diff net spacing	M1 (11)	221.39999999999998	231.79950000000002	220-240,220-240	VSS	PATH_13_201	1.2000	<=2.00um
194	Diff net spacing	M1 (11)	220.64	236.23250000000002	220-240,220-240	VSS	PATH_13_201	0.4400	<=0.50um
195	Diff net spacing	M1 (11)	220.64	239.5765	220-240,220-240	VSS	PATH_13_201	0.4400	<=0.50um
196	Diff net spacing	M1 (11)	223.072	236.23250000000002	220-240,220-240	VSS	PATH_13_201	2.8720	<=5.00um
221	Diff net spacing	M1 (11)	257.728	239.5765	240-260,220-240	VDD	PATH_13_202	17.5280	>5.00um
224	Diff net spacing	M1 (11)	261.68	236.23250000000002	260-280,220-240	VDD	PATH_13_202	21.4800	>5.00um
236	Diff net spacing	M1 (11)	215.168	242.9205	200-220,240-260	VSS	PATH_13_201	4.6320	<=5.00um
238	Diff net spacing	M1 (11)	215.62400000000002	246.2645	200-220,240-260	VSS	PATH_13_201	4.1760	<=5.00um
239	Diff net spacing	M1 (11)	215.47199999999998	251.8635	200-220,240-260	VSS	PATH_13_201	4.3280	<=5.00um
244	Diff net spacing	M1 (11)	225.50400000000002	241.8315	220-240,240-260	VSS	PATH_13_201	5.3040	>5.00um
245	Diff net spacing	M1 (11)	226.416	242.9205	220-240,240-260	VSS	PATH_13_201	6.2160	>5.00um
246	Diff net spacing	M1 (11)	217.144	242.9205	200-220,240-260	VSS	PATH_13_201	2.6560	<=5.00um
247	Diff net spacing	M1 (11)	220.64	245.1755	220-240,240-260	VSS	PATH_13_201	0.4400	<=0.50um
248	Diff net spacing	M1 (11)	216.38400000000001	245.1755	200-220,240-260	VSS	PATH_13_201	3.4160	<=5.00um
253	Diff net spacing	M1 (11)	230.976	249.6085	220-240,240-260	VDD	PATH_13_202	8.8240	>5.00um
254	Diff net spacing	M1 (11)	231.736	245.1755	220-240,240-260	VDD	PATH_13_202	8.0640	>5.00um
255	Diff net spacing	M1 (11)	230.976	242.9205	220-240,240-260	VDD	PATH_13_202	8.8240	>5.00um
256	Diff net spacing	M1 (11)	229.152	242.9205	220-240,240-260	VSS	PATH_13_201	8.9520	>5.00um
257	Diff net spacing	M1 (11)	230.216	246.2645	220-240,240-260	VDD	PATH_13_202	9.5840	>5.00um
258	Diff net spacing	M1 (11)	232.49599999999998	248.5195	220-240,240-260	VDD	PATH_13_202	7.3040	>5.00um
