tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	14	Diff net spacing	M1 (11)	301.003	78.33500000000001	300-320,060-080	300.943	78.288	301.063	78.382
Diff_net_spacing_M1_(11)_2	15	Diff net spacing	M1 (11)	301.048	78.314	300-320,060-080	300.943	78.288	301.153	78.34
Diff_net_spacing_M1_(11)_3	39	Diff net spacing	M1 (11)	259.48400000000004	252.256	240-260,240-260	259.447	252.176	259.521	252.336
Diff_net_spacing_M2_(13)_1	40	Diff net spacing	M2 (13)	259.56600000000003	252.332	240-260,240-260	259.494	252.297	259.638	252.367
Off-grid_M1_(11)_1	16	Off-grid	M1 (11)	301.048	78.368	300-320,060-080	300.993	78.338	301.103	78.398
Off-grid_M1_(11)_2	52	Off-grid	M1 (11)	114.696	280.67999999999995	100-120,280-300	114.641	280.65	114.751	280.71
Off-grid_M1_(11)_3	54	Off-grid	M1 (11)	214.256	278.856	200-220,260-280	214.226	278.801	214.286	278.911
Off-grid_M2_(13)_1	21	Off-grid	M2 (13)	227.453	158.01600000000002	220-240,140-160	227.398	157.91	227.508	158.122
Off-grid_VIA1_(12)_1	0	Off-grid	VIA1 (12)	71.98400000000001	21.064	060-080,020-040	71.959	20.963	72.009	21.165
Off-grid_VIA1_(12)_2	1	Off-grid	VIA1 (12)	25.927999999999997	22.432000000000002	020-040,020-040	25.903	22.331	25.953	22.533
Off-grid_VIA1_(12)_3	2	Off-grid	VIA1 (12)	69.55199999999999	45.688	060-080,040-060	69.527	45.587	69.577	45.789
Short_M1_(11)_1	6	Short	M1 (11)	239.64	55.846000000000004	220-240,040-060	239.56	55.771	239.72	55.921
Short_M1_(11)_2	27	Short	M1 (11)	301.58	189.024	300-320,180-200	301.505	188.949	301.655	189.099
Short_M1_(11)_3	31	Short	M1 (11)	220.336	206.32600000000002	220-240,200-220	220.256	206.251	220.416	206.401
Hotspot_200to220_260to280_1	44	Off-grid	VIA1 (12)	203.312	268.52	200-220,260-280	203.287	268.419	203.337	268.621
Hotspot_200to220_260to280_2	45	Off-grid	VIA1 (12)	207.56799999999998	265.176	200-220,260-280	207.543	265.075	207.593	265.277
Hotspot_200to220_260to280_3	46	Off-grid	VIA1 (12)	212.888	273.08	200-220,260-280	212.863	272.979	212.913	273.181
Hotspot_200to220_280to300_1	56	Off-grid	VIA1 (12)	212.43200000000002	288.584	200-220,280-300	212.407	288.483	212.457	288.685
Hotspot_200to220_280to300_2	60	Off-grid	VIA1 (12)	203.768	296.488	200-220,280-300	203.743	296.387	203.793	296.589
Hotspot_200to220_280to300_3	61	Off-grid	VIA1 (12)	212.43200000000002	296.488	200-220,280-300	212.407	296.387	212.457	296.589
Hotspot_220to240_280to300_1	57	Off-grid	VIA1 (12)	239.336	288.584	220-240,280-300	239.311	288.483	239.361	288.685
Hotspot_220to240_280to300_2	58	Off-grid	VIA1 (12)	238.12	286.456	220-240,280-300	238.095	286.355	238.145	286.557
Hotspot_220to240_280to300_3	63	Off-grid	VIA1 (12)	236.296	289.8	220-240,280-300	236.271	289.699	236.321	289.901
Hotspot_020to040_060to080_1	9	Off-grid	VIA1 (12)	26.08	75.784	020-040,060-080	26.055	75.683	26.105	75.885
Hotspot_020to040_060to080_2	10	Off-grid	VIA1 (12)	30.032	75.784	020-040,060-080	30.007	75.683	30.057	75.885
Hotspot_020to040_060to080_3	11	Off-grid	VIA1 (12)	27.144	72.44	020-040,060-080	27.119	72.339	27.169	72.541
