error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Off-grid	VIA1 (12)	71.98400000000001	21.064	060-080,020-040	71.959	20.963	72.009	21.165
1	Off-grid	VIA1 (12)	25.927999999999997	22.432000000000002	020-040,020-040	25.903	22.331	25.953	22.533
2	Off-grid	VIA1 (12)	69.55199999999999	45.688	060-080,040-060	69.527	45.587	69.577	45.789
3	Off-grid	VIA1 (12)	69.70400000000001	42.344	060-080,040-060	69.679	42.243	69.729	42.445
4	Off-grid	VIA1 (12)	33.072	47.816	020-040,040-060	33.047	47.715	33.097	47.917
5	Off-grid	VIA1 (12)	33.984	51.16	020-040,040-060	33.959	51.059	34.009	51.261
7	Off-grid	VIA1 (12)	212.736	61.04	200-220,060-080	212.711	60.939	212.761	61.141
8	Off-grid	VIA1 (12)	297.4	69.096	280-300,060-080	297.375	68.995	297.425	69.197
9	Off-grid	VIA1 (12)	26.08	75.784	020-040,060-080	26.055	75.683	26.105	75.885
10	Off-grid	VIA1 (12)	30.032	75.784	020-040,060-080	30.007	75.683	30.057	75.885
11	Off-grid	VIA1 (12)	27.144	72.44	020-040,060-080	27.119	72.339	27.169	72.541
12	Off-grid	VIA1 (12)	44.32	71.224	040-060,060-080	44.295	71.123	44.345	71.325
13	Off-grid	VIA1 (12)	48.424	79.128	040-060,060-080	48.399	79.027	48.449	79.229
16	Off-grid	M1 (11)	301.048	78.368	300-320,060-080	300.993	78.338	301.103	78.398
17	Off-grid	VIA1 (12)	43.408	85.816	040-060,080-100	43.383	85.715	43.433	85.917
18	Off-grid	VIA1 (12)	258.488	122.6	240-260,120-140	258.463	122.499	258.513	122.701
19	Off-grid	VIA1 (12)	294.512	131.264	280-300,120-140	294.487	131.163	294.537	131.365
20	Off-grid	VIA1 (12)	182.488	166.072	180-200,160-180	182.463	165.971	182.513	166.173
21	Off-grid	M2 (13)	227.453	158.01600000000002	220-240,140-160	227.398	157.91	227.508	158.122
22	Off-grid	VIA1 (12)	227.453	158.016	220-240,140-160	227.428	157.915	227.478	158.117
23	Off-grid	VIA1 (12)	184.16	168.2	180-200,160-180	184.135	168.099	184.185	168.301
24	Off-grid	VIA1 (12)	212.584	174.888	200-220,160-180	212.559	174.787	212.609	174.989
25	Off-grid	VIA1 (12)	222.16	182.792	220-240,180-200	222.135	182.691	222.185	182.893
26	Off-grid	VIA1 (12)	235.688	186.136	220-240,180-200	235.663	186.035	235.713	186.237
28	Off-grid	VIA1 (12)	302.87199999999996	198.296	300-320,180-200	302.847	198.195	302.897	198.397
29	Off-grid	VIA1 (12)	191.0	213.04	180-200,200-220	190.975	212.939	191.025	213.141
30	Off-grid	VIA1 (12)	195.56	206.352	180-200,200-220	195.535	206.251	195.585	206.453
32	Off-grid	VIA1 (12)	170.328	224.89600000000002	160-180,220-240	170.303	224.795	170.353	224.997
33	Off-grid	VIA1 (12)	179.296	216.38400000000001	160-180,200-220	179.271	216.283	179.321	216.485
34	Off-grid	VIA1 (12)	175.8	223.072	160-180,220-240	175.775	222.971	175.825	223.173
35	Off-grid	VIA1 (12)	251.49599999999998	221.704	240-260,220-240	251.471	221.603	251.521	221.805
37	Off-grid	VIA1 (12)	164.552	241.768	160-180,240-260	164.527	241.667	164.577	241.869
38	Off-grid	VIA1 (12)	213.344	241.768	200-220,240-260	213.319	241.667	213.369	241.869
41	Off-grid	VIA1 (12)	48.120000000000005	259.704	040-060,240-260	48.095	259.603	48.145	259.805
42	Off-grid	VIA1 (12)	288.584	256.36	280-300,240-260	288.559	256.259	288.609	256.461
43	Off-grid	VIA1 (12)	199.36	265.176	180-200,260-280	199.335	265.075	199.385	265.277
44	Off-grid	VIA1 (12)	203.312	268.52	200-220,260-280	203.287	268.419	203.337	268.621
45	Off-grid	VIA1 (12)	207.56799999999998	265.176	200-220,260-280	207.543	265.075	207.593	265.277
46	Off-grid	VIA1 (12)	212.888	273.08	200-220,260-280	212.863	272.979	212.913	273.181
47	Off-grid	VIA1 (12)	214.864	273.08	200-220,260-280	214.839	272.979	214.889	273.181
48	Off-grid	VIA1 (12)	225.656	276.424	220-240,260-280	225.631	276.323	225.681	276.525
