error_id	error_type	error_layer	cx	cy	cell	pin	access_status	access_x	access_y	distance	ref	via_window_verdict	via_window_class
0	Off-grid	VIA1 (12)	71.98400000000001	21.064	u_core/core_i/id_stage_i/U2688	A2	Routable	71.9840	21.0290	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
1	Off-grid	VIA1 (12)	25.927999999999997	22.432000000000002	u_core/core_i/U5633	A2	Routable	25.9280	22.3950	0.037000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
2	Off-grid	VIA1 (12)	69.55199999999999	45.688	u_core/core_i/id_stage_i/U3540	A2	Routable	69.5520	45.6880	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
3	Off-grid	VIA1 (12)	69.70400000000001	42.344	u_core/core_i/id_stage_i/U1195	A2	Routable	69.7040	42.3440	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
4	Off-grid	VIA1 (12)	33.072	47.816	u_core/core_i/id_stage_i/U1193	A2	Routable	33.0720	47.7810	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
5	Off-grid	VIA1 (12)	33.984	51.16	u_core/core_i/id_stage_i/U3375	A2	Routable	33.9840	51.1250	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
7	Off-grid	VIA1 (12)	212.736	61.04	u_core/core_i/id_stage_i/U2475	A2	Routable	212.7360	61.0400	0.000000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
8	Off-grid	VIA1 (12)	297.4	69.096	u_core/core_i/U5127	A2	Routable	297.4000	69.0960	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
9	Off-grid	VIA1 (12)	26.08	75.784	u_core/core_i/id_stage_i/U204	A2	Routable	26.0800	75.7840	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
10	Off-grid	VIA1 (12)	30.032	75.784	u_core/core_i/id_stage_i/U3250	A2	Routable	30.0320	75.7840	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
11	Off-grid	VIA1 (12)	27.144	72.44	u_core/core_i/id_stage_i/U1190	A2	Routable	27.1440	72.4400	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
12	Off-grid	VIA1 (12)	44.32	71.224	u_core/core_i/id_stage_i/U1198	A2	Routable	44.3200	71.1890	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
13	Off-grid	VIA1 (12)	48.424	79.128	u_core/core_i/id_stage_i/U1200	A2	Routable	48.4240	79.1280	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
17	Off-grid	VIA1 (12)	43.408	85.816	u_core/core_i/id_stage_i/U1700	A2	Routable	43.4080	85.8160	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
18	Off-grid	VIA1 (12)	258.488	122.6	u_core/core_i/U5112	A2	Routable	258.4880	122.6000	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
19	Off-grid	VIA1 (12)	294.512	131.264	u_core/core_i/U5494	A2	Routable	294.5120	131.2640	0.000000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
20	Off-grid	VIA1 (12)	182.488	166.072	u_core/core_i/id_stage_i/U392	A2	Routable	182.4880	166.0720	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
21	Off-grid	M2 (13)	227.453	158.01600000000002	u_core/core_i/cs_registers_i/U110	A2	Routable	227.4800	158.0160	0.027000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
22	Off-grid	VIA1 (12)	227.453	158.016	u_core/core_i/cs_registers_i/U110	A2	Routable	227.4800	158.0160	0.027000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
23	Off-grid	VIA1 (12)	184.16	168.2	u_core/core_i/id_stage_i/U394	A2	Routable	184.1600	168.1650	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
24	Off-grid	VIA1 (12)	212.584	174.888	u_core/core_i/id_stage_i/U582	A2	Routable	212.5840	174.8530	0.035000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
25	Off-grid	VIA1 (12)	222.16	182.792	u_core/core_i/id_stage_i/U1160	A2	Routable	222.1600	182.7920	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
26	Off-grid	VIA1 (12)	235.688	186.136	u_core/core_i/id_stage_i/U577	A2	Routable	235.6880	186.1360	0.000000	NOR2X2_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
28	Off-grid	VIA1 (12)	302.87199999999996	198.296	u_core/core_i/U19	A2	Routable	302.8720	198.2610	0.035000	NOR2X4_HVT	PIN_HAS_LEGAL_VIA1_TRACK_CENTER	or_nor_a2_legal_track_edge_snapping
29	Off-grid	VIA1 (12)	191.0	213.04	u_core/core_i/U1091	A2	Routable	191.0000	213.0030	0.037000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
30	Off-grid	VIA1 (12)	195.56	206.352	u_core/core_i/U1065	A2	Routable	195.5600	206.3150	0.037000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
32	Off-grid	VIA1 (12)	170.328	224.89600000000002	u_core/core_i/U1041	A2	Routable	170.3280	224.8960	0.000000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
33	Off-grid	VIA1 (12)	179.296	216.38400000000001	u_core/core_i/U1135	A2	Routable	179.2960	216.3470	0.037000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
34	Off-grid	VIA1 (12)	175.8	223.072	u_core/core_i/U981	A2	Routable	175.8000	223.0350	0.037000	OR2X4_HVT	PIN_HAS_LEGAL_WINDOW_BUT_NO_DEFAULT_TRACK_CENTER	legal_window_no_default_track_center
