error_id	error_type	error_layer	cx	cy	refs	pins	shape_layers	cells	nets
6	Short	M1 (11)	239.64	55.846000000000004	SDFFASX1_RVT	Q	M2,M3,M8	u_core/core_i/cs_registers_i/mtvec_mode_q_reg[0]	VDD,u_core/core_i/ZBUF_874_305,u_core/core_i/cs_registers_i/ZBUF_88_192,u_core/core_i/mtvec_mode[0],u_core/core_i/n2851
14	Diff net spacing	M1 (11)	301.003	78.33500000000001	SDFFARX1_RVT	RSTB,VSS	M1,M2,M3	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[3],u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[7]	VSS,u_core/core_i/HFSNET_39,u_core/core_i/ZBUF_669_292,u_core/core_i/n40
15	Diff net spacing	M1 (11)	301.048	78.314	SDFFARX1_RVT	RSTB,VSS	M1,M2,M3	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[3],u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[7]	VSS,u_core/core_i/HFSNET_39,u_core/core_i/ZBUF_669_292,u_core/core_i/ZBUF_743_314,u_core/core_i/n40
16	Off-grid	M1 (11)	301.048	78.368	SDFFARX1_RVT	RSTB,VSS	M1,M2,M3	u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[3],u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q_reg[7]	VSS,u_core/core_i/HFSNET_39,u_core/core_i/ZBUF_669_292,u_core/core_i/ZBUF_743_314,u_core/core_i/if_stage_i/prefetch_buffer_i/prefetch_controller_i/trans_addr_q[3],u_core/core_i/n40
27	Short	M1 (11)	301.58	189.024	SDFFARX1_RVT	QN,RSTB,VSS	M1,M2,M3	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][0],u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][1]	VSS,u_core/core_i/cs_registers_i/mhpmcounter_q[0][0],u_core/core_i/cs_registers_i/n14,u_core/core_i/cs_registers_i/n1738,u_core/core_i/n5843
31	Short	M1 (11)	220.336	206.32600000000002	SDFFASX1_RVT	Q	M2,M3,M4,M5,M6,M7,M8	u_core/core_i/id_stage_i/alu_operator_ex_o_reg[0]	VSS,u_core/core_i/ZBUF_159_157,u_core/core_i/ZBUF_81_167,u_core/core_i/ZBUF_850_314,u_core/core_i/cs_registers_i/ZBUF_134_109,u_core/core_i/id_stage_i/n41,u_core/core_i/id_stage_i/net10919,u_core/core_i/n1112,u_core/core_i/n2123
36	Short	M1 (11)	301.58	235.536	SDFFARX1_RVT	RSTB,VSS	M1,M2,M3	u_core/core_i/cs_registers_i/mhpmcounter_q_reg[0][4]	VSS,hart_id_i[10],u_core/core_i/cs_registers_i/n12,u_core/core_i/cs_registers_i/n14
39	Diff net spacing	M1 (11)	259.48400000000004	252.256	NBUFFX4_HVT,SDFFARX1_RVT	RSTB,VSS	M1,M2,M3,M8	u_core/core_i/ZBUF_200_inst_3715,u_core/core_i/if_stage_i/instr_rdata_id_o_reg[27]	VSS,u_core/core_i/HFSNET_32,u_core/core_i/ZBUF_907_283
40	Diff net spacing	M2 (13)	259.56600000000003	252.332	NBUFFX4_HVT,SDFFARX1_RVT	RSTB,VSS,Y	M1,M2,M3,M8	u_core/core_i/ZBUF_200_inst_3715,u_core/core_i/if_stage_i/instr_rdata_id_o_reg[27]	VSS,u_core/core_i/HFSNET_32,u_core/core_i/ZBUF_907_283
52	Off-grid	M1 (11)	114.696	280.67999999999995	AND2X1_HVT,MUX41X2_HVT,NBUFFX8_HVT	VDD	M1,M2,M4,M5	u_core/core_i/U1723,u_core/core_i/U804,u_core/core_i/ZBUF_647_inst_1764	VDD,u_core/core_i/n1302,u_core/core_i/n71,u_core/core_i/n768,u_core/core_i/n91
54	Off-grid	M1 (11)	214.256	278.856	NAND2X0_HVT,SDFFARX1_RVT	Q,QN,VSS	M1,M2,M3,M5,M7	u_core/core_i/U99,u_core/core_i/ex_stage_i/alu_i/alu_div_i/ResReg_DP_reg[21]	VSS,u_core/core_i/ZBUF_878_289,u_core/core_i/n2619,u_core/core_i/n4782,u_core/core_i/n5882,u_core/core_i/n613
55	Off-grid	M1 (11)	214.251	278.9185	NAND2X0_HVT,SDFFARX1_RVT	Q,QN,VSS	M1,M2,M3,M5,M7	u_core/core_i/U99,u_core/core_i/ex_stage_i/alu_i/alu_div_i/ResReg_DP_reg[21]	VSS,u_core/core_i/ZBUF_878_289,u_core/core_i/n2619,u_core/core_i/n4782,u_core/core_i/n5882,u_core/core_i/n613
