tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	126	Diff net spacing	M1 (11)	211.06400000000002	198.35950000000003	200-220,180-200	210.984	198.318	211.144	198.401
Diff_net_spacing_M1_(11)_2	127	Diff net spacing	M1 (11)	207.872	199.44850000000002	200-220,180-200	207.792	199.407	207.952	199.49
Diff_net_spacing_M1_(11)_3	128	Diff net spacing	M1 (11)	206.50400000000002	192.76049999999998	200-220,180-200	206.424	192.719	206.584	192.802
Diff_net_spacing_M2_(13)_1	39	Diff net spacing	M2 (13)	259.56600000000003	88.476	240-260,080-100	259.494	88.441	259.638	88.511
Diff_net_spacing_M2_(13)_2	124	Diff net spacing	M2 (13)	259.56600000000003	188.948	240-260,180-200	259.494	188.913	259.638	188.983
Less_than_minimum_area_M2_(13)_1	248	Less than minimum area	M2 (13)	230.824	249.824	220-240,240-260	230.794	249.769	230.854	249.879
Less_than_minimum_area_M2_(13)_2	68	Less than minimum area	M2 (13)	200.728	119.40799999999999	200-220,100-120	200.698	119.353	200.758	119.463
Less_than_minimum_area_M2_(13)_3	70	Less than minimum area	M2 (13)	232.952	119.40799999999999	220-240,100-120	232.922	119.353	232.982	119.463
Needs_fat_contact_M1_(11)-M2_(13)_1	138	Needs fat contact	M1 (11)-M2 (13)	20.608	214.864	020-040,200-220	20.578	214.809	20.638	214.919
Needs_fat_contact_M1_(11)-M2_(13)_2	139	Needs fat contact	M1 (11)-M2 (13)	63.624	211.51999999999998	060-080,200-220	63.594	211.465	63.654	211.575
Needs_fat_contact_M1_(11)-M2_(13)_3	150	Needs fat contact	M1 (11)-M2 (13)	21.216	216.38400000000001	020-040,200-220	21.186	216.329	21.246	216.439
Off-grid_M1_(11)_1	44	Off-grid	M1 (11)	151.04399999999998	94.4545	140-160,080-100	150.999	94.404	151.089	94.505
Off-grid_M1_(11)_2	244	Off-grid	M1 (11)	228.621	250.2775	220-240,240-260	228.519	250.25	228.723	250.305
Off-grid_M1_(11)_3	64	Off-grid	M1 (11)	188.082	128.09	180-200,120-140	188.057	128.047	188.107	128.133
Off-grid_M2_(13)_1	130	Off-grid	M2 (13)	222.285	196.168	220-240,180-200	222.23	196.062	222.34	196.274
Off-grid_M2_(13)_2	133	Off-grid	M2 (13)	239.613	202.856	220-240,200-220	239.558	202.75	239.668	202.962
Off-grid_M2_(13)_3	135	Off-grid	M2 (13)	242.805	199.512	240-260,180-200	242.75	199.406	242.86	199.618
Off-grid_VIA1_(12)_1	129	Off-grid	VIA1 (12)	222.285	196.168	220-240,180-200	222.26	196.067	222.31	196.269
Off-grid_VIA1_(12)_2	131	Off-grid	VIA1 (12)	238.09300000000002	202.856	220-240,200-220	238.068	202.755	238.118	202.957
Off-grid_VIA1_(12)_3	132	Off-grid	VIA1 (12)	239.613	202.856	220-240,200-220	239.588	202.755	239.638	202.957
Hotspot_220to240_220to240_1	187	Diff net spacing	M1 (11)	223.52800000000002	238.4875	220-240,220-240	223.448	238.446	223.608	238.529
Hotspot_220to240_220to240_2	191	Diff net spacing	M1 (11)	220.792	231.79950000000002	220-240,220-240	220.712	231.758	220.872	231.841
Hotspot_220to240_220to240_3	192	Diff net spacing	M1 (11)	223.37599999999998	236.23250000000002	220-240,220-240	223.296	236.191	223.456	236.274
Hotspot_220to240_240to260_1	247	Needs fat contact	M1 (11)-M2 (13)	230.824	249.824	220-240,240-260	230.794	249.769	230.854	249.879
Hotspot_220to240_240to260_2	249	Needs fat contact	M1 (11)-M2 (13)	229.76	246.48000000000002	220-240,240-260	229.73	246.425	229.79	246.535
Hotspot_220to240_240to260_3	250	Needs fat contact	M1 (11)-M2 (13)	231.128	244.95999999999998	220-240,240-260	231.098	244.905	231.158	245.015
Hotspot_240to260_240to260_1	262	Needs fat contact	M1 (11)-M2 (13)	257.424	249.824	240-260,240-260	257.394	249.769	257.454	249.879
Hotspot_240to260_240to260_2	263	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	248.304	240-260,240-260	256.938	248.249	256.998	248.359
Hotspot_240to260_240to260_3	265	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	246.48000000000002	240-260,240-260	256.938	246.425	256.998	246.535
Hotspot_240to260_220to240_1	173	Needs fat contact	M1 (11)-M2 (13)	257.88	223.072	240-260,220-240	257.85	223.017	257.91	223.127
Hotspot_240to260_220to240_2	216	Needs fat contact	M1 (11)-M2 (13)	255.904	239.792	240-260,220-240	255.874	239.737	255.934	239.847
Hotspot_240to260_220to240_3	169	Off-grid	VIA1 (12)	241.589	221.704	240-260,220-240	241.564	221.603	241.614	221.805
