error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
0	Needs fat contact	M1 (11)-M2 (13)	126.55199999999999	20.912	120-140,020-040	126.522	20.857	126.582	20.967
1	Needs fat contact	M1 (11)-M2 (13)	191.912	29.12	180-200,020-040	191.882	29.065	191.942	29.175
3	Needs fat contact	M1 (11)-M2 (13)	70.464	35.808	060-080,020-040	70.434	35.753	70.494	35.863
9	Needs fat contact	M1 (11)-M2 (13)	103.904	47.664	100-120,040-060	103.874	47.609	103.934	47.719
10	Needs fat contact	M1 (11)-M2 (13)	119.408	57.696	100-120,040-060	119.378	57.641	119.438	57.751
12	Needs fat contact	M1 (11)-M2 (13)	191.76	55.872	180-200,040-060	191.73	55.817	191.79	55.927
20	Needs fat contact	M1 (11)-M2 (13)	190.848	59.216	180-200,040-060	190.818	59.161	190.878	59.271
21	Needs fat contact	M1 (11)-M2 (13)	196.32	59.216	180-200,040-060	196.29	59.161	196.35	59.271
23	Needs fat contact	M1 (11)-M2 (13)	43.104	79.28	040-060,060-080	43.074	79.225	43.134	79.335
24	Needs fat contact	M1 (11)-M2 (13)	166.376	81.10400000000001	160-180,080-100	166.346	81.049	166.406	81.159
25	Needs fat contact	M1 (11)-M2 (13)	174.28	81.10400000000001	160-180,080-100	174.25	81.049	174.31	81.159
32	Needs fat contact	M1 (11)-M2 (13)	166.528	85.96799999999999	160-180,080-100	166.498	85.913	166.558	86.023
33	Needs fat contact	M1 (11)-M2 (13)	173.216	85.96799999999999	160-180,080-100	173.186	85.913	173.246	86.023
36	Needs fat contact	M1 (11)-M2 (13)	228.088	91.136	220-240,080-100	228.058	91.081	228.118	91.191
42	Needs fat contact	M1 (11)-M2 (13)	295.424	89.31200000000001	280-300,080-100	295.394	89.257	295.454	89.367
43	Needs fat contact	M1 (11)-M2 (13)	39.304	104.512	020-040,100-120	39.274	104.457	39.334	104.567
54	Needs fat contact	M1 (11)-M2 (13)	191.76	111.19999999999999	180-200,100-120	191.73	111.145	191.79	111.255
324	Needs fat contact	M1 (11)-M2 (13)	147.832	271.712	140-160,260-280	147.802	271.657	147.862	271.767
325	Needs fat contact	M1 (11)-M2 (13)	152.088	269.88800000000003	140-160,260-280	152.058	269.833	152.118	269.943
327	Needs fat contact	M1 (11)-M2 (13)	181.576	275.056	180-200,260-280	181.546	275.001	181.606	275.111
328	Needs fat contact	M1 (11)-M2 (13)	187.96	276.576	180-200,260-280	187.93	276.521	187.99	276.631
329	Needs fat contact	M1 (11)-M2 (13)	181.88	268.368	180-200,260-280	181.85	268.313	181.91	268.423
330	Needs fat contact	M1 (11)-M2 (13)	188.568	266.544	180-200,260-280	188.538	266.489	188.598	266.599
332	Needs fat contact	M1 (11)-M2 (13)	191.912	269.88800000000003	180-200,260-280	191.882	269.833	191.942	269.943
333	Needs fat contact	M1 (11)-M2 (13)	202.552	269.88800000000003	200-220,260-280	202.522	269.833	202.582	269.943
334	Needs fat contact	M1 (11)-M2 (13)	201.184	271.712	200-220,260-280	201.154	271.657	201.214	271.767
335	Needs fat contact	M1 (11)-M2 (13)	208.48	265.024	200-220,260-280	208.45	264.969	208.51	265.079
336	Needs fat contact	M1 (11)-M2 (13)	210.304	265.024	200-220,260-280	210.274	264.969	210.334	265.079
338	Needs fat contact	M1 (11)-M2 (13)	219.272	271.712	200-220,260-280	219.242	271.657	219.302	271.767
341	Needs fat contact	M1 (11)-M2 (13)	243.44	268.368	240-260,260-280	243.41	268.313	243.47	268.423
342	Needs fat contact	M1 (11)-M2 (13)	242.68	269.88800000000003	240-260,260-280	242.65	269.833	242.71	269.943
343	Needs fat contact	M1 (11)-M2 (13)	244.504	269.88800000000003	240-260,260-280	244.474	269.833	244.534	269.943
344	Needs fat contact	M1 (11)-M2 (13)	245.264	275.056	240-260,260-280	245.234	275.001	245.294	275.111
345	Needs fat contact	M1 (11)-M2 (13)	246.024	271.712	240-260,260-280	245.994	271.657	246.054	271.767
346	Needs fat contact	M1 (11)-M2 (13)	262.89599999999996	266.544	260-280,260-280	262.866	266.489	262.926	266.599
349	Needs fat contact	M1 (11)-M2 (13)	183.856	281.744	180-200,280-300	183.826	281.689	183.886	281.799
350	Needs fat contact	M1 (11)-M2 (13)	215.016	279.92	200-220,260-280	214.986	279.865	215.046	279.975
352	Needs fat contact	M1 (11)-M2 (13)	218.056	279.92	200-220,260-280	218.026	279.865	218.086	279.975
354	Needs fat contact	M1 (11)-M2 (13)	256.81600000000003	286.608	240-260,280-300	256.786	286.553	256.846	286.663
355	Needs fat contact	M1 (11)-M2 (13)	254.992	279.92	240-260,260-280	254.962	279.865	255.022	279.975
356	Needs fat contact	M1 (11)-M2 (13)	257.27200000000005	285.08799999999997	240-260,280-300	257.242	285.033	257.302	285.143
357	Needs fat contact	M1 (11)-M2 (13)	259.24800000000005	283.264	240-260,280-300	259.218	283.209	259.278	283.319
361	Needs fat contact	M1 (11)-M2 (13)	154.216	299.984	140-160,280-300	154.186	299.929	154.246	300.039
366	Needs fat contact	M1 (11)-M2 (13)	257.88	289.952	240-260,280-300	257.85	289.897	257.91	290.007
367	Needs fat contact	M1 (11)-M2 (13)	159.38400000000001	305.152	140-160,300-320	159.354	305.097	159.414	305.207
138	Needs fat contact	M1 (11)-M2 (13)	20.608	214.864	020-040,200-220	20.578	214.809	20.638	214.919
139	Needs fat contact	M1 (11)-M2 (13)	63.624	211.51999999999998	060-080,200-220	63.594	211.465	63.654	211.575
150	Needs fat contact	M1 (11)-M2 (13)	21.216	216.38400000000001	020-040,200-220	21.186	216.329	21.246	216.439
151	Needs fat contact	M1 (11)-M2 (13)	26.08	218.208	020-040,200-220	26.05	218.153	26.11	218.263
152	Needs fat contact	M1 (11)-M2 (13)	27.296	216.38400000000001	020-040,200-220	27.266	216.329	27.326	216.439
153	Needs fat contact	M1 (11)-M2 (13)	24.560000000000002	221.55200000000002	020-040,220-240	24.53	221.497	24.59	221.607
154	Needs fat contact	M1 (11)-M2 (13)	22.128	224.89600000000002	020-040,220-240	22.098	224.841	22.158	224.951
173	Needs fat contact	M1 (11)-M2 (13)	257.88	223.072	240-260,220-240	257.85	223.017	257.91	223.127
178	Needs fat contact	M1 (11)-M2 (13)	202.248	228.24	200-220,220-240	202.218	228.185	202.278	228.295
179	Needs fat contact	M1 (11)-M2 (13)	200.728	234.928	200-220,220-240	200.698	234.873	200.758	234.983
180	Needs fat contact	M1 (11)-M2 (13)	201.184	233.10399999999998	200-220,220-240	201.154	233.049	201.214	233.159
181	Needs fat contact	M1 (11)-M2 (13)	201.032	228.24	200-220,220-240	201.002	228.185	201.062	228.295
186	Needs fat contact	M1 (11)-M2 (13)	206.96	238.272	200-220,220-240	206.93	238.217	206.99	238.327
252	Needs fat contact	M1 (11)-M2 (13)	231.28	246.48000000000002	220-240,240-260	231.25	246.425	231.31	246.535
253	Needs fat contact	M1 (11)-M2 (13)	232.344	248.304	220-240,240-260	232.314	248.249	232.374	248.359
262	Needs fat contact	M1 (11)-M2 (13)	257.424	249.824	240-260,240-260	257.394	249.769	257.454	249.879
263	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	248.304	240-260,240-260	256.938	248.249	256.998	248.359
265	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	246.48000000000002	240-260,240-260	256.938	246.425	256.998	246.535
