tag	error_id	error_type	error_layer	cx	cy	bucket20	x1	y1	x2	y2
Diff_net_spacing_M1_(11)_1	315	Diff net spacing	M1 (11)	303.632	252.9525	300-320,240-260	303.552	252.911	303.712	252.994
Diff_net_spacing_M1_(11)_2	326	Diff net spacing	M1 (11)	166.52800000000002	276.3605	160-180,260-280	166.448	276.319	166.608	276.402
Diff_net_spacing_M1_(11)_3	331	Diff net spacing	M1 (11)	193.43200000000002	275.2715	180-200,260-280	193.352	275.23	193.512	275.313
Diff_net_spacing_M2_(13)_1	39	Diff net spacing	M2 (13)	259.56600000000003	88.476	240-260,080-100	259.494	88.441	259.638	88.511
Diff_net_spacing_M2_(13)_2	124	Diff net spacing	M2 (13)	259.56600000000003	188.948	240-260,180-200	259.494	188.913	259.638	188.983
Less_than_minimum_area_M2_(13)_1	68	Less than minimum area	M2 (13)	200.728	119.40799999999999	200-220,100-120	200.698	119.353	200.758	119.463
Less_than_minimum_area_M2_(13)_2	70	Less than minimum area	M2 (13)	232.952	119.40799999999999	220-240,100-120	232.922	119.353	232.982	119.463
Less_than_minimum_area_M2_(13)_3	74	Less than minimum area	M2 (13)	248.0	124.576	240-260,120-140	247.97	124.521	248.03	124.631
Needs_fat_contact_M1_(11)-M2_(13)_1	324	Needs fat contact	M1 (11)-M2 (13)	147.832	271.712	140-160,260-280	147.802	271.657	147.862	271.767
Needs_fat_contact_M1_(11)-M2_(13)_2	325	Needs fat contact	M1 (11)-M2 (13)	152.088	269.88800000000003	140-160,260-280	152.058	269.833	152.118	269.943
Needs_fat_contact_M1_(11)-M2_(13)_3	327	Needs fat contact	M1 (11)-M2 (13)	181.576	275.056	180-200,260-280	181.546	275.001	181.606	275.111
Off-grid_M1_(11)_1	44	Off-grid	M1 (11)	151.04399999999998	94.4545	140-160,080-100	150.999	94.404	151.089	94.505
Off-grid_M1_(11)_2	64	Off-grid	M1 (11)	188.082	128.09	180-200,120-140	188.057	128.047	188.107	128.133
Off-grid_M1_(11)_3	244	Off-grid	M1 (11)	228.621	250.2775	220-240,240-260	228.519	250.25	228.723	250.305
Off-grid_M2_(13)_1	317	Off-grid	M2 (13)	90.678	271.712	080-100,260-280	90.648	271.581	90.708	271.843
Off-grid_M2_(13)_2	319	Off-grid	M2 (13)	97.037	269.88800000000003	080-100,260-280	96.982	269.782	97.092	269.994
Off-grid_M2_(13)_3	321	Off-grid	M2 (13)	105.701	271.712	100-120,260-280	105.646	271.606	105.756	271.818
Off-grid_VIA1_(12)_1	316	Off-grid	VIA1 (12)	90.678	271.712	080-100,260-280	90.653	271.611	90.703	271.813
Off-grid_VIA1_(12)_2	318	Off-grid	VIA1 (12)	97.037	269.888	080-100,260-280	97.012	269.787	97.062	269.989
Off-grid_VIA1_(12)_3	320	Off-grid	VIA1 (12)	105.701	271.712	100-120,260-280	105.676	271.611	105.726	271.813
Hotspot_220to240_220to240_1	187	Diff net spacing	M1 (11)	223.52800000000002	238.4875	220-240,220-240	223.448	238.446	223.608	238.529
Hotspot_220to240_220to240_2	191	Diff net spacing	M1 (11)	220.792	231.79950000000002	220-240,220-240	220.712	231.758	220.872	231.841
Hotspot_220to240_220to240_3	192	Diff net spacing	M1 (11)	223.37599999999998	236.23250000000002	220-240,220-240	223.296	236.191	223.456	236.274
Hotspot_220to240_240to260_1	252	Needs fat contact	M1 (11)-M2 (13)	231.28	246.48000000000002	220-240,240-260	231.25	246.425	231.31	246.535
Hotspot_220to240_240to260_2	253	Needs fat contact	M1 (11)-M2 (13)	232.344	248.304	220-240,240-260	232.314	248.249	232.374	248.359
Hotspot_220to240_240to260_3	302	Needs fat contact	M1 (11)-M2 (13)	233.408	259.856	220-240,240-260	233.378	259.801	233.438	259.911
Hotspot_240to260_240to260_1	262	Needs fat contact	M1 (11)-M2 (13)	257.424	249.824	240-260,240-260	257.394	249.769	257.454	249.879
Hotspot_240to260_240to260_2	263	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	248.304	240-260,240-260	256.938	248.249	256.998	248.359
Hotspot_240to260_240to260_3	265	Needs fat contact	M1 (11)-M2 (13)	256.96799999999996	246.48000000000002	240-260,240-260	256.938	246.425	256.998	246.535
Hotspot_240to260_220to240_1	173	Needs fat contact	M1 (11)-M2 (13)	257.88	223.072	240-260,220-240	257.85	223.017	257.91	223.127
Hotspot_240to260_220to240_2	216	Needs fat contact	M1 (11)-M2 (13)	255.904	239.792	240-260,220-240	255.874	239.737	255.934	239.847
Hotspot_240to260_220to240_3	169	Off-grid	VIA1 (12)	241.589	221.704	240-260,220-240	241.564	221.603	241.614	221.805
Hotspot_220to240_200to220_1	131	Off-grid	VIA1 (12)	238.09300000000002	202.856	220-240,200-220	238.068	202.755	238.118	202.957
Hotspot_220to240_200to220_2	132	Off-grid	VIA1 (12)	239.613	202.856	220-240,200-220	239.588	202.755	239.638	202.957
Hotspot_220to240_200to220_3	133	Off-grid	M2 (13)	239.613	202.856	220-240,200-220	239.558	202.75	239.668	202.962
