cell_name	pin_name	point_x	point_y	point_bucket20	point_inside_hotspot	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket20	nearest_inside_hotspot	distance_um
u_core/core_i/id_stage_i/register_file_i/mem_reg[30][17]	Q	80.3440	206.6560	080-100,200-220	no	156	Diff net spacing	M1 (11)	62.7120	215.0795	060-080,200-220	no	19.5408
u_core/core_i/id_stage_i/register_file_i/mem_reg[30][31]	CLK	79.5840	184.0080	060-080,180-200	no	156	Diff net spacing	M1 (11)	62.7120	215.0795	060-080,200-220	no	35.3568
u_core/core_i/id_stage_i/register_file_i/mem_reg[30][31]	CLK	79.5840	184.0180	060-080,180-200	no	156	Diff net spacing	M1 (11)	62.7120	215.0795	060-080,200-220	no	35.3480
u_core/core_i/id_stage_i/register_file_i/mem_reg[26][13]	SE	59.6720	132.6320	040-060,120-140	no	68	Diff net spacing	M1 (11)	36.1120	122.5365	020-040,120-140	no	25.6319
u_core/core_i/id_stage_i/register_file_i/mem_reg[26][13]	SE	59.6720	132.6655	040-060,120-140	no	68	Diff net spacing	M1 (11)	36.1120	122.5365	020-040,120-140	no	25.6451
u_core/core_i/id_stage_i/register_file_i/mem_reg[26][13]	SE	59.6720	132.6487	040-060,120-140	no	68	Diff net spacing	M1 (11)	36.1120	122.5365	020-040,120-140	no	25.6385
u_core/core_i/id_stage_i/register_file_i/mem_reg[26][30]	QN	59.6720	129.8960	040-060,120-140	no	68	Diff net spacing	M1 (11)	36.1120	122.5365	020-040,120-140	no	24.6827
u_core/core_i/id_stage_i/register_file_i/mem_reg[25][11]	Q	159.6880	44.0160	140-160,040-060	no	4	Diff net spacing	M1 (11)	189.9360	44.5355	180-200,040-060	no	30.2525
u_core/core_i/id_stage_i/register_file_i/mem_reg[25][14]	SE	159.6880	41.0945	140-160,040-060	no	4	Diff net spacing	M1 (11)	189.9360	44.5355	180-200,040-060	no	30.4431
u_core/core_i/id_stage_i/register_file_i/mem_reg[25][14]	SE	159.6880	41.1280	140-160,040-060	no	4	Diff net spacing	M1 (11)	189.9360	44.5355	180-200,040-060	no	30.4393
u_core/core_i/id_stage_i/register_file_i/mem_reg[25][14]	SE	159.6880	41.1112	140-160,040-060	no	4	Diff net spacing	M1 (11)	189.9360	44.5355	180-200,040-060	no	30.4412
