ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][17]	Q	80.344	206.656	080-100,200-220	no	1	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][31]	CLK	79.584	184.008	060-080,180-200	no	2	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][31]	CLK	79.584	184.018	060-080,180-200	no	2	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][13]	SE	59.672	132.632	040-060,120-140	no	3	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][13]	SE	59.672	132.6655	040-060,120-140	no	3	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][13]	SE	59.672	132.6487	040-060,120-140	no	3	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][30]	QN	59.672	129.896	040-060,120-140	no	4	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][11]	Q	159.688	44.016	140-160,040-060	no	5	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][14]	SE	159.688	41.0945	140-160,040-060	no	6	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][14]	SE	159.688	41.128	140-160,040-060	no	6	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][14]	SE	159.688	41.1112	140-160,040-060	no	6	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][29]	SE	159.688	27.7185	140-160,020-040	no	7	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][29]	SE	159.688	27.752	140-160,020-040	no	7	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][29]	SE	159.688	27.7352	140-160,020-040	no	7	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[23][27]	RSTB	60.432	28.208	060-080,020-040	no	8	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[23][27]	RSTB	60.432	28.2125	060-080,020-040	no	8	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[23][27]	RSTB	60.432	28.2102	060-080,020-040	no	8	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[23][29]	CLK	79.584	33.528	060-080,020-040	no	9	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[23][29]	CLK	79.584	33.538	060-080,020-040	no	9	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[23][30]	Q	80.344	20.608	080-100,020-040	no	10	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	CLK	159.688	46.58	140-160,040-060	no	11	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	CLK	159.688	46.6	140-160,040-060	no	11	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[22][3]	CLK	159.688	46.59	140-160,040-060	no	11	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[19][14]	Q	160.296	23.952	160-180,020-040	no	12	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][6]	RSTB	160.296	34.896	160-180,020-040	no	13	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][6]	RSTB	160.296	34.9005	160-180,020-040	no	13	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[18][6]	RSTB	160.296	34.8982	160-180,020-040	no	13	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[17][17]	RSTB	100.408	38.24	100-120,020-040	no	14	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[17][17]	RSTB	100.408	38.2445	100-120,020-040	no	14	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[17][17]	RSTB	100.408	38.2422	100-120,020-040	no	14	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][16]	Q	59.672	110.896	040-060,100-120	no	15	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][20]	CLK	80.344	93.72	080-100,080-100	no	16	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][20]	CLK	80.344	93.74	080-100,080-100	no	16	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[15][20]	CLK	80.344	93.73	080-100,080-100	no	16	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][2]	Q	59.672	166.528	040-060,160-180	no	17	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][5]	Q	59.672	177.776	040-060,160-180	no	18	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][6]	SE	59.672	164.8225	040-060,160-180	no	19	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][6]	SE	59.672	164.856	040-060,160-180	no	19	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][6]	SE	59.672	164.8392	040-060,160-180	no	19	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][17]	RSTB	59.672	158.9235	040-060,140-160	no	20	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][17]	RSTB	59.672	158.928	040-060,140-160	no	20	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][17]	RSTB	59.672	158.9257	040-060,140-160	no	20	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][23]	SE	59.672	156.04	040-060,140-160	no	21	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][23]	SE	59.672	156.0735	040-060,140-160	no	21	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][23]	SE	59.672	156.0567	040-060,140-160	no	21	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][24]	Q	59.672	179.904	040-060,160-180	no	22	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[14][31]	Q	59.672	169.872	040-060,160-180	no	23	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][1]	Q	120.32	186.592	120-140,180-200	no	24	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][3]	Q	120.32	174.432	120-140,160-180	no	25	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][4]	Q	120.32	171.088	120-140,160-180	no	26	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][7]	CLK	119.712	160.6	100-120,160-180	no	27	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][7]	CLK	119.712	160.62	100-120,160-180	no	27	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][7]	CLK	119.712	160.61	100-120,160-180	no	27	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][21]	SE	120.32	166.072	120-140,160-180	no	28	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][21]	SE	120.32	166.1055	120-140,160-180	no	28	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][21]	SE	120.32	166.0887	120-140,160-180	no	28	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[13][29]	Q	120.32	176.56	120-140,160-180	no	29	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][0]	RSTB	159.688	58.304	140-160,040-060	no	30	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][0]	RSTB	159.688	58.3085	140-160,040-060	no	30	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][0]	RSTB	159.688	58.3062	140-160,040-060	no	30	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][7]	RSTB	159.688	54.96	140-160,040-060	no	31	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][7]	RSTB	159.688	54.9645	140-160,040-060	no	31	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][7]	RSTB	159.688	54.9622	140-160,040-060	no	31	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][9]	RSTB	160.296	51.616	160-180,040-060	no	32	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][9]	RSTB	160.296	51.6205	160-180,040-060	no	32	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][9]	RSTB	160.296	51.6182	160-180,040-060	no	32	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][12]	QN	159.688	63.016	140-160,060-080	no	33	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[12][23]	Q	119.712	44.016	100-120,040-060	no	34	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[11][30]	Q	119.712	57.392	100-120,040-060	no	35	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[10][10]	Q	119.712	193.28	100-120,180-200	no	36	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[10][14]	SE	120.32	181.5425	120-140,180-200	no	37	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[10][14]	SE	120.32	181.576	120-140,180-200	no	37	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[10][14]	SE	120.32	181.5592	120-140,180-200	no	37	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[9][23]	SE	119.712	69.096	100-120,060-080	no	38	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[9][23]	SE	119.712	69.1295	100-120,060-080	no	38	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[9][23]	SE	119.712	69.1127	100-120,060-080	no	38	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[9][24]	RSTB	80.344	81.712	080-100,080-100	no	39	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[9][24]	RSTB	80.344	81.7165	080-100,080-100	no	39	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[9][24]	RSTB	80.344	81.7142	080-100,080-100	no	39	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[8][0]	RSTB	139.624	65.2915	120-140,060-080	no	40	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[8][0]	RSTB	139.624	65.296	120-140,060-080	no	40	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[8][0]	RSTB	139.624	65.2937	120-140,060-080	no	40	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][10]	Q	80.344	157.712	080-100,140-160	no	41	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][12]	CLK	79.584	137.192	060-080,120-140	no	42	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][12]	CLK	79.584	137.202	060-080,120-140	no	42	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][18]	RSTB	80.344	165.6115	080-100,160-180	no	43	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][18]	RSTB	80.344	165.616	080-100,160-180	no	43	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[7][18]	RSTB	80.344	165.6137	080-100,160-180	no	43	3
