cell_name	pin_name	point_x	point_y	point_bucket20	point_inside_hotspot	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket20	nearest_inside_hotspot	distance_um
u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.3680	66.9680	040-060,060-080	no	26	Diff net spacing	M1 (11)	40.6720	79.0645	040-060,060-080	no	12.1003
u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.3680	66.9780	040-060,060-080	no	26	Diff net spacing	M1 (11)	40.6720	79.0645	040-060,060-080	no	12.0903
u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6000	172.0000	160-180,160-180	no	128	Diff net spacing	M1 (11)	184.6160	168.2635	180-200,160-180	no	6.2547
u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6000	172.0045	160-180,160-180	no	128	Diff net spacing	M1 (11)	184.6160	168.2635	180-200,160-180	no	6.2574
u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6000	172.0022	160-180,160-180	no	128	Diff net spacing	M1 (11)	184.6160	168.2635	180-200,160-180	no	6.2560
u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.6720	103.4280	040-060,100-120	no	49	Needs fat contact	M1 (11)-M2 (13)	40.9760	101.1680	040-060,100-120	no	18.8321
u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.6720	103.4480	040-060,100-120	no	49	Needs fat contact	M1 (11)-M2 (13)	40.9760	101.1680	040-060,100-120	no	18.8345
u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.6720	103.4380	040-060,100-120	no	49	Needs fat contact	M1 (11)-M2 (13)	40.9760	101.1680	040-060,100-120	no	18.8333
u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.3440	112.5680	080-100,100-120	no	69	Off-grid	M1 (11)	108.7880	126.1215	100-120,120-140	no	31.5081
u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.3440	112.6015	080-100,100-120	no	69	Off-grid	M1 (11)	108.7880	126.1215	100-120,120-140	no	31.4937
u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.3440	112.5847	080-100,100-120	no	69	Off-grid	M1 (11)	108.7880	126.1215	100-120,120-140	no	31.5009
u_core/core_i/id_stage_i/register_file_i/mem_reg[28][22]	Q	119.7120	156.4960	100-120,140-160	no	69	Off-grid	M1 (11)	108.7880	126.1215	100-120,120-140	no	32.2792
u_core/core_i/id_stage_i/register_file_i/mem_reg[27][30]	Q	80.3440	137.6480	080-100,120-140	no	69	Off-grid	M1 (11)	108.7880	126.1215	100-120,120-140	no	30.6907
u_core/core_i/id_stage_i/register_file_i/mem_reg[26][10]	QN	199.6640	63.0160	180-200,060-080	no	24	Needs fat contact	M1 (11)-M2 (13)	196.6240	61.0400	180-200,060-080	no	3.6258
