ref_name	cell_name	pin_name	x	y	bucket20	inside_hotspot	line_no	point_index
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.368	66.968	040-060,060-080	no	1	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[31][10]	CLK	40.368	66.978	040-060,060-080	no	1	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6	172.0	160-180,160-180	no	2	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6	172.0045	160-180,160-180	no	2	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[30][28]	RSTB	179.6	172.0022	160-180,160-180	no	2	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.672	103.428	040-060,100-120	no	3	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.672	103.448	040-060,100-120	no	3	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[29][5]	CLK	59.672	103.438	040-060,100-120	no	3	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.344	112.568	080-100,100-120	no	4	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.344	112.6015	080-100,100-120	no	4	2
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][9]	SE	80.344	112.5847	080-100,100-120	no	4	3
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[28][22]	Q	119.712	156.496	100-120,140-160	no	5	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[27][30]	Q	80.344	137.648	080-100,120-140	no	6	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[26][10]	QN	199.664	63.016	180-200,060-080	no	7	1
SDFFARX1_RVT	u_core/core_i/id_stage_i/register_file_i/mem_reg[25][23]	Q	220.336	23.952	220-240,020-040	no	8	1
