cell_name	pin_name	point_x	point_y	point_bucket20	point_inside_hotspot	nearest_error_id	nearest_type	nearest_layer	nearest_cx	nearest_cy	nearest_bucket20	nearest_inside_hotspot	distance_um
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.4640	195.7075	260-280,180-200	yes	152	Off-grid	VIA1 (12)	242.3490	202.8560	240-260,200-220	yes	19.4745
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.4640	195.7120	260-280,180-200	yes	152	Off-grid	VIA1 (12)	242.3490	202.8560	240-260,200-220	yes	19.4728
u_core/core_i/cs_registers_i/mhpmcounter_q_reg[3][26]	RSTB	260.4640	195.7097	260-280,180-200	yes	152	Off-grid	VIA1 (12)	242.3490	202.8560	240-260,200-220	yes	19.4736
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.5520	252.2560	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.9513
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.5520	252.2605	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.9550
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[3]	RSTB	259.5520	252.2582	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.9531
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.5520	245.8675	240-260,240-260	yes	284	Needs fat contact	M1 (11)-M2 (13)	257.4240	248.3040	240-260,240-260	yes	3.2350
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.5520	245.8720	240-260,240-260	yes	284	Needs fat contact	M1 (11)-M2 (13)	257.4240	248.3040	240-260,240-260	yes	3.2316
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[17]	RSTB	259.5520	245.8697	240-260,240-260	yes	284	Needs fat contact	M1 (11)-M2 (13)	257.4240	248.3040	240-260,240-260	yes	3.2333
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[14]	QN	259.7040	236.9040	240-260,220-240	yes	236	Diff net spacing	M1 (11)	262.4400	236.2325	260-280,220-240	yes	2.8172
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[16]	QN	259.7040	237.8160	240-260,220-240	yes	234	Off-grid	VIA1 (12)	256.7890	238.4240	240-260,220-240	yes	2.9777
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.5520	252.5555	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	3.2026
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.5520	252.5600	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	3.2064
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[9]	RSTB	259.5520	252.5577	240-260,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	3.2045
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.4640	248.9120	260-280,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.7402
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.4640	248.9165	260-280,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.7387
u_core/core_i/if_stage_i/instr_rdata_id_o_reg[10]	RSTB	260.4640	248.9142	260-280,240-260	yes	280	Needs fat contact	M1 (11)-M2 (13)	257.8800	249.8240	240-260,240-260	yes	2.7395
