cell	old_ref	new_ref	reason
u_core/core_i/id_stage_i/U2688	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1193	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1195	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U3540	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U3375	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1700	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1198	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1200	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U204	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U3250	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1190	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U5127	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U5112	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U392	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U582	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U394	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U577	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U1160	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4266	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4285	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4296	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4234	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U1897	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2033	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2548	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2618	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2690	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2150	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2470	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4256	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U937	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U2032	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U927	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U1778	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U3140	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U3879	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4246	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4279	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/id_stage_i/U178	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U4423	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U1414	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U3800	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
u_core/core_i/U5113	NOR2X4_HVT	NOR2X2_HVT	targeted_NOR2X4_A2_edge_resize_to_X2
