name	cx	cy	layers	half_size	net_types	reason
a2_via1_block_0	71.9840	21.0290	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_1	25.9280	22.3950	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_2	69.5520	45.6880	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_3	69.7040	42.3440	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_4	33.0720	47.7810	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_5	33.9840	51.1250	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_7	212.7360	61.0400	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_8	297.4000	69.0960	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_9	26.0800	75.7840	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_10	30.0320	75.7840	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_11	27.1440	72.4400	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_12	44.3200	71.1890	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_13	48.4240	79.1280	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_17	43.4080	85.8160	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_18	258.4880	122.6000	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_19	294.5120	131.2640	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_20	182.4880	166.0720	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_21	227.4800	158.0160	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_22	227.4800	158.0160	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_23	184.1600	168.1650	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_24	212.5840	174.8530	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_25	222.1600	182.7920	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_26	235.6880	186.1360	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_28	302.8720	198.2610	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_29	191.0000	213.0030	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_30	195.5600	206.3150	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_32	170.3280	224.8960	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_33	179.2960	216.3470	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_34	175.8000	223.0350	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_35	251.4960	221.6690	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_37	164.5520	241.7330	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_38	213.3440	241.7330	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_41	48.1200	259.7040	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_42	288.5840	256.3600	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_43	199.3600	265.1410	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_44	203.3120	268.4850	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_45	207.5680	265.1410	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_46	212.8880	273.0800	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_47	214.8640	273.0800	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_48	225.6560	276.4240	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_49	220.4880	275.1730	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_50	249.9760	271.8290	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_51	252.7120	275.1730	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_53	182.1840	286.4560	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_56	212.4320	288.5490	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_57	239.3360	288.5490	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_58	238.1200	286.4560	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_59	241.0080	278.5170	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_60	203.7680	296.4880	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_61	212.4320	296.4880	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_62	216.0800	293.1440	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_63	236.2960	289.8000	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_64	237.5120	296.4880	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_65	244.9600	293.1440	VIA1	0.055	signal scan clock reset	matched_A2_residue
a2_via1_block_66	249.3680	295.2370	VIA1	0.055	signal scan clock reset	matched_A2_residue
